rule_id,location_id,weekday,start_time,end_time,recurrence_start_date,recurrence_end_date,max_deferral_days
PM-001-FRI,PLAT:ALP:H01:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-001-SAT,PLAT:ALP:H01:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-001-SUN,PLAT:ALP:H01:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-002-FRI,PLAT:ALP:H01:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-002-SAT,PLAT:ALP:H01:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-002-SUN,PLAT:ALP:H01:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-003-FRI,PLAT:ALP:H02:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-003-SAT,PLAT:ALP:H02:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-003-SUN,PLAT:ALP:H02:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-004-FRI,PLAT:ALP:H02:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-004-SAT,PLAT:ALP:H02:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-004-SUN,PLAT:ALP:H02:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-005-FRI,PLAT:ALP:S01:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-005-SAT,PLAT:ALP:S01:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-005-SUN,PLAT:ALP:S01:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-006-FRI,PLAT:ALP:S01:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-006-SAT,PLAT:ALP:S01:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-006-SUN,PLAT:ALP:S01:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-007-FRI,PLAT:ALP:S02:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-007-SAT,PLAT:ALP:S02:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-007-SUN,PLAT:ALP:S02:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-008-FRI,PLAT:ALP:S02:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-008-SAT,PLAT:ALP:S02:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-008-SUN,PLAT:ALP:S02:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-009-FRI,PLAT:ALP:S03:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-009-SAT,PLAT:ALP:S03:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-009-SUN,PLAT:ALP:S03:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-010-FRI,PLAT:ALP:S03:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-010-SAT,PLAT:ALP:S03:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-010-SUN,PLAT:ALP:S03:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-011-FRI,PLAT:ALP:S04:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-011-SAT,PLAT:ALP:S04:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-011-SUN,PLAT:ALP:S04:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-012-FRI,PLAT:ALP:S04:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-012-SAT,PLAT:ALP:S04:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-012-SUN,PLAT:ALP:S04:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-013-FRI,PLAT:ALP:S05:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-013-SAT,PLAT:ALP:S05:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-013-SUN,PLAT:ALP:S05:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-014-FRI,PLAT:ALP:S05:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-014-SAT,PLAT:ALP:S05:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-014-SUN,PLAT:ALP:S05:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-015-FRI,PLAT:ALP:S06:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-015-SAT,PLAT:ALP:S06:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-015-SUN,PLAT:ALP:S06:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-016-FRI,PLAT:ALP:S06:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-016-SAT,PLAT:ALP:S06:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-016-SUN,PLAT:ALP:S06:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-017-FRI,PLAT:ALP:S07:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-017-SAT,PLAT:ALP:S07:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-017-SUN,PLAT:ALP:S07:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-018-FRI,PLAT:ALP:S07:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-018-SAT,PLAT:ALP:S07:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-018-SUN,PLAT:ALP:S07:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-019-FRI,PLAT:ALP:S08:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-019-SAT,PLAT:ALP:S08:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-019-SUN,PLAT:ALP:S08:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-020-FRI,PLAT:ALP:S08:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-020-SAT,PLAT:ALP:S08:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-020-SUN,PLAT:ALP:S08:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-021-FRI,PLAT:BET:H01:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-021-SAT,PLAT:BET:H01:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-021-SUN,PLAT:BET:H01:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-022-FRI,PLAT:BET:H01:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-022-SAT,PLAT:BET:H01:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-022-SUN,PLAT:BET:H01:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-023-FRI,PLAT:BET:H02:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-023-SAT,PLAT:BET:H02:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-023-SUN,PLAT:BET:H02:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-024-FRI,PLAT:BET:H02:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-024-SAT,PLAT:BET:H02:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-024-SUN,PLAT:BET:H02:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-025-FRI,PLAT:BET:S11:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-025-SAT,PLAT:BET:S11:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-025-SUN,PLAT:BET:S11:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-026-FRI,PLAT:BET:S11:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-026-SAT,PLAT:BET:S11:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-026-SUN,PLAT:BET:S11:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-027-FRI,PLAT:BET:S12:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-027-SAT,PLAT:BET:S12:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-027-SUN,PLAT:BET:S12:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-028-FRI,PLAT:BET:S12:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-028-SAT,PLAT:BET:S12:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-028-SUN,PLAT:BET:S12:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-029-FRI,PLAT:BET:S13:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-029-SAT,PLAT:BET:S13:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-029-SUN,PLAT:BET:S13:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-030-FRI,PLAT:BET:S13:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-030-SAT,PLAT:BET:S13:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-030-SUN,PLAT:BET:S13:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-031-FRI,PLAT:BET:S14:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-031-SAT,PLAT:BET:S14:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-031-SUN,PLAT:BET:S14:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-032-FRI,PLAT:BET:S14:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-032-SAT,PLAT:BET:S14:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-032-SUN,PLAT:BET:S14:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-033-FRI,PLAT:BET:S15:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-033-SAT,PLAT:BET:S15:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-033-SUN,PLAT:BET:S15:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-034-FRI,PLAT:BET:S15:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-034-SAT,PLAT:BET:S15:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-034-SUN,PLAT:BET:S15:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-035-FRI,PLAT:BET:S16:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-035-SAT,PLAT:BET:S16:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-035-SUN,PLAT:BET:S16:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-036-FRI,PLAT:BET:S16:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-036-SAT,PLAT:BET:S16:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-036-SUN,PLAT:BET:S16:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-037-FRI,PLAT:BET:S17:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-037-SAT,PLAT:BET:S17:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-037-SUN,PLAT:BET:S17:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-038-FRI,PLAT:BET:S17:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-038-SAT,PLAT:BET:S17:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-038-SUN,PLAT:BET:S17:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-039-FRI,PLAT:BET:S18:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-039-SAT,PLAT:BET:S18:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-039-SUN,PLAT:BET:S18:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-040-FRI,PLAT:BET:S18:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-040-SAT,PLAT:BET:S18:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-040-SUN,PLAT:BET:S18:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-041-FRI,SEC:ALP:H01_H02:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-041-SAT,SEC:ALP:H01_H02:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-041-SUN,SEC:ALP:H01_H02:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-042-FRI,SEC:ALP:H01_H02:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-042-SAT,SEC:ALP:H01_H02:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-042-SUN,SEC:ALP:H01_H02:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-043-FRI,SEC:ALP:H02_S05:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-043-SAT,SEC:ALP:H02_S05:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-043-SUN,SEC:ALP:H02_S05:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-044-FRI,SEC:ALP:H02_S05:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-044-SAT,SEC:ALP:H02_S05:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-044-SUN,SEC:ALP:H02_S05:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-045-FRI,SEC:ALP:S01_S02:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-045-SAT,SEC:ALP:S01_S02:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-045-SUN,SEC:ALP:S01_S02:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-046-FRI,SEC:ALP:S01_S02:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-046-SAT,SEC:ALP:S01_S02:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-046-SUN,SEC:ALP:S01_S02:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-047-FRI,SEC:ALP:S02_S03:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-047-SAT,SEC:ALP:S02_S03:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-047-SUN,SEC:ALP:S02_S03:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-048-FRI,SEC:ALP:S02_S03:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-048-SAT,SEC:ALP:S02_S03:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-048-SUN,SEC:ALP:S02_S03:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-049-FRI,SEC:ALP:S03_S04:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-049-SAT,SEC:ALP:S03_S04:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-049-SUN,SEC:ALP:S03_S04:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-050-FRI,SEC:ALP:S03_S04:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-050-SAT,SEC:ALP:S03_S04:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-050-SUN,SEC:ALP:S03_S04:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-051-FRI,SEC:ALP:S04_H01:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-051-SAT,SEC:ALP:S04_H01:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-051-SUN,SEC:ALP:S04_H01:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-052-FRI,SEC:ALP:S04_H01:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-052-SAT,SEC:ALP:S04_H01:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-052-SUN,SEC:ALP:S04_H01:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-053-FRI,SEC:ALP:S05_S06:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-053-SAT,SEC:ALP:S05_S06:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-053-SUN,SEC:ALP:S05_S06:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-054-FRI,SEC:ALP:S05_S06:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-054-SAT,SEC:ALP:S05_S06:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-054-SUN,SEC:ALP:S05_S06:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-055-FRI,SEC:ALP:S06_S07:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-055-SAT,SEC:ALP:S06_S07:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-055-SUN,SEC:ALP:S06_S07:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-056-FRI,SEC:ALP:S06_S07:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-056-SAT,SEC:ALP:S06_S07:WB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-056-SUN,SEC:ALP:S06_S07:WB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-057-FRI,SEC:ALP:S07_S08:EB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
PM-057-SAT,SEC:ALP:S07_S08:EB,SAT,01:00,04:00,2027-01-04,2027-08-01,7
PM-057-SUN,SEC:ALP:S07_S08:EB,SUN,01:00,04:00,2027-01-04,2027-08-01,7
PM-058-FRI,SEC:ALP:S07_S08:WB,FRI,01:00,04:00,2027-01-04,2027-08-01,7
