activity_id,access_seq,week,eclo,access_night
A001,1,3,0,1
A001,2,4,0,1
A001,3,5,0,1
A001,4,6,0,1
A001,5,7,0,1
A001,6,8,0,1
A002,1,3,0,1
A002,2,4,0,1
A002,3,5,0,1
A002,4,6,0,1
A002,5,7,0,1
A002,6,8,0,1
A003,1,6,0,1
A003,2,7,0,1
A004,1,6,0,1
A004,2,7,0,1
A005,1,8,0,1
A005,2,9,0,1
A005,3,10,0,1
A005,4,11,0,1
A006,1,12,0,1
A006,2,13,0,1
A006,3,14,0,1
A006,4,15,0,1
A007,1,12,0,1
A007,2,13,0,1
A007,3,14,0,1
A007,4,15,0,1
A008,1,12,0,2
A008,2,13,0,2
A008,3,14,0,2
A009,1,12,0,1
A009,2,13,0,1
A009,3,14,0,1
A010,1,7,0,1
A010,2,8,0,1
A010,3,9,0,1
A011,1,9,0,1
A011,2,10,0,1
A011,3,11,0,1
A011,4,12,0,1
A012,1,9,0,1
A012,2,10,0,1
A012,3,11,0,1
A012,4,12,0,2
A013,1,2,0,1
A013,2,3,0,1
A013,3,4,0,1
A014,1,12,0,1
A014,2,13,0,1
A015,1,16,0,1
A015,2,17,0,1
A016,1,10,0,2
A016,2,11,0,2
A016,3,12,0,1
A017,1,16,0,1
A017,2,17,0,1
A017,3,18,0,1
A018,1,17,0,1
A018,2,18,0,1
