activity_id,week,location_id,co_share_group
A001,3,PLAT:BET:H02:WB,g001
A001,3,PLAT:BET:S15:WB,g001
A001,3,SEC:BET:H02_S15:WB,g001
A002,3,PLAT:BET:H02:WB,g001
A002,3,PLAT:BET:S15:WB,g001
A002,3,SEC:BET:H02_S15:WB,g001
A001,4,PLAT:BET:H02:WB,g001
A001,4,PLAT:BET:S15:WB,g001
A001,4,SEC:BET:H02_S15:WB,g001
A002,4,PLAT:BET:H02:WB,g001
A002,4,PLAT:BET:S15:WB,g001
A002,4,SEC:BET:H02_S15:WB,g001
A001,5,PLAT:BET:H02:WB,g001
A001,5,PLAT:BET:S15:WB,g001
A001,5,SEC:BET:H02_S15:WB,g001
A002,5,PLAT:BET:H02:WB,g001
A002,5,PLAT:BET:S15:WB,g001
A002,5,SEC:BET:H02_S15:WB,g001
A001,6,PLAT:BET:H02:WB,g001
A001,6,PLAT:BET:S15:WB,g001
A001,6,SEC:BET:H02_S15:WB,g001
A002,6,PLAT:BET:H02:WB,g001
A002,6,PLAT:BET:S15:WB,g001
A002,6,SEC:BET:H02_S15:WB,g001
A001,7,PLAT:BET:H02:WB,g001
A001,7,PLAT:BET:S15:WB,g001
A001,7,SEC:BET:H02_S15:WB,g001
A002,7,PLAT:BET:H02:WB,g001
A002,7,PLAT:BET:S15:WB,g001
A002,7,SEC:BET:H02_S15:WB,g001
A001,8,PLAT:BET:H02:WB,g001
A001,8,PLAT:BET:S15:WB,g001
A001,8,SEC:BET:H02_S15:WB,g001
A002,8,PLAT:BET:H02:WB,g001
A002,8,PLAT:BET:S15:WB,g001
A002,8,SEC:BET:H02_S15:WB,g001
A003,6,PLAT:ALP:S03:EB,g002
A003,6,PLAT:ALP:S04:EB,g002
A003,6,SEC:ALP:S03_S04:EB,g002
A004,6,PLAT:ALP:S03:EB,g002
A004,6,PLAT:ALP:S04:EB,g002
A004,6,SEC:ALP:S03_S04:EB,g002
A003,7,PLAT:ALP:S03:EB,g002
A003,7,PLAT:ALP:S04:EB,g002
A003,7,SEC:ALP:S03_S04:EB,g002
A004,7,PLAT:ALP:S03:EB,g002
A004,7,PLAT:ALP:S04:EB,g002
A004,7,SEC:ALP:S03_S04:EB,g002
A005,8,PLAT:ALP:H01:WB,g003
A005,8,PLAT:ALP:H02:WB,g003
A005,8,SEC:ALP:H01_H02:WB,g003
A005,9,PLAT:ALP:H01:WB,g003
A005,9,PLAT:ALP:H02:WB,g003
A005,9,SEC:ALP:H01_H02:WB,g003
A005,10,PLAT:ALP:H01:WB,g003
A005,10,PLAT:ALP:H02:WB,g003
A005,10,SEC:ALP:H01_H02:WB,g003
A005,11,PLAT:ALP:H01:WB,g003
A005,11,PLAT:ALP:H02:WB,g003
A005,11,SEC:ALP:H01_H02:WB,g003
A006,12,PLAT:BET:S11:EB,g004
A006,12,PLAT:BET:S12:EB,g004
A006,12,SEC:BET:S11_S12:EB,g004
A007,12,PLAT:BET:S11:EB,g004
A007,12,PLAT:BET:S12:EB,g004
A007,12,SEC:BET:S11_S12:EB,g004
A006,13,PLAT:BET:S11:EB,g004
A006,13,PLAT:BET:S12:EB,g004
A006,13,SEC:BET:S11_S12:EB,g004
A007,13,PLAT:BET:S11:EB,g004
A007,13,PLAT:BET:S12:EB,g004
A007,13,SEC:BET:S11_S12:EB,g004
A006,14,PLAT:BET:S11:EB,g004
A006,14,PLAT:BET:S12:EB,g004
A006,14,SEC:BET:S11_S12:EB,g004
A007,14,PLAT:BET:S11:EB,g004
A007,14,PLAT:BET:S12:EB,g004
A007,14,SEC:BET:S11_S12:EB,g004
A006,15,PLAT:BET:S11:EB,g004
A006,15,PLAT:BET:S12:EB,g004
A006,15,SEC:BET:S11_S12:EB,g004
A007,15,PLAT:BET:S11:EB,g004
A007,15,PLAT:BET:S12:EB,g004
A007,15,SEC:BET:S11_S12:EB,g004
A008,12,PLAT:BET:H02:EB,g005
A008,12,PLAT:BET:S15:EB,g005
A008,12,SEC:BET:H02_S15:EB,g005
A009,12,PLAT:BET:H02:EB,g005
A009,12,PLAT:BET:S15:EB,g005
A009,12,SEC:BET:H02_S15:EB,g005
A008,13,PLAT:BET:H02:EB,g005
A008,13,PLAT:BET:S15:EB,g005
A008,13,SEC:BET:H02_S15:EB,g005
A009,13,PLAT:BET:H02:EB,g005
A009,13,PLAT:BET:S15:EB,g005
A009,13,SEC:BET:H02_S15:EB,g005
A008,14,PLAT:BET:H02:EB,g005
A008,14,PLAT:BET:S15:EB,g005
A008,14,SEC:BET:H02_S15:EB,g005
A009,14,PLAT:BET:H02:EB,g005
A009,14,PLAT:BET:S15:EB,g005
A009,14,SEC:BET:H02_S15:EB,g005
A010,7,PLAT:ALP:S01:EB,g006
A010,7,PLAT:ALP:S02:EB,g006
A010,7,SEC:ALP:S01_S02:EB,g006
A010,8,PLAT:ALP:S01:EB,g006
A010,8,PLAT:ALP:S02:EB,g006
A010,8,SEC:ALP:S01_S02:EB,g006
A010,9,PLAT:ALP:S01:EB,g006
A010,9,PLAT:ALP:S02:EB,g006
A010,9,SEC:ALP:S01_S02:EB,g006
A011,9,PLAT:BET:H02:EB,g007
A011,9,PLAT:BET:S15:EB,g007
A011,9,SEC:BET:H02_S15:EB,g007
A012,9,PLAT:BET:H02:EB,g007
A012,9,PLAT:BET:S15:EB,g007
A012,9,SEC:BET:H02_S15:EB,g007
A011,10,PLAT:BET:H02:EB,g007
A011,10,PLAT:BET:S15:EB,g007
A011,10,SEC:BET:H02_S15:EB,g007
A012,10,PLAT:BET:H02:EB,g007
A012,10,PLAT:BET:S15:EB,g007
A012,10,SEC:BET:H02_S15:EB,g007
A011,11,PLAT:BET:H02:EB,g007
A011,11,PLAT:BET:S15:EB,g007
A011,11,SEC:BET:H02_S15:EB,g007
A012,11,PLAT:BET:H02:EB,g007
A012,11,PLAT:BET:S15:EB,g007
A012,11,SEC:BET:H02_S15:EB,g007
A011,12,PLAT:BET:H02:EB,g007
A011,12,PLAT:BET:S15:EB,g007
A011,12,SEC:BET:H02_S15:EB,g007
A012,12,PLAT:BET:H02:EB,g007
A012,12,PLAT:BET:S15:EB,g007
A012,12,SEC:BET:H02_S15:EB,g007
A013,2,PLAT:ALP:H01:EB,g008
A013,2,PLAT:ALP:H02:EB,g008
A013,2,SEC:ALP:H01_H02:EB,g008
A013,3,PLAT:ALP:H01:EB,g008
A013,3,PLAT:ALP:H02:EB,g008
A013,3,SEC:ALP:H01_H02:EB,g008
A013,4,PLAT:ALP:H01:EB,g008
A013,4,PLAT:ALP:H02:EB,g008
A013,4,SEC:ALP:H01_H02:EB,g008
A014,12,PLAT:BET:S13:EB,g009
A014,12,PLAT:BET:S14:EB,g009
A014,12,SEC:BET:S13_S14:EB,g009
A014,13,PLAT:BET:S13:EB,g009
