activity_id,access_seq,week,eclo,access_night
A001,1,24,0,1
A001,2,25,0,1
A001,3,26,0,1
A001,4,27,0,1
A002,1,8,0,1
A002,2,9,0,1
A002,3,10,0,1
A002,4,11,0,1
A002,5,12,0,1
A003,1,5,0,1
A003,2,6,0,1
A003,3,7,0,1
A004,1,6,0,1
A004,2,7,0,1
A005,1,6,0,1
A005,2,7,0,1
A006,1,6,0,1
A006,2,7,0,1
A007,1,18,0,1
A007,2,19,0,1
A007,3,20,0,1
A007,4,21,0,1
A007,5,22,0,1
A007,6,23,0,1
A008,1,23,0,1
A008,2,24,0,1
A008,3,25,0,1
A008,4,26,0,1
A008,5,27,0,1
A008,6,28,0,1
A009,1,3,0,1
A009,2,4,0,1
A009,3,5,0,1
A009,4,6,0,1
A009,5,7,0,1
A009,6,8,0,1
A010,1,17,0,1
A010,2,18,0,1
A010,3,19,0,1
A011,1,2,0,1
A011,2,3,0,1
A011,3,4,0,1
A011,4,5,0,1
A011,5,6,0,1
A011,6,7,0,1
A012,1,16,0,1
A012,2,17,0,1
A012,3,18,0,1
A012,4,19,0,1
A012,5,20,0,1
A012,6,21,0,1
A013,1,16,0,1
A013,2,17,0,1
A013,3,18,0,1
A013,4,19,0,1
A013,5,20,0,1
A013,6,21,0,1
A014,1,18,0,2
A014,2,19,0,2
A014,3,20,0,1
A015,1,18,0,2
A015,2,19,0,2
A015,3,20,0,2
A016,1,15,0,1
A016,2,16,0,2
A016,3,17,0,2
A017,1,15,0,1
A017,2,16,0,2
A017,3,17,0,2
A018,1,2,0,1
A018,2,3,0,1
A019,1,24,0,2
A019,2,25,0,2
A019,3,26,0,2
A019,4,27,0,2
A019,5,28,0,2
A020,1,15,0,1
A020,2,16,0,1
A020,3,17,0,1
A021,1,15,0,1
A021,2,16,0,1
A021,3,17,0,1
A022,1,15,0,1
A022,2,16,0,1
A022,3,17,0,1
A023,1,7,0,2
A023,2,8,0,2
A023,3,9,0,1
A023,4,10,0,1
A024,1,7,0,1
A024,2,8,0,1
A024,3,9,0,1
A024,4,10,0,1
A025,1,19,0,3
A025,2,20,0,2
A025,3,21,0,1
A025,4,22,0,1
A026,1,19,0,1
A026,2,20,0,1
A026,3,21,0,1
A026,4,22,0,1
A027,1,3,0,1
A027,2,4,0,1
A027,3,5,0,1
A027,4,6,0,1
A027,5,7,0,2
A027,6,8,0,2
A028,1,8,0,3
A028,2,9,0,2
A028,3,10,0,2
A028,4,11,0,1
A028,5,12,0,1
A029,1,8,0,1
A029,2,9,0,1
A029,3,10,0,1
A029,4,11,0,1
A029,5,12,0,1
A030,1,8,0,1
A030,2,9,0,1
A030,3,10,0,1
A030,4,11,0,1
A030,5,12,0,1
A031,1,1,0,1
A031,2,2,0,1
A031,3,3,0,1
A031,4,4,0,1
A032,1,1,0,1
A032,2,2,0,1
A032,3,3,0,2
A032,4,4,0,2
A033,1,1,0,1
A033,2,2,0,1
A033,3,3,0,2
A033,4,4,0,2
A034,1,11,0,2
A034,2,12,0,2
A034,3,13,0,1
A034,4,14,0,1
A035,1,7,0,3
A035,2,8,0,4
A035,3,9,0,3
A036,1,16,0,1
A036,2,17,0,1
A036,3,18,0,2
A036,4,19,0,2
A036,5,20,0,2
