activity_id,week,location_id,co_share_group
A001,12,PLAT:BET:H01:WB,g001
A001,12,PLAT:BET:S14:WB,g001
A001,12,SEC:BET:S14_H01:WB,g001
A002,12,PLAT:BET:H01:WB,g001
A002,12,PLAT:BET:S14:WB,g001
A002,12,SEC:BET:S14_H01:WB,g001
A003,12,PLAT:BET:H01:WB,g001
A003,12,PLAT:BET:S14:WB,g001
A003,12,SEC:BET:S14_H01:WB,g001
A001,13,PLAT:BET:H01:WB,g001
A001,13,PLAT:BET:S14:WB,g001
A001,13,SEC:BET:S14_H01:WB,g001
A002,13,PLAT:BET:H01:WB,g001
A002,13,PLAT:BET:S14:WB,g001
A002,13,SEC:BET:S14_H01:WB,g001
A003,13,PLAT:BET:H01:WB,g001
A003,13,PLAT:BET:S14:WB,g001
A003,13,SEC:BET:S14_H01:WB,g001
A001,14,PLAT:BET:H01:WB,g001
A001,14,PLAT:BET:S14:WB,g001
A001,14,SEC:BET:S14_H01:WB,g001
A002,14,PLAT:BET:H01:WB,g001
A002,14,PLAT:BET:S14:WB,g001
A002,14,SEC:BET:S14_H01:WB,g001
A003,14,PLAT:BET:H01:WB,g001
A003,14,PLAT:BET:S14:WB,g001
A003,14,SEC:BET:S14_H01:WB,g001
A001,15,PLAT:BET:H01:WB,g001
A001,15,PLAT:BET:S14:WB,g001
A001,15,SEC:BET:S14_H01:WB,g001
A002,15,PLAT:BET:H01:WB,g001
A002,15,PLAT:BET:S14:WB,g001
A002,15,SEC:BET:S14_H01:WB,g001
A003,15,PLAT:BET:H01:WB,g001
A003,15,PLAT:BET:S14:WB,g001
A003,15,SEC:BET:S14_H01:WB,g001
A004,7,PLAT:ALP:H01:WB,g002
A004,7,PLAT:ALP:H02:WB,g002
A004,7,PLAT:ALP:S05:WB,g002
A004,7,SEC:ALP:H01_H02:WB,g002
A004,7,SEC:ALP:H02_S05:WB,g002
A005,7,PLAT:ALP:H01:WB,g002
A005,7,PLAT:ALP:H02:WB,g002
A005,7,PLAT:ALP:S05:WB,g002
A005,7,SEC:ALP:H01_H02:WB,g002
A005,7,SEC:ALP:H02_S05:WB,g002
A006,7,PLAT:ALP:H01:WB,g002
A006,7,PLAT:ALP:H02:WB,g002
A006,7,PLAT:ALP:S05:WB,g002
A006,7,SEC:ALP:H01_H02:WB,g002
A006,7,SEC:ALP:H02_S05:WB,g002
A007,7,PLAT:ALP:H01:WB,g002
A007,7,PLAT:ALP:H02:WB,g002
A007,7,PLAT:ALP:S05:WB,g002
A007,7,SEC:ALP:H01_H02:WB,g002
A007,7,SEC:ALP:H02_S05:WB,g002
A004,8,PLAT:ALP:H01:WB,g002
A004,8,PLAT:ALP:H02:WB,g002
A004,8,PLAT:ALP:S05:WB,g002
A004,8,SEC:ALP:H01_H02:WB,g002
A004,8,SEC:ALP:H02_S05:WB,g002
A005,8,PLAT:ALP:H01:WB,g002
A005,8,PLAT:ALP:H02:WB,g002
A005,8,PLAT:ALP:S05:WB,g002
A005,8,SEC:ALP:H01_H02:WB,g002
A005,8,SEC:ALP:H02_S05:WB,g002
A006,8,PLAT:ALP:H01:WB,g002
A006,8,PLAT:ALP:H02:WB,g002
A006,8,PLAT:ALP:S05:WB,g002
A006,8,SEC:ALP:H01_H02:WB,g002
A006,8,SEC:ALP:H02_S05:WB,g002
A007,8,PLAT:ALP:H01:WB,g002
A007,8,PLAT:ALP:H02:WB,g002
A007,8,PLAT:ALP:S05:WB,g002
A007,8,SEC:ALP:H01_H02:WB,g002
A007,8,SEC:ALP:H02_S05:WB,g002
A008,2,PLAT:BET:H01:EB,g003
A008,2,PLAT:BET:H02:EB,g003
A008,2,PLAT:BET:S14:EB,g003
A008,2,SEC:BET:H01_H02:EB,g003
A008,2,SEC:BET:S14_H01:EB,g003
A009,2,PLAT:BET:H01:EB,g003
A009,2,PLAT:BET:H02:EB,g003
A009,2,PLAT:BET:S14:EB,g003
A009,2,SEC:BET:H01_H02:EB,g003
A009,2,SEC:BET:S14_H01:EB,g003
A008,3,PLAT:BET:H01:EB,g003
A008,3,PLAT:BET:H02:EB,g003
A008,3,PLAT:BET:S14:EB,g003
A008,3,SEC:BET:H01_H02:EB,g003
A008,3,SEC:BET:S14_H01:EB,g003
A009,3,PLAT:BET:H01:EB,g003
A009,3,PLAT:BET:H02:EB,g003
A009,3,PLAT:BET:S14:EB,g003
A009,3,SEC:BET:H01_H02:EB,g003
A009,3,SEC:BET:S14_H01:EB,g003
A008,4,PLAT:BET:H01:EB,g003
A008,4,PLAT:BET:H02:EB,g003
A008,4,PLAT:BET:S14:EB,g003
A008,4,SEC:BET:H01_H02:EB,g003
A008,4,SEC:BET:S14_H01:EB,g003
A009,4,PLAT:BET:H01:EB,g003
A009,4,PLAT:BET:H02:EB,g003
A009,4,PLAT:BET:S14:EB,g003
A009,4,SEC:BET:H01_H02:EB,g003
A009,4,SEC:BET:S14_H01:EB,g003
A008,5,PLAT:BET:H01:EB,g003
A008,5,PLAT:BET:H02:EB,g003
A008,5,PLAT:BET:S14:EB,g003
A008,5,SEC:BET:H01_H02:EB,g003
A008,5,SEC:BET:S14_H01:EB,g003
A009,5,PLAT:BET:H01:EB,g003
A009,5,PLAT:BET:H02:EB,g003
A009,5,PLAT:BET:S14:EB,g003
A009,5,SEC:BET:H01_H02:EB,g003
A009,5,SEC:BET:S14_H01:EB,g003
A010,16,PLAT:ALP:H01:WB,g004
A010,16,PLAT:ALP:H02:WB,g004
A010,16,PLAT:ALP:S04:WB,g004
A010,16,SEC:ALP:H01_H02:WB,g004
A010,16,SEC:ALP:S04_H01:WB,g004
A011,16,PLAT:ALP:H01:WB,g004
A011,16,PLAT:ALP:H02:WB,g004
A011,16,PLAT:ALP:S04:WB,g004
A011,16,SEC:ALP:H01_H02:WB,g004
A011,16,SEC:ALP:S04_H01:WB,g004
A012,16,PLAT:ALP:H01:WB,g004
A012,16,PLAT:ALP:H02:WB,g004
A012,16,PLAT:ALP:S04:WB,g004
A012,16,SEC:ALP:H01_H02:WB,g004
A012,16,SEC:ALP:S04_H01:WB,g004
A010,17,PLAT:ALP:H01:WB,g004
A010,17,PLAT:ALP:H02:WB,g004
A010,17,PLAT:ALP:S04:WB,g004
A010,17,SEC:ALP:H01_H02:WB,g004
A010,17,SEC:ALP:S04_H01:WB,g004
A011,17,PLAT:ALP:H01:WB,g004
A011,17,PLAT:ALP:H02:WB,g004
A011,17,PLAT:ALP:S04:WB,g004
A011,17,SEC:ALP:H01_H02:WB,g004
A011,17,SEC:ALP:S04_H01:WB,g004
A012,17,PLAT:ALP:H01:WB,g004
A012,17,PLAT:ALP:H02:WB,g004
A012,17,PLAT:ALP:S04:WB,g004
A012,17,SEC:ALP:H01_H02:WB,g004
A012,17,SEC:ALP:S04_H01:WB,g004
A010,18,PLAT:ALP:H01:WB,g004
A010,18,PLAT:ALP:H02:WB,g004
A010,18,PLAT:ALP:S04:WB,g004
A010,18,SEC:ALP:H01_H02:WB,g004
A010,18,SEC:ALP:S04_H01:WB,g004
A011,18,PLAT:ALP:H01:WB,g004
A011,18,PLAT:ALP:H02:WB,g004
A011,18,PLAT:ALP:S04:WB,g004
A011,18,SEC:ALP:H01_H02:WB,g004
A011,18,SEC:ALP:S04_H01:WB,g004
A012,18,PLAT:ALP:H01:WB,g004
A012,18,PLAT:ALP:H02:WB,g004
A012,18,PLAT:ALP:S04:WB,g004
A012,18,SEC:ALP:H01_H02:WB,g004
A012,18,SEC:ALP:S04_H01:WB,g004
A013,23,PLAT:ALP:H01:WB,g005
A013,23,PLAT:ALP:H02:WB,g005
A013,23,PLAT:ALP:S05:WB,g005
A013,23,SEC:ALP:H01_H02:WB,g005
A013,23,SEC:ALP:H02_S05:WB,g005
A013,24,PLAT:ALP:H01:WB,g005
A013,24,PLAT:ALP:H02:WB,g005
A013,24,PLAT:ALP:S05:WB,g005
A013,24,SEC:ALP:H01_H02:WB,g005
A013,24,SEC:ALP:H02_S05:WB,g005
A013,25,PLAT:ALP:H01:WB,g005
A013,25,PLAT:ALP:H02:WB,g005
A013,25,PLAT:ALP:S05:WB,g005
A013,25,SEC:ALP:H01_H02:WB,g005
A013,25,SEC:ALP:H02_S05:WB,g005
A013,26,PLAT:ALP:H01:WB,g005
A013,26,PLAT:ALP:H02:WB,g005
A013,26,PLAT:ALP:S05:WB,g005
A013,26,SEC:ALP:H01_H02:WB,g005
A013,26,SEC:ALP:H02_S05:WB,g005
A013,27,PLAT:ALP:H01:WB,g005
A013,27,PLAT:ALP:H02:WB,g005
A013,27,PLAT:ALP:S05:WB,g005
A013,27,SEC:ALP:H01_H02:WB,g005
A013,27,SEC:ALP:H02_S05:WB,g005
A014,28,PLAT:ALP:H01:EB,g006
A014,28,PLAT:ALP:H02:EB,g006
A014,28,PLAT:ALP:S04:EB,g006
A014,28,SEC:ALP:H01_H02:EB,g006
A014,28,SEC:ALP:S04_H01:EB,g006
A014,29,PLAT:ALP:H01:EB,g006
A014,29,PLAT:ALP:H02:EB,g006
A014,29,PLAT:ALP:S04:EB,g006
A014,29,SEC:ALP:H01_H02:EB,g006
A014,29,SEC:ALP:S04_H01:EB,g006
A014,30,PLAT:ALP:H01:EB,g006
A014,30,PLAT:ALP:H02:EB,g006
A014,30,PLAT:ALP:S04:EB,g006
A014,30,SEC:ALP:H01_H02:EB,g006
A014,30,SEC:ALP:S04_H01:EB,g006
A015,6,PLAT:ALP:H02:EB,g007
A015,6,PLAT:ALP:S05:EB,g007
A015,6,PLAT:ALP:S06:EB,g007
A015,6,PLAT:ALP:S07:EB,g007
A015,6,SEC:ALP:H02_S05:EB,g007
A015,6,SEC:ALP:S05_S06:EB,g007
A015,6,SEC:ALP:S06_S07:EB,g007
A016,6,PLAT:ALP:H02:EB,g007
A016,6,PLAT:ALP:S05:EB,g007
A016,6,PLAT:ALP:S06:EB,g007
A016,6,PLAT:ALP:S07:EB,g007
A016,6,SEC:ALP:H02_S05:EB,g007
A016,6,SEC:ALP:S05_S06:EB,g007
A016,6,SEC:ALP:S06_S07:EB,g007
A017,6,PLAT:ALP:H02:EB,g007
A017,6,PLAT:ALP:S05:EB,g007
A017,6,PLAT:ALP:S06:EB,g007
