activity_id,access_seq,week,eclo,access_night
A001,1,12,0,1
A001,2,13,0,1
A001,3,14,0,1
A001,4,15,0,1
A002,1,12,0,1
A002,2,13,0,1
A002,3,14,0,1
A002,4,15,0,1
A003,1,12,0,1
A003,2,13,0,1
A003,3,14,0,1
A003,4,15,0,1
A004,1,7,0,1
A004,2,8,0,1
A005,1,7,0,1
A005,2,8,0,1
A006,1,7,0,1
A006,2,8,0,1
A007,1,7,0,1
A007,2,8,0,1
A008,1,2,0,1
A008,2,3,0,1
A008,3,4,0,1
A008,4,5,0,1
A009,1,2,0,1
A009,2,3,0,1
A009,3,4,0,1
A009,4,5,0,1
A010,1,16,0,1
A010,2,17,0,1
A010,3,18,0,1
A011,1,16,0,1
A011,2,17,0,1
A011,3,18,0,1
A012,1,16,0,1
A012,2,17,0,1
A012,3,18,0,1
A013,1,23,0,1
A013,2,24,0,1
A013,3,25,0,1
A013,4,26,0,1
A013,5,27,0,1
A014,1,28,0,1
A014,2,29,0,1
A014,3,30,0,1
A015,1,6,0,1
A015,2,7,0,1
A015,3,8,0,1
A016,1,6,0,1
A016,2,7,0,1
A016,3,8,0,1
A017,1,6,0,1
A017,2,7,0,1
A017,3,8,0,1
A018,1,6,0,1
A018,2,7,0,1
A018,3,8,0,1
A019,1,4,0,2
A019,2,5,0,2
A019,3,6,0,2
A019,4,7,0,2
A019,5,8,0,2
A020,1,4,0,1
A020,2,5,0,1
A020,3,6,0,1
A020,4,7,0,1
A020,5,8,0,1
A021,1,8,0,1
A022,1,7,0,1
A022,2,8,0,1
A022,3,9,0,1
A022,4,10,0,1
A022,5,11,0,1
A022,6,12,0,1
A023,1,7,0,1
A024,1,25,0,1
A024,2,26,0,1
A025,1,25,0,1
A025,2,26,0,1
A026,1,25,0,1
A026,2,26,0,1
A027,1,20,0,1
A027,2,21,0,1
A027,3,22,0,1
A027,4,23,0,1
A027,5,24,0,1
A027,6,25,0,1
A028,1,20,0,1
A028,2,21,0,1
A028,3,22,0,1
A028,4,23,0,1
A028,5,24,0,1
A028,6,25,0,1
A029,1,7,0,2
A029,2,8,0,2
A029,3,9,0,1
A029,4,10,0,1
A029,5,11,0,1
A030,1,21,0,1
A030,2,22,0,1
A030,3,23,0,1
A030,4,24,0,1
A030,5,25,0,1
A030,6,26,0,1
A031,1,21,0,1
A031,2,22,0,1
A031,3,23,0,1
A031,4,24,0,1
A031,5,25,0,2
A031,6,26,0,2
A032,1,21,0,1
A032,2,22,0,1
A032,3,23,0,1
A032,4,24,0,1
A032,5,25,0,1
A032,6,26,0,1
A033,1,21,0,1
A033,2,22,0,1
A033,3,23,0,1
A033,4,24,0,1
A033,5,25,0,1
A033,6,26,0,1
A034,1,9,0,2
A034,2,10,0,2
A035,1,9,0,1
A035,2,10,0,1
A036,1,9,0,1
A036,2,10,0,1
A037,1,23,0,1
A037,2,24,0,1
A037,3,25,0,1
A038,1,23,0,2
A038,2,24,0,2
A038,3,25,0,2
A039,1,23,0,2
A039,2,24,0,2
A039,3,25,0,2
A040,1,23,0,2
A040,2,24,0,2
A040,3,25,0,2
A041,1,26,0,1
A042,1,26,0,1
A043,1,26,0,1
A044,1,26,0,2
A044,2,27,0,1
A045,1,26,0,3
A045,2,27,0,1
A046,1,26,0,1
A046,2,27,0,1
A047,1,26,0,2
A047,2,27,0,1
A048,1,9,0,1
A048,2,10,0,1
A049,1,9,0,1
A049,2,10,0,1
A050,1,9,0,1
A050,2,10,0,1
A051,1,10,0,2
A051,2,11,0,1
A051,3,12,0,1
A052,1,2,0,1
A052,2,3,0,1
A052,3,4,0,1
A052,4,5,0,1
A052,5,6,0,1
A052,6,7,0,3
A053,1,2,0,1
A053,2,3,0,1
A053,3,4,0,1
A053,4,5,0,1
A053,5,6,0,2
A053,6,7,0,2
A054,1,2,0,1
A054,2,3,0,1
A054,3,4,0,1
A054,4,5,0,1
A054,5,6,0,1
A054,6,7,0,1
