activity_id,access_seq,week,eclo,access_night
A001,1,6,0,1
A001,2,8,0,1
A001,3,9,0,1
A001,4,11,0,1
A001,5,12,0,1
A001,6,14,0,1
A002,1,23,0,1
A002,2,24,0,1
A002,3,26,0,1
A002,4,27,0,1
A002,5,28,0,1
A003,1,23,0,1
A003,2,24,0,1
A003,3,26,0,1
A003,4,27,0,1
A003,5,28,0,1
A004,1,16,0,1
A004,2,17,0,1
A004,3,19,0,1
A004,4,21,0,1
A004,5,22,0,1
A005,1,9,0,1
A005,2,10,0,1
A005,3,13,0,1
A005,4,15,0,1
A005,5,16,0,1
A006,1,9,0,1
A006,2,10,0,1
A006,3,13,0,1
A006,4,15,0,1
A006,5,16,0,1
A007,1,21,0,1
A007,2,22,0,1
A008,1,21,0,2
A008,2,22,0,2
A009,1,21,0,1
A009,2,22,0,1
A010,1,21,0,1
A010,2,22,0,1
A011,1,14,0,1
A011,2,15,0,1
A011,3,16,0,1
A011,4,17,0,1
A012,1,14,0,1
A012,2,15,0,2
A012,3,16,0,2
A012,4,17,0,1
A013,1,25,0,1
A013,2,26,0,1
A013,3,27,0,1
A013,4,28,0,1
A013,5,29,0,1
A013,6,30,0,1
A014,1,23,0,1
A014,2,25,0,1
A014,3,27,0,1
A014,4,29,0,1
A015,1,23,0,1
A015,2,25,0,1
A015,3,27,0,1
A015,4,29,0,1
A016,1,23,0,2
A016,2,25,0,1
A016,3,27,0,2
A016,4,29,0,1
A017,1,23,0,3
A017,2,25,0,2
A017,3,27,0,3
A017,4,29,0,2
A018,1,7,0,1
A018,2,8,0,1
A018,3,9,0,1
A019,1,7,0,2
A019,2,8,0,2
A019,3,9,0,2
A020,1,14,0,2
A020,2,16,0,3
A021,1,14,0,1
A021,2,16,0,1
A022,1,14,0,1
A022,2,16,0,1
A023,1,14,0,2
A023,2,16,0,2
A024,1,26,0,1
A024,2,28,0,1
A024,3,29,0,2
A024,4,30,0,1
A025,1,3,0,1
A025,2,5,0,1
A025,3,6,0,1
A025,4,7,0,1
A025,5,9,0,1
A025,6,11,0,1
A026,1,3,0,1
A026,2,5,0,1
A026,3,6,0,1
A026,4,7,0,3
A026,5,9,0,3
A026,6,11,0,1
A027,1,3,0,1
A027,2,5,0,1
A027,3,6,0,1
A027,4,7,0,1
A027,5,9,0,1
A027,6,11,0,1
A028,1,4,0,1
A028,2,5,0,1
A028,3,6,0,1
A028,4,9,0,2
A029,1,4,0,1
A029,2,5,0,1
A029,3,6,0,1
A029,4,9,0,1
A030,1,4,0,1
A030,2,5,0,2
A030,3,6,0,2
A030,4,9,0,2
A031,1,2,0,1
A031,2,5,0,1
A031,3,7,0,1
A031,4,8,0,1
A032,1,2,0,1
A032,2,5,0,1
A032,3,7,0,1
A032,4,8,0,1
A033,1,2,0,1
A033,2,5,0,2
A033,3,7,0,2
A033,4,8,0,1
A034,1,2,0,1
A034,2,5,0,1
A034,3,7,0,1
A034,4,8,0,1
A035,1,17,0,1
A035,2,18,0,1
A035,3,20,0,1
A035,4,21,0,1
A035,5,24,0,1
A036,1,17,0,1
A036,2,18,0,1
A036,3,20,0,1
A036,4,21,0,1
A036,5,24,0,1
A037,1,17,0,1
A037,2,18,0,1
A037,3,20,0,1
A037,4,21,0,1
A037,5,24,0,1
A038,1,23,0,1
A038,2,24,0,2
A038,3,25,0,1
A038,4,26,0,1
A038,5,27,0,1
A038,6,28,0,1
A039,1,23,0,1
A039,2,24,0,1
A039,3,25,0,1
A039,4,26,0,1
A039,5,27,0,1
A039,6,28,0,1
A040,1,23,0,2
A040,2,24,0,1
A040,3,25,0,2
A040,4,26,0,1
A040,5,27,0,2
A040,6,28,0,1
A041,1,23,0,2
A041,2,24,0,1
A041,3,25,0,2
A041,4,26,0,2
A041,5,27,0,2
A041,6,28,0,2
A042,1,6,0,1
A042,2,7,0,1
A042,3,8,0,1
A042,4,9,0,1
A042,5,10,0,1
A042,6,11,0,1
A043,1,6,0,1
A043,2,7,0,2
A043,3,8,0,2
A043,4,9,0,1
A043,5,10,0,1
A043,6,11,0,1
A044,1,22,0,1
A045,1,14,0,1
A045,2,15,0,1
A045,3,16,0,1
A045,4,17,0,1
A045,5,18,0,1
A046,1,30,0,1
A047,1,30,0,1
A048,1,1,0,1
A048,2,2,0,1
A048,3,4,0,1
A049,1,1,0,1
A049,2,2,0,1
A049,3,4,0,2
A050,1,1,0,1
A050,2,2,0,2
A050,3,4,0,1
A051,1,1,0,1
A051,2,2,0,1
A051,3,4,0,1
A052,1,27,0,1
A052,2,28,0,1
A052,3,29,0,1
A053,1,27,0,1
A053,2,28,0,1
A053,3,29,0,1
A054,1,15,0,1
A054,2,17,0,1
A054,3,18,0,1
A054,4,19,0,1
A054,5,21,0,1
A054,6,22,0,1
A055,1,25,0,1
A055,2,26,0,1
A055,3,27,0,1
A056,1,25,0,1
A056,2,26,0,1
A056,3,27,0,2
A057,1,2,0,1
A057,2,4,0,2
A057,3,5,0,2
A057,4,6,0,2
A057,5,7,0,1
A058,1,22,0,2
A058,2,23,0,1
A058,3,25,0,1
A058,4,27,0,1
A059,1,24,0,1
A059,2,25,0,2
A059,3,27,0,2
A059,4,28,0,1
A059,5,29,0,1
A060,1,24,0,1
A060,2,25,0,1
A060,3,27,0,1
A060,4,28,0,1
A060,5,29,0,1
