activity_id,access_seq,week,eclo,access_night
A001,1,24,0,1
A001,2,25,0,1
A001,3,26,0,1
A001,4,27,0,1
A001,5,28,0,1
A001,6,29,0,1
A002,1,24,0,1
A002,2,25,0,1
A002,3,26,0,1
A002,4,27,0,1
A002,5,28,0,1
A002,6,29,0,1
A003,1,24,0,1
A003,2,25,0,1
A003,3,26,0,1
A003,4,27,0,1
A003,5,28,0,1
A003,6,29,0,1
A004,1,3,0,1
A004,2,4,0,1
A005,1,7,0,1
A005,2,8,0,1
A006,1,7,0,1
A006,2,8,0,1
A007,1,7,0,1
A007,2,8,0,1
A008,1,17,0,1
A008,2,18,0,1
A008,3,19,0,1
A008,4,20,0,1
A008,5,21,0,1
A009,1,17,0,1
A009,2,18,0,1
A009,3,19,0,1
A009,4,20,0,1
A009,5,21,0,1
A010,1,17,0,1
A010,2,18,0,1
A010,3,19,0,1
A010,4,20,0,1
A010,5,21,0,1
A011,1,27,0,1
A012,1,27,0,2
A013,1,27,0,1
A014,1,26,0,1
A014,2,27,0,1
A014,3,28,0,1
A014,4,29,0,1
A015,1,26,0,1
A015,2,27,0,1
A015,3,28,0,1
A015,4,29,0,1
A016,1,26,0,1
A016,2,27,0,1
A016,3,28,0,1
A016,4,29,0,1
A017,1,13,0,1
A017,2,14,0,1
A017,3,15,0,1
A017,4,16,0,1
A017,5,17,0,2
A017,6,18,0,2
A018,1,13,0,1
A018,2,14,0,1
A018,3,15,0,1
A018,4,16,0,1
A018,5,17,0,2
A018,6,18,0,2
A019,1,13,0,1
A019,2,14,0,1
A019,3,15,0,1
A019,4,16,0,1
A019,5,17,0,2
A019,6,18,0,2
A020,1,26,0,1
A021,1,7,0,1
A021,2,8,0,1
A021,3,9,0,1
A021,4,10,0,1
A022,1,7,0,1
A022,2,8,0,1
A022,3,9,0,1
A022,4,10,0,1
A023,1,18,0,1
A023,2,19,0,1
A023,3,20,0,1
A023,4,21,0,1
A024,1,1,0,1
A024,2,2,0,1
A024,3,3,0,1
A024,4,4,0,1
A024,5,5,0,1
A024,6,6,0,1
A025,1,10,0,1
A025,2,11,0,1
A025,3,12,0,1
A025,4,13,0,1
A026,1,10,0,2
A026,2,11,0,1
A026,3,12,0,1
A026,4,13,0,1
A027,1,13,0,2
A027,2,14,0,1
A027,3,15,0,1
A028,1,13,0,1
A028,2,14,0,1
A028,3,15,0,1
A029,1,13,0,1
A029,2,14,0,1
A029,3,15,0,1
A030,1,8,0,1
A031,1,5,0,1
A031,2,6,0,1
A031,3,7,0,1
A032,1,5,0,1
A032,2,6,0,1
A032,3,7,0,2
A033,1,22,0,1
A033,2,23,0,1
A033,3,24,0,2
A033,4,25,0,2
A033,5,26,0,2
A033,6,27,0,2
A034,1,23,0,1
A034,2,24,0,1
A034,3,25,0,1
A035,1,3,0,1
A035,2,4,0,1
A035,3,5,0,1
A036,1,17,0,1
A036,2,18,0,1
A036,3,19,0,1
A036,4,20,0,1
A037,1,23,0,2
A038,1,23,0,1
A039,1,23,0,1
A040,1,12,0,1
A040,2,13,0,1
A041,1,2,0,1
A042,1,2,0,1
A043,1,13,0,2
A043,2,14,0,2
A043,3,15,0,2
A043,4,16,0,2
A043,5,17,0,3
A043,6,18,0,3
A044,1,13,0,3
A044,2,14,0,2
A044,3,15,0,2
A044,4,16,0,1
A044,5,17,0,1
A045,1,24,0,2
A045,2,25,0,2
A045,3,26,0,1
A045,4,27,0,1
A045,5,28,0,1
A045,6,29,0,1
A046,1,24,0,1
A046,2,25,0,1
A046,3,26,0,1
A046,4,27,0,2
A046,5,28,0,1
A046,6,29,0,1
A047,1,24,0,2
A047,2,25,0,2
A047,3,26,0,2
A047,4,27,0,3
A047,5,28,0,2
A047,6,29,0,2
A048,1,23,0,1
