activity_id,access_seq,week,eclo,access_night
A001,1,24,0,1
A001,2,25,0,1
A001,3,26,0,1
A001,4,27,0,1
A001,5,28,0,1
A001,6,29,0,1
A002,1,24,0,1
A002,2,25,0,1
A002,3,26,0,1
A002,4,27,0,1
A002,5,28,0,1
A002,6,29,0,1
A003,1,24,0,2
A003,2,25,0,2
A003,3,26,0,2
A003,4,27,0,2
A003,5,28,0,2
A003,6,29,0,2
A004,1,19,0,1
A004,2,20,0,1
A005,1,24,0,1
A006,1,24,0,1
A007,1,24,0,1
A008,1,15,0,1
A008,2,16,0,1
A009,1,18,0,1
A009,2,19,0,1
A009,3,20,0,1
A009,4,21,0,1
A009,5,23,0,1
A010,1,17,0,1
A010,2,18,0,1
A010,3,19,0,1
A010,4,20,0,1
A010,5,21,0,1
A011,1,17,0,2
A011,2,18,0,2
A011,3,19,0,2
A011,4,20,0,2
A011,5,21,0,2
A012,1,17,0,1
A012,2,18,0,1
A012,3,19,0,1
A012,4,20,0,1
A012,5,21,0,1
A013,1,11,0,1
A013,2,12,0,1
A013,3,13,0,1
A013,4,14,0,1
A013,5,15,0,1
A014,1,11,0,1
A014,2,12,0,1
A014,3,13,0,1
A014,4,14,0,1
A014,5,15,0,1
A015,1,30,0,1
A016,1,30,0,1
A017,1,8,0,1
A017,2,10,0,1
A017,3,11,0,1
A017,4,12,0,1
A018,1,8,0,1
A018,2,10,0,1
A018,3,11,0,1
A018,4,12,0,1
A019,1,11,0,1
A019,2,13,0,1
A019,3,14,0,1
A019,4,15,0,1
A019,5,18,0,1
A019,6,19,0,1
A020,1,11,0,2
A020,2,13,0,1
A020,3,14,0,1
A020,4,15,0,1
A020,5,18,0,1
A020,6,19,0,1
A021,1,11,0,1
A021,2,13,0,1
A021,3,14,0,1
A021,4,15,0,1
A021,5,18,0,1
A021,6,19,0,1
A022,1,12,0,1
A022,2,13,0,1
A022,3,15,0,1
A023,1,12,0,1
A023,2,13,0,1
A023,3,15,0,1
A024,1,10,0,1
A024,2,11,0,1
A024,3,12,0,1
A024,4,13,0,1
A025,1,8,0,1
A025,2,9,0,1
A026,1,8,0,2
A026,2,9,0,1
A027,1,8,0,1
A027,2,9,0,1
A028,1,8,0,1
A028,2,9,0,1
A028,3,10,0,1
A029,1,8,0,1
A029,2,9,0,1
A029,3,10,0,1
A030,1,1,0,1
A030,2,2,0,1
A030,3,4,0,1
A031,1,24,0,1
A031,2,25,0,1
A031,3,26,0,1
A031,4,27,0,1
A032,1,24,0,2
A032,2,25,0,1
A032,3,26,0,1
A032,4,27,0,1
A033,1,24,0,1
A033,2,25,0,1
A033,3,26,0,1
A033,4,27,0,1
A034,1,24,0,2
A034,2,25,0,2
A034,3,26,0,2
A034,4,27,0,2
A034,5,29,0,2
A034,6,30,0,1
A035,1,24,0,1
A035,2,25,0,1
A035,3,26,0,1
A035,4,27,0,1
A035,5,29,0,1
A035,6,30,0,1
A036,1,4,0,1
A036,2,6,0,1
A036,3,8,0,2
A037,1,13,0,1
A037,2,15,0,1
A037,3,16,0,1
A038,1,13,0,1
A038,2,15,0,1
A038,3,16,0,1
A039,1,13,0,1
A039,2,15,0,1
A039,3,16,0,1
A040,1,26,0,1
A041,1,26,0,2
A042,1,26,0,2
A043,1,12,0,1
A043,2,14,0,1
A043,3,15,0,1
A043,4,16,0,1
A043,5,17,0,1
A043,6,18,0,2
A044,1,15,0,2
A044,2,18,0,1
A045,1,15,0,1
A045,2,18,0,1
A046,1,15,0,2
A046,2,18,0,2
A047,1,20,0,1
A047,2,21,0,1
A047,3,22,0,1
A048,1,24,0,1
A048,2,25,0,1
A048,3,26,0,1
