activity_id,week,location_id,co_share_group
A001,16,PLAT:ALP:H01:WB,g001
A001,16,PLAT:ALP:H02:WB,g001
A001,16,PLAT:ALP:S04:WB,g001
A001,16,SEC:ALP:H01_H02:WB,g001
A001,16,SEC:ALP:S04_H01:WB,g001
A002,16,PLAT:ALP:H01:WB,g001
A002,16,PLAT:ALP:H02:WB,g001
A002,16,PLAT:ALP:S04:WB,g001
A002,16,SEC:ALP:H01_H02:WB,g001
A002,16,SEC:ALP:S04_H01:WB,g001
A003,16,PLAT:ALP:H01:WB,g001
A003,16,PLAT:ALP:S03:WB,g001
A003,16,PLAT:ALP:S04:WB,g001
A003,16,SEC:ALP:S03_S04:WB,g001
A003,16,SEC:ALP:S04_H01:WB,g001
A001,17,PLAT:ALP:H01:WB,g001
A001,17,PLAT:ALP:H02:WB,g001
A001,17,PLAT:ALP:S04:WB,g001
A001,17,SEC:ALP:H01_H02:WB,g001
A001,17,SEC:ALP:S04_H01:WB,g001
A002,17,PLAT:ALP:H01:WB,g001
A002,17,PLAT:ALP:H02:WB,g001
A002,17,PLAT:ALP:S04:WB,g001
A002,17,SEC:ALP:H01_H02:WB,g001
A002,17,SEC:ALP:S04_H01:WB,g001
A003,17,PLAT:ALP:H01:WB,g001
A003,17,PLAT:ALP:S03:WB,g001
A003,17,PLAT:ALP:S04:WB,g001
A003,17,SEC:ALP:S03_S04:WB,g001
A003,17,SEC:ALP:S04_H01:WB,g001
A001,18,PLAT:ALP:H01:WB,g001
A001,18,PLAT:ALP:H02:WB,g001
A001,18,PLAT:ALP:S04:WB,g001
A001,18,SEC:ALP:H01_H02:WB,g001
A001,18,SEC:ALP:S04_H01:WB,g001
A002,18,PLAT:ALP:H01:WB,g001
A002,18,PLAT:ALP:H02:WB,g001
A002,18,PLAT:ALP:S04:WB,g001
A002,18,SEC:ALP:H01_H02:WB,g001
A002,18,SEC:ALP:S04_H01:WB,g001
A003,18,PLAT:ALP:H01:WB,g001
A003,18,PLAT:ALP:S03:WB,g001
A003,18,PLAT:ALP:S04:WB,g001
A003,18,SEC:ALP:S03_S04:WB,g001
A003,18,SEC:ALP:S04_H01:WB,g001
A001,20,PLAT:ALP:H01:WB,g001
A001,20,PLAT:ALP:H02:WB,g001
A001,20,PLAT:ALP:S04:WB,g001
A001,20,SEC:ALP:H01_H02:WB,g001
A001,20,SEC:ALP:S04_H01:WB,g001
A002,20,PLAT:ALP:H01:WB,g001
A002,20,PLAT:ALP:H02:WB,g001
A002,20,PLAT:ALP:S04:WB,g001
A002,20,SEC:ALP:H01_H02:WB,g001
A002,20,SEC:ALP:S04_H01:WB,g001
A003,20,PLAT:ALP:H01:WB,g001
A003,20,PLAT:ALP:S03:WB,g001
A003,20,PLAT:ALP:S04:WB,g001
A003,20,SEC:ALP:S03_S04:WB,g001
A003,20,SEC:ALP:S04_H01:WB,g001
A001,21,PLAT:ALP:H01:WB,g001
A001,21,PLAT:ALP:H02:WB,g001
A001,21,PLAT:ALP:S04:WB,g001
A001,21,SEC:ALP:H01_H02:WB,g001
A001,21,SEC:ALP:S04_H01:WB,g001
A002,21,PLAT:ALP:H01:WB,g001
A002,21,PLAT:ALP:H02:WB,g001
A002,21,PLAT:ALP:S04:WB,g001
A002,21,SEC:ALP:H01_H02:WB,g001
A002,21,SEC:ALP:S04_H01:WB,g001
A003,21,PLAT:ALP:H01:WB,g001
A003,21,PLAT:ALP:S03:WB,g001
A003,21,PLAT:ALP:S04:WB,g001
A003,21,SEC:ALP:S03_S04:WB,g001
A003,21,SEC:ALP:S04_H01:WB,g001
A004,16,PLAT:BET:S17:WB,g002
A004,16,PLAT:BET:S18:WB,g002
A004,16,SEC:BET:S17_S18:WB,g002
