activity_id,access_seq,week,eclo,access_night
A001,1,16,0,1
A001,2,17,0,1
A001,3,18,0,1
A001,4,19,0,1
A001,5,20,0,1
A002,1,16,0,1
A002,2,17,0,1
A002,3,18,0,1
A002,4,19,0,1
A002,5,20,0,1
A003,1,16,0,1
A003,2,17,0,1
A003,3,18,0,1
A003,4,19,0,1
A003,5,20,0,1
A004,1,5,0,1
A004,2,6,0,1
A004,3,7,0,1
A004,4,8,0,1
A005,1,5,0,1
A005,2,6,0,1
A005,3,7,0,1
A005,4,8,0,1
A006,1,5,0,1
A006,2,6,0,1
A006,3,7,0,1
A006,4,8,0,1
A007,1,5,0,1
A007,2,6,0,1
A007,3,7,0,1
A007,4,8,0,1
A008,1,12,0,1
A008,2,13,0,1
A008,3,14,0,1
A008,4,15,0,1
A008,5,16,0,1
A008,6,17,0,1
A009,1,12,0,1
A009,2,13,0,1
A009,3,14,0,1
A009,4,15,0,1
A009,5,16,0,2
A009,6,17,0,2
A010,1,12,0,1
A010,2,13,0,1
A010,3,14,0,1
A010,4,15,0,1
A010,5,16,0,2
A010,6,17,0,2
A011,1,12,0,1
A011,2,13,0,1
A011,3,14,0,1
A011,4,15,0,1
A011,5,16,0,1
A011,6,17,0,1
A012,1,3,0,1
A012,2,4,0,1
A013,1,3,0,1
A013,2,4,0,1
A014,1,12,0,1
A014,2,13,0,1
A014,3,14,0,1
A014,4,15,0,1
A014,5,16,0,2
A014,6,17,0,2
A015,1,12,0,1
A015,2,13,0,1
A015,3,14,0,1
A015,4,15,0,1
A015,5,16,0,1
A015,6,17,0,1
A016,1,12,0,1
A016,2,13,0,1
A016,3,14,0,1
A016,4,15,0,1
A016,5,16,0,2
A016,6,17,0,2
A017,1,12,0,1
A017,2,13,0,1
A017,3,14,0,1
A017,4,15,0,1
A017,5,16,0,1
A017,6,17,0,1
A018,1,11,0,1
A018,2,12,0,2
A018,3,13,0,2
A018,4,14,0,2
A018,5,15,0,2
A018,6,16,0,2
A019,1,11,0,1
A019,2,12,0,2
A019,3,13,0,2
A019,4,14,0,2
A019,5,15,0,2
A019,6,16,0,3
A020,1,11,0,1
A020,2,12,0,2
A020,3,13,0,2
A020,4,14,0,2
A020,5,15,0,2
A020,6,16,0,3
A021,1,11,0,1
A021,2,12,0,2
A021,3,13,0,2
A021,4,14,0,2
A021,5,15,0,2
A021,6,16,0,2
A022,1,2,0,1
A022,2,3,0,2
A022,3,4,0,2
A022,4,5,0,2
A022,5,6,0,2
A023,1,2,0,1
A023,2,3,0,1
A023,3,4,0,1
A023,4,5,0,1
A023,5,6,0,1
A024,1,13,0,1
A025,1,25,0,1
A026,1,22,0,1
A026,2,23,0,1
A026,3,24,0,1
A026,4,25,0,1
A026,5,26,0,1
A027,1,18,0,2
A027,2,19,0,2
A027,3,20,0,2
A027,4,21,0,1
A028,1,16,0,1
A028,2,17,0,1
A028,3,18,0,1
A028,4,19,0,1
A028,5,20,0,1
A029,1,24,0,1
A029,2,25,0,2
A029,3,26,0,1
A030,1,21,0,1
A030,2,22,0,1
A030,3,23,0,1
A031,1,19,0,1
A031,2,20,0,1
A031,3,21,0,1
A031,4,22,0,1
A032,1,17,0,1
A032,2,18,0,1
A032,3,19,0,1
A032,4,20,0,1
A032,5,21,0,1
A032,6,22,0,1
A033,1,17,0,3
A033,2,18,0,2
A033,3,19,0,2
A033,4,20,0,2
A033,5,21,0,1
A033,6,22,0,1
A034,1,17,0,2
A034,2,18,0,2
A034,3,19,0,2
A034,4,20,0,2
A034,5,21,0,1
A034,6,22,0,1
A035,1,17,0,3
A035,2,18,0,3
A035,3,19,0,3
A035,4,20,0,3
A035,5,21,0,2
A035,6,22,0,1
A036,1,1,0,1
A037,1,1,0,1
A038,1,27,0,1
A038,2,28,0,1
A039,1,27,0,1
A039,2,28,0,1
A040,1,27,0,1
A040,2,28,0,1
A041,1,27,0,1
A041,2,28,0,1
A042,1,14,0,2
A042,2,15,0,2
A043,1,14,0,2
A043,2,15,0,2
A044,1,1,0,1
A045,1,1,0,1
A046,1,1,0,1
A047,1,17,0,4
A047,2,18,0,3
A048,1,20,0,2
A048,2,21,0,2
A048,3,22,0,2
A048,4,23,0,1
A049,1,20,0,1
A049,2,21,0,1
A049,3,22,0,1
A049,4,23,0,1
A050,1,20,0,1
A050,2,21,0,1
A050,3,22,0,1
A050,4,23,0,1
A051,1,20,0,1
A051,2,21,0,1
A051,3,22,0,1
A051,4,23,0,1
A052,1,28,0,2
A052,2,29,0,1
A053,1,28,0,1
A053,2,29,0,1
A054,1,28,0,2
A054,2,29,0,1
A055,1,24,0,1
A056,1,4,0,1
A056,2,5,0,1
A056,3,6,0,1
A057,1,4,0,1
A057,2,5,0,1
A057,3,6,0,1
A058,1,4,0,2
A058,2,5,0,2
A058,3,6,0,2
A059,1,19,0,1
A059,2,20,0,1
A059,3,21,0,1
A059,4,22,0,1
A060,1,19,0,4
A060,2,20,0,4
A060,3,21,0,3
A060,4,22,0,2
A061,1,19,0,3
A061,2,20,0,3
A061,3,21,0,2
A061,4,22,0,2
A062,1,16,0,3
A063,1,16,0,2
A064,1,27,0,1
A064,2,28,0,1
A064,3,29,0,1
A064,4,30,0,1
A065,1,27,0,2
A065,2,28,0,3
A065,3,29,0,2
A065,4,30,0,1
A066,1,13,0,2
A066,2,14,0,2
A066,3,15,0,2
A066,4,16,0,2
A067,1,13,0,3
A067,2,14,0,3
A067,3,15,0,3
A067,4,16,0,3
A068,1,13,0,1
A068,2,14,0,1
A068,3,15,0,1
A068,4,16,0,2
A069,1,17,0,2
A069,2,18,0,2
A069,3,19,0,2
A069,4,21,0,1
A070,1,25,0,1
A070,2,26,0,1
A070,3,27,0,2
A071,1,25,0,1
A071,2,26,0,1
A071,3,27,0,1
A072,1,14,0,3
A072,2,15,0,3
A072,3,18,0,4
A072,4,22,0,3
