activity_id,week,location_id,co_share_group
A001,5,PLAT:ALP:H01:EB,g001
A001,5,PLAT:ALP:H02:EB,g001
A001,5,PLAT:ALP:S05:EB,g001
A001,5,SEC:ALP:H01_H02:EB,g001
A001,5,SEC:ALP:H02_S05:EB,g001
A002,12,PLAT:ALP:H01:EB,g002
A002,12,PLAT:ALP:H02:EB,g002
A002,12,PLAT:ALP:S04:EB,g002
A002,12,PLAT:ALP:S05:EB,g002
A002,12,SEC:ALP:H01_H02:EB,g002
A002,12,SEC:ALP:H02_S05:EB,g002
A002,12,SEC:ALP:S04_H01:EB,g002
A003,12,PLAT:ALP:H01:EB,g002
A003,12,PLAT:ALP:H02:EB,g002
A003,12,SEC:ALP:H01_H02:EB,g002
A004,1,PLAT:BET:H01:EB,g003
A004,1,PLAT:BET:H02:EB,g003
A004,1,PLAT:BET:S14:EB,g003
A004,1,SEC:BET:H01_H02:EB,g003
A004,1,SEC:BET:S14_H01:EB,g003
A004,3,PLAT:BET:H01:EB,g003
A004,3,PLAT:BET:H02:EB,g003
A004,3,PLAT:BET:S14:EB,g003
A004,3,SEC:BET:H01_H02:EB,g003
A004,3,SEC:BET:S14_H01:EB,g003
A004,4,PLAT:BET:H01:EB,g003
A004,4,PLAT:BET:H02:EB,g003
A004,4,PLAT:BET:S14:EB,g003
A004,4,SEC:BET:H01_H02:EB,g003
A004,4,SEC:BET:S14_H01:EB,g003
A004,7,PLAT:BET:H01:EB,g003
A004,7,PLAT:BET:H02:EB,g003
A004,7,PLAT:BET:S14:EB,g003
A004,7,SEC:BET:H01_H02:EB,g003
A004,7,SEC:BET:S14_H01:EB,g003
A004,8,PLAT:BET:H01:EB,g003
A004,8,PLAT:BET:H02:EB,g003
A004,8,PLAT:BET:S14:EB,g003
A004,8,SEC:BET:H01_H02:EB,g003
A004,8,SEC:BET:S14_H01:EB,g003
A005,5,PLAT:BET:H01:WB,g004
A005,5,PLAT:BET:H02:WB,g004
A005,5,PLAT:BET:S14:WB,g004
A005,5,PLAT:BET:S15:WB,g004
A005,5,SEC:BET:H01_H02:WB,g004
A005,5,SEC:BET:H02_S15:WB,g004
A005,5,SEC:BET:S14_H01:WB,g004
A006,5,PLAT:BET:H01:WB,g004
A006,5,PLAT:BET:H02:WB,g004
A006,5,SEC:BET:H01_H02:WB,g004
A007,11,PLAT:ALP:H01:EB,g005
A007,11,PLAT:ALP:H02:EB,g005
A007,11,PLAT:ALP:S05:EB,g005
A007,11,SEC:ALP:H01_H02:EB,g005
A007,11,SEC:ALP:H02_S05:EB,g005
A007,12,PLAT:ALP:H01:EB,g005
A007,12,PLAT:ALP:H02:EB,g005
A007,12,PLAT:ALP:S05:EB,g005
A007,12,SEC:ALP:H01_H02:EB,g005
A007,12,SEC:ALP:H02_S05:EB,g005
A007,13,PLAT:ALP:H01:EB,g005
A007,13,PLAT:ALP:H02:EB,g005
A007,13,PLAT:ALP:S05:EB,g005
A007,13,SEC:ALP:H01_H02:EB,g005
A007,13,SEC:ALP:H02_S05:EB,g005
A007,14,PLAT:ALP:H01:EB,g005
A007,14,PLAT:ALP:H02:EB,g005
A007,14,PLAT:ALP:S05:EB,g005
A007,14,SEC:ALP:H01_H02:EB,g005
A007,14,SEC:ALP:H02_S05:EB,g005
A008,8,PLAT:ALP:H01:WB,g006
A008,8,PLAT:ALP:H02:WB,g006
A008,8,PLAT:ALP:S04:WB,g006
A008,8,PLAT:ALP:S05:WB,g006
A008,8,SEC:ALP:H01_H02:WB,g006
A008,8,SEC:ALP:H02_S05:WB,g006
A008,8,SEC:ALP:S04_H01:WB,g006
A009,16,PLAT:BET:H01:WB,g007
A009,16,PLAT:BET:H02:WB,g007
A009,16,SEC:BET:H01_H02:WB,g007
A010,16,PLAT:BET:H01:WB,g007
A010,16,PLAT:BET:H02:WB,g007
A010,16,SEC:BET:H01_H02:WB,g007
A011,16,PLAT:BET:H01:WB,g007
A011,16,PLAT:BET:H02:WB,g007
A011,16,SEC:BET:H01_H02:WB,g007
A012,9,PLAT:BET:H01:WB,g008
A012,9,PLAT:BET:H02:WB,g008
A012,9,SEC:BET:H01_H02:WB,g008
A012,10,PLAT:BET:H01:WB,g008
A012,10,PLAT:BET:H02:WB,g008
A012,10,SEC:BET:H01_H02:WB,g008
A012,11,PLAT:BET:H01:WB,g008
A012,11,PLAT:BET:H02:WB,g008
A012,11,SEC:BET:H01_H02:WB,g008
A012,12,PLAT:BET:H01:WB,g008
A012,12,PLAT:BET:H02:WB,g008
A012,12,SEC:BET:H01_H02:WB,g008
A012,13,PLAT:BET:H01:WB,g008
A012,13,PLAT:BET:H02:WB,g008
A012,13,SEC:BET:H01_H02:WB,g008
A013,10,PLAT:ALP:H01:EB,g009
A013,10,PLAT:ALP:H02:EB,g009
A013,10,PLAT:ALP:S04:EB,g009
A013,10,PLAT:ALP:S05:EB,g009
A013,10,SEC:ALP:H01_H02:EB,g009
A013,10,SEC:ALP:H02_S05:EB,g009
A013,10,SEC:ALP:S04_H01:EB,g009
A013,11,PLAT:ALP:H01:EB,g009
A013,11,PLAT:ALP:H02:EB,g009
A013,11,PLAT:ALP:S04:EB,g009
A013,11,PLAT:ALP:S05:EB,g009
A013,11,SEC:ALP:H01_H02:EB,g009
A013,11,SEC:ALP:H02_S05:EB,g009
A013,11,SEC:ALP:S04_H01:EB,g009
A013,12,PLAT:ALP:H01:EB,g009
