activity_id,access_seq,week,eclo,access_night
A001,1,4,0,1
A002,1,4,0,1
A002,2,5,0,1
A003,1,7,0,1
A003,2,8,0,1
A003,3,9,0,1
A003,4,10,0,1
A003,5,11,0,1
A004,1,7,0,1
A004,2,8,0,1
A004,3,9,0,1
A004,4,10,0,1
A004,5,11,0,1
A005,1,7,0,1
A005,2,8,0,1
A005,3,9,0,1
A005,4,10,0,1
A005,5,11,0,1
A006,1,11,0,1
A006,2,12,0,1
A007,1,11,0,2
A007,2,12,0,1
A008,1,11,0,1
A008,2,12,0,1
A009,1,3,0,1
A009,2,4,0,1
A009,3,5,0,1
A009,4,6,0,1
A010,1,10,0,1
A010,2,11,0,1
A010,3,12,0,1
A011,1,10,0,1
A011,2,11,0,1
A011,3,12,0,1
A012,1,2,0,1
A012,2,3,0,1
A012,3,4,0,2
A012,4,5,0,1
A013,1,1,0,1
A013,2,2,0,1
A014,1,1,0,1
A014,2,2,0,1
A015,1,1,0,1
A015,2,2,0,1
A016,1,1,0,1
A016,2,2,0,1
A017,1,1,0,1
A017,2,2,0,2
A017,3,3,0,2
A017,4,4,0,3
A017,5,5,0,2
A018,1,2,0,1
A018,2,3,0,1
A019,1,2,0,1
A019,2,3,0,1
A020,1,13,0,1
A020,2,14,0,1
A020,3,15,0,1
A020,4,16,0,1
A021,1,8,0,1
A021,2,9,0,1
A022,1,8,0,2
A022,2,9,0,2
A023,1,8,0,1
A023,2,9,0,1
A024,1,4,0,4
A025,1,11,0,1
A025,2,12,0,1
A026,1,11,0,1
A026,2,12,0,1
A027,1,11,0,3
A027,2,12,0,2
A028,1,11,0,1
A028,2,12,0,1
A029,1,7,0,2
A029,2,8,0,2
A029,3,9,0,2
A029,4,10,0,2
A030,1,7,0,1
A030,2,8,0,1
A030,3,9,0,1
A030,4,10,0,1
A031,1,13,0,1
A031,2,14,0,1
A031,3,15,0,1
A032,1,13,0,1
A032,2,14,0,1
A032,3,15,0,1
A033,1,3,0,1
A033,2,4,0,1
A033,3,5,0,1
A033,4,6,0,1
A034,1,3,0,1
A034,2,4,0,1
A034,3,5,0,1
A034,4,6,0,1
A035,1,13,0,1
A035,2,14,0,1
A035,3,15,0,1
A036,1,13,0,1
A036,2,14,0,1
A036,3,15,0,1
A037,1,13,0,1
A037,2,14,0,1
A037,3,15,0,1
A038,1,13,0,1
A038,2,14,0,1
A038,3,15,0,1
A039,1,12,0,2
A039,2,13,0,1
A040,1,12,0,2
A040,2,13,0,2
A041,1,12,0,2
A041,2,13,0,2
A042,1,12,0,2
A042,2,13,0,1
A043,1,2,0,1
A043,2,3,0,1
A044,1,2,0,1
A044,2,3,0,1
A045,1,2,0,2
A045,2,3,0,2
A046,1,7,0,1
A047,1,13,0,1
A048,1,13,0,2
A049,1,13,0,1
A050,1,5,0,1
A050,2,6,0,1
A050,3,7,0,1
A051,1,5,0,2
A051,2,6,0,2
A051,3,7,0,1
A052,1,5,0,1
A052,2,6,0,1
A052,3,7,0,1
A053,1,5,0,1
A053,2,6,0,1
A053,3,7,0,2
A054,1,13,0,1
A055,1,13,0,1
A056,1,13,0,3
A057,1,13,0,3
A058,1,13,0,2
A059,1,12,0,1
A060,1,5,0,1
A060,2,6,0,1
A060,3,7,0,1
A061,1,5,0,2
A061,2,6,0,2
A061,3,7,0,3
A062,1,5,0,1
A062,2,6,0,1
A062,3,7,0,1
A063,1,5,0,2
A063,2,6,0,2
A063,3,7,0,3
A064,1,10,0,1
A064,2,11,0,2
A064,3,12,0,3
A065,1,10,0,1
A065,2,11,0,1
A065,3,12,0,1
A066,1,10,0,2
A066,2,11,0,2
A066,3,12,0,1
A067,1,12,0,2
A067,2,14,0,1
A067,3,15,0,1
A067,4,16,0,1
A068,1,3,0,1
A068,2,6,0,2
A068,3,7,0,2
A068,4,8,0,1
A069,1,9,0,1
A069,2,10,0,1
A070,1,9,0,1
A070,2,10,0,1
A071,1,9,0,1
A071,2,10,0,2
A072,1,9,0,2
A072,2,10,0,1
