activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,4,2028-02-07,,2
A002,C001,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,4,2028-02-21,,3
A003,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,6,2028-03-06,,2
A004,C003,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2028-05-01,,1
A005,C004,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2028-05-01,A003,1
A006,C005,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,3,2028-05-15,,2
A007,C004,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,3,2028-05-29,,3
A008,C006,Construction,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,4,2028-05-15,,2
A009,C007,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,4,2028-05-15,A005,1
A010,C006,Construction,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,4,2028-04-24,,2
A011,C007,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,4,2028-05-15,A005,1
A012,C003,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2028-05-15,A005,3
A013,C008,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2028-05-01,,2
A014,C009,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2028-05-08,,3
A015,C003,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,1,2027-10-11,,2
A016,C010,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,1,2027-09-27,,3
A017,C011,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,3,2028-01-24,,3
A018,C012,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S16_S17:EB,4,2028-03-06,,2
A019,C013,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S16_S17:EB,4,2028-02-14,,1
A020,C010,Construction,SEC:BET:H01_H02:EB,SEC:BET:S16_S17:EB,4,2028-02-21,A017,1
A021,C012,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,4,2028-04-03,A003,2
A022,C013,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,4,2028-04-10,,3
A023,C001,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,4,2028-04-10,A003,3
A024,C007,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-10-25,,2
A025,C014,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-11-01,,1
A026,C009,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-10-25,,3
A027,C015,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S14_H01:EB,5,2027-11-15,,3
A028,C007,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S14_H01:EB,5,2027-11-29,A026,2
A029,C007,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S14_H01:EB,5,2027-11-15,,1
A030,C016,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,3,2027-11-22,,3
A031,C010,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,3,2027-11-29,A026,1
A032,C006,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,6,2028-02-28,A031,3
A033,C017,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,6,2028-02-28,,1
A034,C018,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,6,2028-02-21,,1
A035,C005,Renewal,SEC:BET:S13_S14:WB,SEC:BET:H01_H02:WB,5,2027-09-13,,1
A036,C019,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2028-03-20,,1
A037,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,6,2028-03-13,A017,3
A038,C018,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,6,2028-02-21,,2
A039,C020,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,6,2028-02-28,,2
A040,C011,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,6,2028-03-06,,3
A041,C006,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,4,2028-02-28,,1
A042,C021,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,4,2028-03-06,,2
A043,C008,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:H02_S05:WB,6,2027-12-20,,2
A044,C008,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:H02_S05:WB,6,2027-12-27,,1
A045,C022,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:H02_S05:WB,6,2027-12-27,,1
A046,C013,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:H02_S05:WB,6,2028-01-10,A031,2
A047,C003,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2028-01-10,A031,3
A048,C005,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2028-02-14,,3
A049,C017,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2028-01-24,A047,3
A050,C004,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2028-02-14,,2
A051,C009,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2028-01-24,A047,2
A052,C017,Construction,SEC:BET:H02_S15:EB,SEC:BET:S17_S18:EB,1,2028-04-24,,2
