scenario,contract_number,simulated_completion_date,overrun_days
A,C001,2028-05-28,0
A,C002,2028-04-16,0
A,C003,2028-06-18,0
A,C004,2028-06-18,0
A,C005,2028-06-18,0
A,C006,2028-06-11,0
A,C007,2028-06-11,0
A,C008,2028-06-04,0
A,C009,2028-06-04,0
A,C010,2028-04-02,0
A,C011,2028-04-23,0
A,C012,2028-05-14,0
A,C013,2028-05-14,0
A,C014,2028-04-30,0
A,C015,2028-01-02,0
A,C016,2028-01-02,0
A,C017,2028-05-21,0
A,C018,2028-05-21,0
A,C019,2028-04-02,0
A,C020,2028-06-18,0
A,C021,2028-04-16,0
A,C022,2028-02-20,0
