scenario,contract_number,simulated_completion_date,overrun_days
B,C001,2028-05-28,0
B,C002,2028-04-16,0
B,C003,2028-06-18,0
B,C004,2028-06-18,0
B,C005,2028-06-18,0
B,C006,2028-06-11,0
B,C007,2028-06-11,0
B,C008,2028-06-04,0
B,C009,2028-06-04,0
B,C010,2028-04-02,0
B,C011,2028-04-23,0
B,C012,2028-05-14,0
B,C013,2028-05-14,0
B,C014,2028-04-30,0
B,C015,2028-01-02,0
B,C016,2028-01-02,0
B,C017,2028-05-21,0
B,C018,2028-05-21,0
B,C019,2028-04-02,0
B,C020,2028-06-18,0
B,C021,2028-04-16,0
B,C022,2028-02-20,0
