activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,4,2027-03-15,,3
A002,C002,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,4,2027-03-15,,1
A003,C003,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-01-04,,3
A004,C003,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,6,2027-03-29,,1
A005,C004,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,6,2027-01-04,,1
A006,C005,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,3,2027-03-08,,2
A007,C006,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,1,2027-02-01,,2
A008,C007,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,5,2027-01-04,,2
A009,C001,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,5,2027-01-25,,2
A010,C003,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,5,2027-04-05,,1
A011,C008,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,5,2027-04-05,A006,2
A012,C005,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,6,2027-02-22,,3
A013,C001,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,6,2027-02-22,A007,3
A014,C001,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,1,2027-04-19,,1
A015,C001,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,1,2027-04-26,,2
A016,C001,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,4,2027-02-08,,3
A017,C008,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,4,2027-03-01,,2
A018,C009,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-05-03,,3
