activity_id,access_seq,week,eclo,access_night
A001,1,12,0,1
A001,2,13,0,1
A001,3,14,0,1
A001,4,15,0,1
A002,1,12,0,1
A002,2,13,0,1
A002,3,14,0,1
A002,4,15,0,1
A003,1,1,0,1
A003,2,2,0,1
A003,3,3,0,1
A003,4,4,0,1
A004,1,15,0,1
A004,2,16,0,1
A004,3,17,0,1
A004,4,18,0,1
A004,5,19,0,1
A004,6,20,0,1
A005,1,3,0,1
A005,2,4,0,1
A005,3,5,0,1
A005,4,8,0,1
A005,5,9,0,1
A005,6,10,0,1
A006,1,10,0,1
A006,2,11,0,1
A006,3,12,0,1
A007,1,6,0,1
A008,1,4,0,1
A008,2,5,0,1
A008,3,6,0,1
A008,4,8,0,1
A008,5,10,0,1
A009,1,4,0,1
A009,2,5,0,1
A009,3,6,0,1
A009,4,8,0,1
A009,5,10,0,1
A010,1,14,0,1
A010,2,17,0,2
A010,3,18,0,2
A010,4,19,0,2
A010,5,20,0,2
A011,1,14,0,1
A011,2,17,0,1
A011,3,18,0,1
A011,4,19,0,1
A011,5,20,0,1
A012,1,8,0,1
A012,2,9,0,1
A012,3,10,0,2
A012,4,11,0,2
A012,5,12,0,2
A012,6,13,0,1
A013,1,8,0,2
A013,2,9,0,1
A013,3,10,0,2
A013,4,11,0,1
A013,5,12,0,2
A013,6,13,0,2
A014,1,17,0,1
A015,1,17,0,2
A016,1,9,0,2
A016,2,12,0,3
A016,3,13,0,3
A016,4,15,0,2
A017,1,9,0,1
A017,2,12,0,1
A017,3,13,0,1
A017,4,15,0,1
A018,1,20,0,1
