activity_id,access_seq,week,eclo,access_night
A001,1,12,0,1
A001,2,13,0,1
A001,3,14,0,1
A001,4,15,0,1
A002,1,12,0,1
A002,2,13,0,1
A002,3,14,0,1
A002,4,15,0,1
A003,1,8,0,1
A004,1,8,0,1
A005,1,5,0,1
A005,2,6,0,1
A006,1,5,0,1
A006,2,6,0,1
A007,1,11,0,1
A007,2,12,0,1
A008,1,14,0,1
A008,2,15,0,1
A008,3,16,0,1
A008,4,17,0,1
A008,5,18,0,1
A009,1,14,0,1
A009,2,15,0,1
A009,3,16,0,1
A009,4,17,0,1
A009,5,18,0,1
A010,1,10,0,1
A010,2,11,0,1
A010,3,12,0,1
A010,4,13,0,1
A011,1,12,0,1
A011,2,13,0,1
A011,3,14,0,1
A011,4,15,0,1
A012,1,12,0,2
A012,2,13,0,1
A012,3,14,0,1
A012,4,15,0,1
A013,1,17,0,1
A013,2,18,0,1
A014,1,17,0,1
A014,2,18,0,1
A015,1,18,0,1
A016,1,18,0,2
A017,1,10,0,1
A018,1,9,0,1
A018,2,10,0,1
A018,3,11,0,1
A018,4,12,0,1
A018,5,13,0,1
A018,6,14,0,1
