activity_id,week,location_id,co_share_group
A001,12,PLAT:ALP:S02:EB,g001
A001,12,PLAT:ALP:S03:EB,g001
A001,12,SEC:ALP:S02_S03:EB,g001
A002,12,PLAT:ALP:S02:EB,g001
A002,12,PLAT:ALP:S03:EB,g001
A002,12,SEC:ALP:S02_S03:EB,g001
A001,13,PLAT:ALP:S02:EB,g001
A001,13,PLAT:ALP:S03:EB,g001
A001,13,SEC:ALP:S02_S03:EB,g001
A002,13,PLAT:ALP:S02:EB,g001
A002,13,PLAT:ALP:S03:EB,g001
A002,13,SEC:ALP:S02_S03:EB,g001
A001,14,PLAT:ALP:S02:EB,g001
A001,14,PLAT:ALP:S03:EB,g001
A001,14,SEC:ALP:S02_S03:EB,g001
A002,14,PLAT:ALP:S02:EB,g001
A002,14,PLAT:ALP:S03:EB,g001
A002,14,SEC:ALP:S02_S03:EB,g001
A001,15,PLAT:ALP:S02:EB,g001
A001,15,PLAT:ALP:S03:EB,g001
A001,15,SEC:ALP:S02_S03:EB,g001
A002,15,PLAT:ALP:S02:EB,g001
A002,15,PLAT:ALP:S03:EB,g001
A002,15,SEC:ALP:S02_S03:EB,g001
A003,8,PLAT:ALP:H01:EB,g002
A003,8,PLAT:ALP:S04:EB,g002
A003,8,SEC:ALP:S04_H01:EB,g002
A004,8,PLAT:ALP:H01:EB,g002
A004,8,PLAT:ALP:S04:EB,g002
A004,8,SEC:ALP:S04_H01:EB,g002
A005,5,PLAT:ALP:H02:WB,g003
A005,5,PLAT:ALP:S05:WB,g003
A005,5,SEC:ALP:H02_S05:WB,g003
A006,5,PLAT:ALP:H02:WB,g003
A006,5,PLAT:ALP:S05:WB,g003
A006,5,SEC:ALP:H02_S05:WB,g003
A005,6,PLAT:ALP:H02:WB,g003
A005,6,PLAT:ALP:S05:WB,g003
A005,6,SEC:ALP:H02_S05:WB,g003
A006,6,PLAT:ALP:H02:WB,g003
A006,6,PLAT:ALP:S05:WB,g003
A006,6,SEC:ALP:H02_S05:WB,g003
A007,11,PLAT:BET:S17:EB,g004
A007,11,PLAT:BET:S18:EB,g004
A007,11,SEC:BET:S17_S18:EB,g004
A007,12,PLAT:BET:S17:EB,g004
A007,12,PLAT:BET:S18:EB,g004
A007,12,SEC:BET:S17_S18:EB,g004
A008,14,PLAT:ALP:H01:EB,g005
A008,14,PLAT:ALP:S04:EB,g005
A008,14,SEC:ALP:S04_H01:EB,g005
A009,14,PLAT:ALP:H01:EB,g005
A009,14,PLAT:ALP:S04:EB,g005
A009,14,SEC:ALP:S04_H01:EB,g005
A008,15,PLAT:ALP:H01:EB,g005
A008,15,PLAT:ALP:S04:EB,g005
A008,15,SEC:ALP:S04_H01:EB,g005
A009,15,PLAT:ALP:H01:EB,g005
A009,15,PLAT:ALP:S04:EB,g005
A009,15,SEC:ALP:S04_H01:EB,g005
A008,16,PLAT:ALP:H01:EB,g005
A008,16,PLAT:ALP:S04:EB,g005
A008,16,SEC:ALP:S04_H01:EB,g005
A009,16,PLAT:ALP:H01:EB,g005
A009,16,PLAT:ALP:S04:EB,g005
A009,16,SEC:ALP:S04_H01:EB,g005
A008,17,PLAT:ALP:H01:EB,g005
A008,17,PLAT:ALP:S04:EB,g005
A008,17,SEC:ALP:S04_H01:EB,g005
A009,17,PLAT:ALP:H01:EB,g005
A009,17,PLAT:ALP:S04:EB,g005
A009,17,SEC:ALP:S04_H01:EB,g005
A008,18,PLAT:ALP:H01:EB,g005
A008,18,PLAT:ALP:S04:EB,g005
A008,18,SEC:ALP:S04_H01:EB,g005
A009,18,PLAT:ALP:H01:EB,g005
A009,18,PLAT:ALP:S04:EB,g005
A009,18,SEC:ALP:S04_H01:EB,g005
A010,10,PLAT:ALP:S03:WB,g006
A010,10,PLAT:ALP:S04:WB,g006
A010,10,SEC:ALP:S03_S04:WB,g006
A010,11,PLAT:ALP:S03:WB,g006
A010,11,PLAT:ALP:S04:WB,g006
A010,11,SEC:ALP:S03_S04:WB,g006
A010,12,PLAT:ALP:S03:WB,g006
A010,12,PLAT:ALP:S04:WB,g006
A010,12,SEC:ALP:S03_S04:WB,g006
A010,13,PLAT:ALP:S03:WB,g006
A010,13,PLAT:ALP:S04:WB,g006
A010,13,SEC:ALP:S03_S04:WB,g006
A011,12,PLAT:ALP:S03:WB,g007
A011,12,PLAT:ALP:S04:WB,g007
A011,12,SEC:ALP:S03_S04:WB,g007
A012,12,PLAT:ALP:S03:WB,g007
A012,12,PLAT:ALP:S04:WB,g007
A012,12,SEC:ALP:S03_S04:WB,g007
A011,13,PLAT:ALP:S03:WB,g007
A011,13,PLAT:ALP:S04:WB,g007
A011,13,SEC:ALP:S03_S04:WB,g007
A012,13,PLAT:ALP:S03:WB,g007
A012,13,PLAT:ALP:S04:WB,g007
A012,13,SEC:ALP:S03_S04:WB,g007
A011,14,PLAT:ALP:S03:WB,g007
A011,14,PLAT:ALP:S04:WB,g007
A011,14,SEC:ALP:S03_S04:WB,g007
A012,14,PLAT:ALP:S03:WB,g007
A012,14,PLAT:ALP:S04:WB,g007
A012,14,SEC:ALP:S03_S04:WB,g007
A011,15,PLAT:ALP:S03:WB,g007
A011,15,PLAT:ALP:S04:WB,g007
A011,15,SEC:ALP:S03_S04:WB,g007
A012,15,PLAT:ALP:S03:WB,g007
A012,15,PLAT:ALP:S04:WB,g007
A012,15,SEC:ALP:S03_S04:WB,g007
A013,17,PLAT:BET:S16:EB,g008
A013,17,PLAT:BET:S17:EB,g008
A013,17,SEC:BET:S16_S17:EB,g008
A014,17,PLAT:BET:S16:EB,g008
A014,17,PLAT:BET:S17:EB,g008
A014,17,SEC:BET:S16_S17:EB,g008
A013,18,PLAT:BET:S16:EB,g008
A013,18,PLAT:BET:S17:EB,g008
A013,18,SEC:BET:S16_S17:EB,g008
A014,18,PLAT:BET:S16:EB,g008
A014,18,PLAT:BET:S17:EB,g008
A014,18,SEC:BET:S16_S17:EB,g008
A015,18,PLAT:ALP:S06:WB,g009
A015,18,PLAT:ALP:S07:WB,g009
A015,18,SEC:ALP:S06_S07:WB,g009
A016,18,PLAT:ALP:S06:WB,g009
A016,18,PLAT:ALP:S07:WB,g009
A016,18,SEC:ALP:S06_S07:WB,g009
A017,10,PLAT:BET:S12:EB,g010
A017,10,PLAT:BET:S13:EB,g010
A017,10,SEC:BET:S12_S13:EB,g010
A018,9,PLAT:ALP:S05:EB,g011
A018,9,PLAT:ALP:S06:EB,g011
A018,9,SEC:ALP:S05_S06:EB,g011
A018,10,PLAT:ALP:S05:EB,g011
A018,10,PLAT:ALP:S06:EB,g011
A018,10,SEC:ALP:S05_S06:EB,g011
A018,11,PLAT:ALP:S05:EB,g011
A018,11,PLAT:ALP:S06:EB,g011
