activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-06-14,,1
A002,C002,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-07-05,,2
A003,C003,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-06-14,,3
A004,C004,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-06-28,,2
A005,C005,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,1,2027-05-31,,1
A006,C006,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,1,2027-05-31,,2
A007,C001,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,1,2027-05-31,,3
A008,C004,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,1,2027-06-07,,2
A009,C007,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-03-01,,2
A010,C008,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-03-01,,3
A011,C009,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-03-01,,2
A012,C010,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-03-01,,1
A013,C001,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,6,2027-03-15,,1
A014,C011,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,2,2027-03-01,,2
A015,C003,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,4,2027-08-09,,1
A016,C012,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,4,2027-07-19,,1
A017,C013,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,4,2027-07-26,,2
A018,C010,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,5,2027-05-24,,2
A019,C014,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,5,2027-05-24,,2
A020,C005,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-08-02,,3
A021,C006,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-08-09,,3
A022,C011,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,5,2027-05-31,,1
A023,C011,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,2,2027-05-17,,1
