activity_id,access_seq,week,eclo,access_night
A001,1,19,0,1
A002,1,19,0,1
A003,1,19,0,1
A004,1,19,0,1
A005,1,16,0,1
A006,1,16,0,1
A007,1,16,0,1
A008,1,16,0,1
A009,1,1,0,1
A009,2,2,0,1
A009,3,3,0,1
A010,1,1,0,1
A010,2,2,0,1
A010,3,3,0,1
A011,1,1,0,1
A011,2,2,0,1
A011,3,3,0,1
A012,1,1,0,1
A012,2,2,0,1
A012,3,3,0,1
A013,1,6,0,1
A013,2,7,0,1
A013,3,8,0,1
A013,4,9,0,1
A013,5,10,0,1
A013,6,11,0,1
A014,1,1,0,1
A014,2,2,0,1
A015,1,24,0,1
A015,2,25,0,1
A015,3,26,0,1
A015,4,27,0,1
A016,1,24,0,1
A016,2,25,0,1
A016,3,26,0,1
A016,4,27,0,1
A017,1,24,0,1
A017,2,25,0,1
A017,3,26,0,1
A017,4,27,0,1
A018,1,14,0,1
A018,2,15,0,1
A018,3,16,0,1
A018,4,17,0,1
A018,5,18,0,1
A019,1,14,0,1
A019,2,15,0,1
A019,3,16,0,1
A019,4,17,0,1
A019,5,18,0,1
A020,1,24,0,1
A020,2,25,0,1
A021,1,24,0,1
A021,2,25,0,1
A022,1,15,0,1
A022,2,16,0,1
A022,3,17,0,1
A022,4,18,0,1
A022,5,19,0,1
A023,1,13,0,1
A023,2,14,0,1
A024,1,13,0,1
A024,2,14,0,1
A024,3,15,0,1
A024,4,16,0,1
A024,5,17,0,1
A025,1,13,0,1
A025,2,14,0,1
A025,3,15,0,1
A025,4,16,0,1
A025,5,17,0,1
A026,1,13,0,1
A026,2,14,0,1
A026,3,15,0,1
A026,4,16,0,1
A026,5,17,0,1
A027,1,12,0,1
A027,2,13,0,1
A027,3,14,0,1
A027,4,15,0,1
A027,5,16,0,2
A028,1,18,0,1
A028,2,19,0,2
A028,3,20,0,1
A028,4,21,0,1
A028,5,22,0,1
A029,1,18,0,1
A029,2,19,0,2
A029,3,20,0,1
A029,4,21,0,1
A029,5,22,0,1
A030,1,24,0,1
A030,2,25,0,1
A030,3,26,0,1
A030,4,27,0,1
A030,5,28,0,1
A030,6,29,0,1
A031,1,24,0,1
A031,2,25,0,1
A031,3,26,0,1
A031,4,27,0,1
A032,1,11,0,1
A032,2,12,0,1
A032,3,13,0,1
A032,4,14,0,1
A033,1,11,0,1
A033,2,12,0,1
A033,3,13,0,1
A033,4,14,0,1
A034,1,8,0,1
A034,2,9,0,1
A034,3,10,0,1
A034,4,11,0,1
A034,5,12,0,2
A035,1,8,0,2
A035,2,9,0,2
A035,3,10,0,2
A035,4,11,0,2
A035,5,12,0,1
A036,1,8,0,1
A036,2,9,0,1
A036,3,10,0,1
A036,4,11,0,1
A036,5,12,0,1
A037,1,8,0,1
A037,2,9,0,1
A037,3,10,0,1
A037,4,11,0,1
A037,5,12,0,1
A038,1,24,0,2
A038,2,25,0,2
A038,3,26,0,1
A038,4,27,0,1
A038,5,28,0,1
A038,6,29,0,1
A039,1,24,0,2
A039,2,25,0,2
A039,3,26,0,2
A039,4,27,0,2
A039,5,28,0,1
A039,6,29,0,1
A040,1,24,0,1
A040,2,25,0,1
A040,3,26,0,1
A040,4,27,0,1
A040,5,28,0,1
A040,6,29,0,1
A041,1,24,0,1
A041,2,25,0,1
A041,3,26,0,1
A041,4,27,0,1
A041,5,28,0,1
A041,6,29,0,1
A042,1,17,0,1
A042,2,18,0,1
A042,3,19,0,1
A042,4,20,0,1
A042,5,21,0,1
A042,6,22,0,1
A043,1,17,0,1
A043,2,18,0,2
A043,3,19,0,3
A043,4,20,0,2
A043,5,21,0,2
A043,6,22,0,2
A044,1,10,0,2
A044,2,11,0,2
A044,3,12,0,3
A044,4,13,0,2
A044,5,14,0,2
A045,1,10,0,1
A045,2,11,0,1
A045,3,12,0,1
A045,4,13,0,2
A045,5,14,0,2
A046,1,6,0,1
A046,2,7,0,1
A047,1,17,0,1
A047,2,18,0,2
A047,3,19,0,3
A047,4,20,0,2
A047,5,21,0,2
A047,6,22,0,2
A048,1,17,0,1
A048,2,18,0,1
A048,3,19,0,1
A048,4,20,0,1
A048,5,21,0,1
A048,6,22,0,1
A049,1,17,0,1
A049,2,18,0,1
A049,3,19,0,2
A049,4,20,0,1
A049,5,21,0,1
A049,6,22,0,1
A050,1,22,0,1
A050,2,23,0,1
A050,3,24,0,1
A050,4,25,0,1
A050,5,26,0,1
A051,1,22,0,3
A051,2,23,0,1
A051,3,24,0,1
A051,4,25,0,1
A051,5,26,0,1
A052,1,22,0,1
A052,2,23,0,1
A052,3,24,0,2
A052,4,25,0,2
A052,5,26,0,1
A053,1,22,0,1
A053,2,23,0,1
A053,3,24,0,2
A053,4,25,0,2
A053,5,26,0,2
A054,1,11,0,2
A054,2,12,0,2
A054,3,13,0,3
