activity_id,week,location_id,co_share_group
A001,19,PLAT:BET:S11:WB,g001
A001,19,PLAT:BET:S12:WB,g001
A001,19,PLAT:BET:S13:WB,g001
A001,19,SEC:BET:S11_S12:WB,g001
A001,19,SEC:BET:S12_S13:WB,g001
A002,19,PLAT:BET:S11:WB,g001
A002,19,PLAT:BET:S12:WB,g001
A002,19,PLAT:BET:S13:WB,g001
A002,19,SEC:BET:S11_S12:WB,g001
A002,19,SEC:BET:S12_S13:WB,g001
A003,19,PLAT:BET:S11:WB,g001
A003,19,PLAT:BET:S12:WB,g001
A003,19,PLAT:BET:S13:WB,g001
A003,19,SEC:BET:S11_S12:WB,g001
A003,19,SEC:BET:S12_S13:WB,g001
A004,19,PLAT:BET:S11:WB,g001
A004,19,PLAT:BET:S12:WB,g001
A004,19,PLAT:BET:S13:WB,g001
A004,19,SEC:BET:S11_S12:WB,g001
A004,19,SEC:BET:S12_S13:WB,g001
A005,16,PLAT:ALP:H02:EB,g002
A005,16,PLAT:ALP:S05:EB,g002
A005,16,PLAT:ALP:S06:EB,g002
A005,16,PLAT:ALP:S07:EB,g002
A005,16,SEC:ALP:H02_S05:EB,g002
A005,16,SEC:ALP:S05_S06:EB,g002
A005,16,SEC:ALP:S06_S07:EB,g002
A006,16,PLAT:ALP:H02:EB,g002
A006,16,PLAT:ALP:S05:EB,g002
A006,16,PLAT:ALP:S06:EB,g002
A006,16,PLAT:ALP:S07:EB,g002
A006,16,SEC:ALP:H02_S05:EB,g002
A006,16,SEC:ALP:S05_S06:EB,g002
A006,16,SEC:ALP:S06_S07:EB,g002
A007,16,PLAT:ALP:H02:EB,g002
A007,16,PLAT:ALP:S05:EB,g002
A007,16,PLAT:ALP:S06:EB,g002
A007,16,PLAT:ALP:S07:EB,g002
A007,16,SEC:ALP:H02_S05:EB,g002
A007,16,SEC:ALP:S05_S06:EB,g002
A007,16,SEC:ALP:S06_S07:EB,g002
A008,16,PLAT:ALP:H02:EB,g002
A008,16,PLAT:ALP:S05:EB,g002
A008,16,PLAT:ALP:S06:EB,g002
A008,16,PLAT:ALP:S07:EB,g002
A008,16,SEC:ALP:H02_S05:EB,g002
A008,16,SEC:ALP:S05_S06:EB,g002
A008,16,SEC:ALP:S06_S07:EB,g002
A009,1,PLAT:BET:H02:EB,g003
A009,1,PLAT:BET:S15:EB,g003
A009,1,SEC:BET:H02_S15:EB,g003
A010,1,PLAT:BET:H02:EB,g003
A010,1,PLAT:BET:S15:EB,g003
A010,1,SEC:BET:H02_S15:EB,g003
A011,1,PLAT:BET:H02:EB,g003
A011,1,PLAT:BET:S15:EB,g003
A011,1,SEC:BET:H02_S15:EB,g003
A012,1,PLAT:BET:H02:EB,g003
A012,1,PLAT:BET:S15:EB,g003
A012,1,SEC:BET:H02_S15:EB,g003
A009,2,PLAT:BET:H02:EB,g003
A009,2,PLAT:BET:S15:EB,g003
A009,2,SEC:BET:H02_S15:EB,g003
A010,2,PLAT:BET:H02:EB,g003
A010,2,PLAT:BET:S15:EB,g003
A010,2,SEC:BET:H02_S15:EB,g003
A011,2,PLAT:BET:H02:EB,g003
A011,2,PLAT:BET:S15:EB,g003
A011,2,SEC:BET:H02_S15:EB,g003
A012,2,PLAT:BET:H02:EB,g003
A012,2,PLAT:BET:S15:EB,g003
A012,2,SEC:BET:H02_S15:EB,g003
A009,3,PLAT:BET:H02:EB,g003
A009,3,PLAT:BET:S15:EB,g003
A009,3,SEC:BET:H02_S15:EB,g003
A010,3,PLAT:BET:H02:EB,g003
A010,3,PLAT:BET:S15:EB,g003
A010,3,SEC:BET:H02_S15:EB,g003
A011,3,PLAT:BET:H02:EB,g003
A011,3,PLAT:BET:S15:EB,g003
A011,3,SEC:BET:H02_S15:EB,g003
A012,3,PLAT:BET:H02:EB,g003
A012,3,PLAT:BET:S15:EB,g003
A012,3,SEC:BET:H02_S15:EB,g003
A013,6,PLAT:ALP:S05:WB,g004
A013,6,PLAT:ALP:S06:WB,g004
A013,6,PLAT:ALP:S07:WB,g004
