activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,6,2027-04-19,,2
A002,C002,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,6,2027-04-19,,3
A003,C003,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-05-24,,2
A004,C004,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-05-03,,2
A005,C004,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-05-17,,3
A006,C005,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-05-03,,2
A007,C005,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-05-03,,1
A008,C002,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-05-24,,2
A009,C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-08-23,,3
A010,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-08-02,A008,3
A011,C006,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-08-16,,1
A012,C004,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-08-16,,1
A013,C007,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-04-19,,1
A014,C003,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-05-03,,2
A015,C008,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-05-10,,1
A016,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-07-26,,2
A017,C003,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-08-16,,1
A018,C009,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-08-02,,3
A019,C010,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-05-31,,3
A020,C011,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-05-17,A015,1
A021,C012,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-05-17,,2
A022,C013,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-05-31,A015,2
A023,C014,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-05-17,,2
A024,C004,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-05-03,,2
A025,C007,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-05-17,A015,2
A026,C004,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-04-26,,1
A027,C006,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-07-12,,1
A028,C006,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-07-05,,3
A029,C015,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,6,2027-07-19,,2
A030,C013,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,6,2027-07-12,,1
A031,C011,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,6,2027-07-19,,1
A032,C014,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-03-29,,1
A033,C008,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-03-29,,1
A034,C016,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-04-05,,3
A035,C012,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-03-29,,1
A036,C001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-08-23,,3
A037,C007,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-08-09,,2
A038,C002,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,6,2027-07-12,,3
A039,C017,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-05-17,A026,2
A040,C015,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,6,2027-05-03,,3
A041,C010,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,1,2027-08-16,A018,2
A042,C018,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-09-13,,1
A043,C006,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-03-29,,1
A044,C007,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-03-29,,2
