activity_id,week,location_id,co_share_group
A001,5,PLAT:ALP:H01:EB,g001
A001,5,PLAT:ALP:H02:EB,g001
A001,5,SEC:ALP:H01_H02:EB,g001
A002,5,PLAT:ALP:H01:EB,g001
A002,5,PLAT:ALP:H02:EB,g001
A002,5,SEC:ALP:H01_H02:EB,g001
A001,6,PLAT:ALP:H01:EB,g001
A001,6,PLAT:ALP:H02:EB,g001
A001,6,SEC:ALP:H01_H02:EB,g001
A002,6,PLAT:ALP:H01:EB,g001
A002,6,PLAT:ALP:H02:EB,g001
A002,6,SEC:ALP:H01_H02:EB,g001
A001,7,PLAT:ALP:H01:EB,g001
A001,7,PLAT:ALP:H02:EB,g001
A001,7,SEC:ALP:H01_H02:EB,g001
A002,7,PLAT:ALP:H01:EB,g001
A002,7,PLAT:ALP:H02:EB,g001
A002,7,SEC:ALP:H01_H02:EB,g001
A001,8,PLAT:ALP:H01:EB,g001
A001,8,PLAT:ALP:H02:EB,g001
A001,8,SEC:ALP:H01_H02:EB,g001
A002,8,PLAT:ALP:H01:EB,g001
A002,8,PLAT:ALP:H02:EB,g001
A002,8,SEC:ALP:H01_H02:EB,g001
A001,9,PLAT:ALP:H01:EB,g001
A001,9,PLAT:ALP:H02:EB,g001
A001,9,SEC:ALP:H01_H02:EB,g001
A002,9,PLAT:ALP:H01:EB,g001
A002,9,PLAT:ALP:H02:EB,g001
A002,9,SEC:ALP:H01_H02:EB,g001
A001,12,PLAT:ALP:H01:EB,g001
A001,12,PLAT:ALP:H02:EB,g001
A001,12,SEC:ALP:H01_H02:EB,g001
A002,12,PLAT:ALP:H01:EB,g001
A002,12,PLAT:ALP:H02:EB,g001
A002,12,SEC:ALP:H01_H02:EB,g001
A003,9,PLAT:ALP:H01:EB,g002
A003,9,PLAT:ALP:H02:EB,g002
A003,9,SEC:ALP:H01_H02:EB,g002
A004,9,PLAT:ALP:H01:EB,g002
A004,9,PLAT:ALP:H02:EB,g002
A004,9,PLAT:ALP:S04:EB,g002
A004,9,SEC:ALP:H01_H02:EB,g002
A004,9,SEC:ALP:S04_H01:EB,g002
A003,11,PLAT:ALP:H01:EB,g002
A003,11,PLAT:ALP:H02:EB,g002
A003,11,SEC:ALP:H01_H02:EB,g002
A004,11,PLAT:ALP:H01:EB,g002
A004,11,PLAT:ALP:H02:EB,g002
A004,11,PLAT:ALP:S04:EB,g002
A004,11,SEC:ALP:H01_H02:EB,g002
A004,11,SEC:ALP:S04_H01:EB,g002
A003,12,PLAT:ALP:H01:EB,g002
A003,12,PLAT:ALP:H02:EB,g002
A003,12,SEC:ALP:H01_H02:EB,g002
A004,12,PLAT:ALP:H01:EB,g002
A004,12,PLAT:ALP:H02:EB,g002
A004,12,PLAT:ALP:S04:EB,g002
A004,12,SEC:ALP:H01_H02:EB,g002
A004,12,SEC:ALP:S04_H01:EB,g002
A003,14,PLAT:ALP:H01:EB,g002
A003,14,PLAT:ALP:H02:EB,g002
A003,14,SEC:ALP:H01_H02:EB,g002
A004,14,PLAT:ALP:H01:EB,g002
A004,14,PLAT:ALP:H02:EB,g002
A004,14,PLAT:ALP:S04:EB,g002
A004,14,SEC:ALP:H01_H02:EB,g002
A004,14,SEC:ALP:S04_H01:EB,g002
A005,17,PLAT:BET:H01:EB,g003
A005,17,PLAT:BET:H02:EB,g003
A005,17,PLAT:BET:S15:EB,g003
A005,17,SEC:BET:H01_H02:EB,g003
A005,17,SEC:BET:H02_S15:EB,g003
A006,17,PLAT:BET:H01:EB,g003
A006,17,PLAT:BET:H02:EB,g003
A006,17,PLAT:BET:S15:EB,g003
A006,17,SEC:BET:H01_H02:EB,g003
A006,17,SEC:BET:H02_S15:EB,g003
A007,17,PLAT:BET:H01:EB,g003
A007,17,PLAT:BET:H02:EB,g003
A007,17,PLAT:BET:S14:EB,g003
A007,17,PLAT:BET:S15:EB,g003
A007,17,SEC:BET:H01_H02:EB,g003
A007,17,SEC:BET:H02_S15:EB,g003
A007,17,SEC:BET:S14_H01:EB,g003
A008,17,PLAT:BET:H01:EB,g003
A008,17,PLAT:BET:H02:EB,g003
A008,17,SEC:BET:H01_H02:EB,g003
A005,18,PLAT:BET:H01:EB,g003
A005,18,PLAT:BET:H02:EB,g003
A005,18,PLAT:BET:S15:EB,g003
A005,18,SEC:BET:H01_H02:EB,g003
A005,18,SEC:BET:H02_S15:EB,g003
A006,18,PLAT:BET:H01:EB,g003
A006,18,PLAT:BET:H02:EB,g003
A006,18,PLAT:BET:S15:EB,g003
A006,18,SEC:BET:H01_H02:EB,g003
A006,18,SEC:BET:H02_S15:EB,g003
A007,18,PLAT:BET:H01:EB,g003
A007,18,PLAT:BET:H02:EB,g003
A007,18,PLAT:BET:S14:EB,g003
A007,18,PLAT:BET:S15:EB,g003
A007,18,SEC:BET:H01_H02:EB,g003
A007,18,SEC:BET:H02_S15:EB,g003
A007,18,SEC:BET:S14_H01:EB,g003
A008,18,PLAT:BET:H01:EB,g003
A008,18,PLAT:BET:H02:EB,g003
A008,18,SEC:BET:H01_H02:EB,g003
A005,19,PLAT:BET:H01:EB,g003
A005,19,PLAT:BET:H02:EB,g003
A005,19,PLAT:BET:S15:EB,g003
A005,19,SEC:BET:H01_H02:EB,g003
A005,19,SEC:BET:H02_S15:EB,g003
A006,19,PLAT:BET:H01:EB,g003
A006,19,PLAT:BET:H02:EB,g003
