activity_id,week,location_id,co_share_group
A001,5,PLAT:ALP:H01:EB,g001
A001,5,PLAT:ALP:H02:EB,g001
A001,5,PLAT:ALP:S04:EB,g001
A001,5,PLAT:ALP:S05:EB,g001
A001,5,SEC:ALP:H01_H02:EB,g001
A001,5,SEC:ALP:H02_S05:EB,g001
A001,5,SEC:ALP:S04_H01:EB,g001
A002,5,PLAT:ALP:H01:EB,g001
A002,5,PLAT:ALP:H02:EB,g001
A002,5,PLAT:ALP:S04:EB,g001
A002,5,PLAT:ALP:S05:EB,g001
A002,5,SEC:ALP:H01_H02:EB,g001
A002,5,SEC:ALP:H02_S05:EB,g001
A002,5,SEC:ALP:S04_H01:EB,g001
A001,6,PLAT:ALP:H01:EB,g001
A001,6,PLAT:ALP:H02:EB,g001
A001,6,PLAT:ALP:S04:EB,g001
A001,6,PLAT:ALP:S05:EB,g001
A001,6,SEC:ALP:H01_H02:EB,g001
A001,6,SEC:ALP:H02_S05:EB,g001
A001,6,SEC:ALP:S04_H01:EB,g001
A002,6,PLAT:ALP:H01:EB,g001
A002,6,PLAT:ALP:H02:EB,g001
A002,6,PLAT:ALP:S04:EB,g001
A002,6,PLAT:ALP:S05:EB,g001
A002,6,SEC:ALP:H01_H02:EB,g001
A002,6,SEC:ALP:H02_S05:EB,g001
A002,6,SEC:ALP:S04_H01:EB,g001
A001,7,PLAT:ALP:H01:EB,g001
A001,7,PLAT:ALP:H02:EB,g001
A001,7,PLAT:ALP:S04:EB,g001
A001,7,PLAT:ALP:S05:EB,g001
A001,7,SEC:ALP:H01_H02:EB,g001
A001,7,SEC:ALP:H02_S05:EB,g001
A001,7,SEC:ALP:S04_H01:EB,g001
A002,7,PLAT:ALP:H01:EB,g001
A002,7,PLAT:ALP:H02:EB,g001
A002,7,PLAT:ALP:S04:EB,g001
A002,7,PLAT:ALP:S05:EB,g001
A002,7,SEC:ALP:H01_H02:EB,g001
A002,7,SEC:ALP:H02_S05:EB,g001
A002,7,SEC:ALP:S04_H01:EB,g001
A001,8,PLAT:ALP:H01:EB,g001
A001,8,PLAT:ALP:H02:EB,g001
A001,8,PLAT:ALP:S04:EB,g001
A001,8,PLAT:ALP:S05:EB,g001
A001,8,SEC:ALP:H01_H02:EB,g001
A001,8,SEC:ALP:H02_S05:EB,g001
A001,8,SEC:ALP:S04_H01:EB,g001
A002,8,PLAT:ALP:H01:EB,g001
A002,8,PLAT:ALP:H02:EB,g001
A002,8,PLAT:ALP:S04:EB,g001
A002,8,PLAT:ALP:S05:EB,g001
A002,8,SEC:ALP:H01_H02:EB,g001
A002,8,SEC:ALP:H02_S05:EB,g001
A002,8,SEC:ALP:S04_H01:EB,g001
A001,9,PLAT:ALP:H01:EB,g001
A001,9,PLAT:ALP:H02:EB,g001
A001,9,PLAT:ALP:S04:EB,g001
A001,9,PLAT:ALP:S05:EB,g001
A001,9,SEC:ALP:H01_H02:EB,g001
A001,9,SEC:ALP:H02_S05:EB,g001
A001,9,SEC:ALP:S04_H01:EB,g001
A002,9,PLAT:ALP:H01:EB,g001
A002,9,PLAT:ALP:H02:EB,g001
A002,9,PLAT:ALP:S04:EB,g001
A002,9,PLAT:ALP:S05:EB,g001
A002,9,SEC:ALP:H01_H02:EB,g001
A002,9,SEC:ALP:H02_S05:EB,g001
A002,9,SEC:ALP:S04_H01:EB,g001
A001,10,PLAT:ALP:H01:EB,g001
A001,10,PLAT:ALP:H02:EB,g001
A001,10,PLAT:ALP:S04:EB,g001
A001,10,PLAT:ALP:S05:EB,g001
A001,10,SEC:ALP:H01_H02:EB,g001
A001,10,SEC:ALP:H02_S05:EB,g001
A001,10,SEC:ALP:S04_H01:EB,g001
A002,10,PLAT:ALP:H01:EB,g001
A002,10,PLAT:ALP:H02:EB,g001
A002,10,PLAT:ALP:S04:EB,g001
A002,10,PLAT:ALP:S05:EB,g001
A002,10,SEC:ALP:H01_H02:EB,g001
A002,10,SEC:ALP:H02_S05:EB,g001
A002,10,SEC:ALP:S04_H01:EB,g001
A003,9,PLAT:BET:H01:WB,g002
A003,9,PLAT:BET:H02:WB,g002
A003,9,SEC:BET:H01_H02:WB,g002
A004,9,PLAT:BET:H01:WB,g002
A004,9,PLAT:BET:H02:WB,g002
A004,9,SEC:BET:H01_H02:WB,g002
A005,9,PLAT:BET:H01:WB,g002
A005,9,PLAT:BET:H02:WB,g002
A005,9,SEC:BET:H01_H02:WB,g002
A003,10,PLAT:BET:H01:WB,g002
A003,10,PLAT:BET:H02:WB,g002
A003,10,SEC:BET:H01_H02:WB,g002
A004,10,PLAT:BET:H01:WB,g002
A004,10,PLAT:BET:H02:WB,g002
A004,10,SEC:BET:H01_H02:WB,g002
A005,10,PLAT:BET:H01:WB,g002
A005,10,PLAT:BET:H02:WB,g002
A005,10,SEC:BET:H01_H02:WB,g002
A003,11,PLAT:BET:H01:WB,g002
A003,11,PLAT:BET:H02:WB,g002
A003,11,SEC:BET:H01_H02:WB,g002
A004,11,PLAT:BET:H01:WB,g002
A004,11,PLAT:BET:H02:WB,g002
A004,11,SEC:BET:H01_H02:WB,g002
A005,11,PLAT:BET:H01:WB,g002
A005,11,PLAT:BET:H02:WB,g002
A005,11,SEC:BET:H01_H02:WB,g002
A003,12,PLAT:BET:H01:WB,g002
A003,12,PLAT:BET:H02:WB,g002
A003,12,SEC:BET:H01_H02:WB,g002
