activity_id,week,location_id,co_share_group
A001,17,PLAT:BET:H01:WB,g001
A001,17,PLAT:BET:H02:WB,g001
A001,17,PLAT:BET:S13:WB,g001
A001,17,PLAT:BET:S14:WB,g001
A001,17,SEC:BET:H01_H02:WB,g001
A001,17,SEC:BET:S13_S14:WB,g001
A001,17,SEC:BET:S14_H01:WB,g001
A002,17,PLAT:BET:H01:WB,g001
A002,17,PLAT:BET:H02:WB,g001
A002,17,PLAT:BET:S15:WB,g001
A002,17,PLAT:BET:S16:WB,g001
A002,17,SEC:BET:H01_H02:WB,g001
A002,17,SEC:BET:H02_S15:WB,g001
A002,17,SEC:BET:S15_S16:WB,g001
A003,21,PLAT:ALP:H01:EB,g002
A003,21,PLAT:ALP:S01:EB,g002
A003,21,PLAT:ALP:S02:EB,g002
A003,21,PLAT:ALP:S03:EB,g002
A003,21,PLAT:ALP:S04:EB,g002
A003,21,SEC:ALP:S01_S02:EB,g002
A003,21,SEC:ALP:S02_S03:EB,g002
A003,21,SEC:ALP:S03_S04:EB,g002
A003,21,SEC:ALP:S04_H01:EB,g002
A004,21,PLAT:ALP:H01:EB,g002
A004,21,PLAT:ALP:H02:EB,g002
A004,21,PLAT:ALP:S01:EB,g002
A004,21,PLAT:ALP:S02:EB,g002
A004,21,PLAT:ALP:S03:EB,g002
A004,21,PLAT:ALP:S04:EB,g002
A004,21,SEC:ALP:H01_H02:EB,g002
A004,21,SEC:ALP:S01_S02:EB,g002
A004,21,SEC:ALP:S02_S03:EB,g002
A004,21,SEC:ALP:S03_S04:EB,g002
A004,21,SEC:ALP:S04_H01:EB,g002
A005,21,PLAT:ALP:H01:EB,g002
A005,21,PLAT:ALP:S01:EB,g002
A005,21,PLAT:ALP:S02:EB,g002
A005,21,PLAT:ALP:S03:EB,g002
A005,21,PLAT:ALP:S04:EB,g002
A005,21,SEC:ALP:S01_S02:EB,g002
A005,21,SEC:ALP:S02_S03:EB,g002
A005,21,SEC:ALP:S03_S04:EB,g002
A005,21,SEC:ALP:S04_H01:EB,g002
A003,23,PLAT:ALP:H01:EB,g002
A003,23,PLAT:ALP:S01:EB,g002
A003,23,PLAT:ALP:S02:EB,g002
A003,23,PLAT:ALP:S03:EB,g002
A003,23,PLAT:ALP:S04:EB,g002
A003,23,SEC:ALP:S01_S02:EB,g002
A003,23,SEC:ALP:S02_S03:EB,g002
A003,23,SEC:ALP:S03_S04:EB,g002
A003,23,SEC:ALP:S04_H01:EB,g002
A004,23,PLAT:ALP:H01:EB,g002
A004,23,PLAT:ALP:H02:EB,g002
A004,23,PLAT:ALP:S01:EB,g002
A004,23,PLAT:ALP:S02:EB,g002
A004,23,PLAT:ALP:S03:EB,g002
A004,23,PLAT:ALP:S04:EB,g002
A004,23,SEC:ALP:H01_H02:EB,g002
A004,23,SEC:ALP:S01_S02:EB,g002
A004,23,SEC:ALP:S02_S03:EB,g002
A004,23,SEC:ALP:S03_S04:EB,g002
A004,23,SEC:ALP:S04_H01:EB,g002
A005,23,PLAT:ALP:H01:EB,g002
A005,23,PLAT:ALP:S01:EB,g002
A005,23,PLAT:ALP:S02:EB,g002
A005,23,PLAT:ALP:S03:EB,g002
A005,23,PLAT:ALP:S04:EB,g002
A005,23,SEC:ALP:S01_S02:EB,g002
A005,23,SEC:ALP:S02_S03:EB,g002
A005,23,SEC:ALP:S03_S04:EB,g002
A005,23,SEC:ALP:S04_H01:EB,g002
A003,24,PLAT:ALP:H01:EB,g002
A003,24,PLAT:ALP:S01:EB,g002
A003,24,PLAT:ALP:S02:EB,g002
A003,24,PLAT:ALP:S03:EB,g002
A003,24,PLAT:ALP:S04:EB,g002
A003,24,SEC:ALP:S01_S02:EB,g002
A003,24,SEC:ALP:S02_S03:EB,g002
A003,24,SEC:ALP:S03_S04:EB,g002
A003,24,SEC:ALP:S04_H01:EB,g002
A004,24,PLAT:ALP:H01:EB,g002
A004,24,PLAT:ALP:H02:EB,g002
A004,24,PLAT:ALP:S01:EB,g002
A004,24,PLAT:ALP:S02:EB,g002
A004,24,PLAT:ALP:S03:EB,g002
A004,24,PLAT:ALP:S04:EB,g002
A004,24,SEC:ALP:H01_H02:EB,g002
A004,24,SEC:ALP:S01_S02:EB,g002
A004,24,SEC:ALP:S02_S03:EB,g002
A004,24,SEC:ALP:S03_S04:EB,g002
A004,24,SEC:ALP:S04_H01:EB,g002
A005,24,PLAT:ALP:H01:EB,g002
A005,24,PLAT:ALP:S01:EB,g002
A005,24,PLAT:ALP:S02:EB,g002
A005,24,PLAT:ALP:S03:EB,g002
A005,24,PLAT:ALP:S04:EB,g002
A005,24,SEC:ALP:S01_S02:EB,g002
A005,24,SEC:ALP:S02_S03:EB,g002
A005,24,SEC:ALP:S03_S04:EB,g002
A005,24,SEC:ALP:S04_H01:EB,g002
A003,25,PLAT:ALP:H01:EB,g002
A003,25,PLAT:ALP:S01:EB,g002
A003,25,PLAT:ALP:S02:EB,g002
A003,25,PLAT:ALP:S03:EB,g002
A003,25,PLAT:ALP:S04:EB,g002
A003,25,SEC:ALP:S01_S02:EB,g002
A003,25,SEC:ALP:S02_S03:EB,g002
A003,25,SEC:ALP:S03_S04:EB,g002
A003,25,SEC:ALP:S04_H01:EB,g002
A004,25,PLAT:ALP:H01:EB,g002
A004,25,PLAT:ALP:H02:EB,g002
A004,25,PLAT:ALP:S01:EB,g002
A004,25,PLAT:ALP:S02:EB,g002
A004,25,PLAT:ALP:S03:EB,g002
A004,25,PLAT:ALP:S04:EB,g002
A004,25,SEC:ALP:H01_H02:EB,g002
A004,25,SEC:ALP:S01_S02:EB,g002
