activity_id,access_seq,week,eclo,access_night
A001,1,17,0,1
A002,1,17,0,1
A003,1,12,0,1
A003,2,13,0,1
A004,1,18,0,1
A004,2,19,0,1
A004,3,20,0,1
A005,1,18,0,1
A005,2,19,0,1
A005,3,20,0,1
A006,1,11,0,1
A006,2,12,0,1
A007,1,11,0,1
A007,2,12,0,1
A008,1,29,0,1
A008,2,30,0,1
A009,1,29,0,1
A009,2,30,0,1
A010,1,6,0,1
A010,2,7,0,1
A011,1,6,0,1
A011,2,7,0,1
A012,1,12,0,1
A012,2,13,0,1
A012,3,14,0,1
A012,4,15,0,1
A012,5,16,0,1
A012,6,17,0,1
A013,1,24,0,1
A013,2,25,0,1
A013,3,26,0,1
A013,4,27,0,1
A014,1,16,0,1
A014,2,17,0,1
A014,3,18,0,2
A015,1,21,0,1
A015,2,22,0,1
A015,3,23,0,1
A015,4,24,0,1
A015,5,25,0,1
A016,1,19,0,1
A016,2,20,0,1
A016,3,21,0,2
A016,4,22,0,2
A017,1,13,0,1
A018,1,8,0,1
A018,2,9,0,1
A018,3,10,0,1
A019,1,2,0,1
A020,1,2,0,1
A021,1,2,0,1
A022,1,9,0,1
A022,2,10,0,1
A022,3,11,0,1
A022,4,12,0,1
A023,1,1,0,1
A023,2,2,0,1
A023,3,3,0,1
A023,4,4,0,1
A023,5,5,0,1
A024,1,1,0,1
A024,2,2,0,1
A024,3,3,0,1
A024,4,4,0,1
A024,5,5,0,1
A025,1,7,0,1
A025,2,8,0,1
A025,3,9,0,1
A025,4,10,0,1
A025,5,11,0,1
A026,1,7,0,2
A026,2,8,0,1
A026,3,9,0,1
A026,4,10,0,1
A026,5,11,0,1
A027,1,3,0,1
A027,2,4,0,1
A027,3,5,0,1
A027,4,6,0,1
A028,1,12,0,2
A028,2,13,0,1
A028,3,14,0,1
A028,4,15,0,1
A028,5,16,0,2
A029,1,12,0,1
A029,2,13,0,1
A029,3,14,0,1
A029,4,15,0,1
A029,5,16,0,1
A030,1,1,0,1
A030,2,2,0,1
A031,1,25,0,1
A032,1,25,0,1
A033,1,25,0,1
A034,1,10,0,1
A034,2,11,0,1
A035,1,10,0,2
A035,2,11,0,1
A036,1,10,0,1
A036,2,11,0,2
A037,1,7,0,1
A037,2,8,0,1
A037,3,9,0,1
A037,4,10,0,1
A037,5,11,0,1
A037,6,12,0,2
A038,1,24,0,1
A038,2,25,0,1
A038,3,26,0,1
A038,4,27,0,1
A038,5,28,0,1
A039,1,24,0,2
A039,2,25,0,2
A039,3,26,0,1
A039,4,27,0,1
A039,5,28,0,1
A040,1,24,0,2
A040,2,25,0,2
A040,3,26,0,1
A040,4,27,0,1
A040,5,28,0,1
A041,1,25,0,2
A041,2,26,0,2
A041,3,27,0,2
A041,4,28,0,2
A041,5,29,0,1
A042,1,25,0,1
A042,2,26,0,1
A042,3,27,0,1
A042,4,28,0,1
A042,5,29,0,1
A043,1,21,0,1
A043,2,22,0,1
A043,3,23,0,1
A043,4,24,0,1
A044,1,21,0,1
A044,2,22,0,1
A044,3,23,0,1
A044,4,24,0,1
A045,1,17,0,1
A046,1,17,0,1
A047,1,4,0,1
A047,2,5,0,1
A047,3,6,0,1
A047,4,7,0,1
A048,1,4,0,2
A048,2,5,0,2
A048,3,6,0,1
A048,4,7,0,1
