activity_id,week,location_id,co_share_group
A001,17,PLAT:BET:H01:WB,g001
A001,17,PLAT:BET:H02:WB,g001
A001,17,SEC:BET:H01_H02:WB,g001
A002,17,PLAT:BET:H01:WB,g001
A002,17,PLAT:BET:H02:WB,g001
A002,17,SEC:BET:H01_H02:WB,g001
A003,12,PLAT:ALP:H01:WB,g002
A003,12,PLAT:ALP:H02:WB,g002
A003,12,PLAT:ALP:S03:WB,g002
A003,12,PLAT:ALP:S04:WB,g002
A003,12,SEC:ALP:H01_H02:WB,g002
A003,12,SEC:ALP:S03_S04:WB,g002
A003,12,SEC:ALP:S04_H01:WB,g002
A003,13,PLAT:ALP:H01:WB,g002
A003,13,PLAT:ALP:H02:WB,g002
A003,13,PLAT:ALP:S03:WB,g002
A003,13,PLAT:ALP:S04:WB,g002
A003,13,SEC:ALP:H01_H02:WB,g002
A003,13,SEC:ALP:S03_S04:WB,g002
A003,13,SEC:ALP:S04_H01:WB,g002
A004,18,PLAT:BET:H02:WB,g003
A004,18,PLAT:BET:S15:WB,g003
A004,18,PLAT:BET:S16:WB,g003
A004,18,PLAT:BET:S17:WB,g003
A004,18,PLAT:BET:S18:WB,g003
A004,18,SEC:BET:H02_S15:WB,g003
A004,18,SEC:BET:S15_S16:WB,g003
A004,18,SEC:BET:S16_S17:WB,g003
A004,18,SEC:BET:S17_S18:WB,g003
A005,18,PLAT:BET:H02:WB,g003
A005,18,PLAT:BET:S15:WB,g003
A005,18,PLAT:BET:S16:WB,g003
A005,18,PLAT:BET:S17:WB,g003
A005,18,PLAT:BET:S18:WB,g003
A005,18,SEC:BET:H02_S15:WB,g003
A005,18,SEC:BET:S15_S16:WB,g003
A005,18,SEC:BET:S16_S17:WB,g003
A005,18,SEC:BET:S17_S18:WB,g003
A004,19,PLAT:BET:H02:WB,g003
A004,19,PLAT:BET:S15:WB,g003
A004,19,PLAT:BET:S16:WB,g003
A004,19,PLAT:BET:S17:WB,g003
A004,19,PLAT:BET:S18:WB,g003
A004,19,SEC:BET:H02_S15:WB,g003
A004,19,SEC:BET:S15_S16:WB,g003
A004,19,SEC:BET:S16_S17:WB,g003
A004,19,SEC:BET:S17_S18:WB,g003
A005,19,PLAT:BET:H02:WB,g003
A005,19,PLAT:BET:S15:WB,g003
A005,19,PLAT:BET:S16:WB,g003
A005,19,PLAT:BET:S17:WB,g003
A005,19,PLAT:BET:S18:WB,g003
A005,19,SEC:BET:H02_S15:WB,g003
A005,19,SEC:BET:S15_S16:WB,g003
A005,19,SEC:BET:S16_S17:WB,g003
A005,19,SEC:BET:S17_S18:WB,g003
A004,20,PLAT:BET:H02:WB,g003
A004,20,PLAT:BET:S15:WB,g003
A004,20,PLAT:BET:S16:WB,g003
A004,20,PLAT:BET:S17:WB,g003
A004,20,PLAT:BET:S18:WB,g003
A004,20,SEC:BET:H02_S15:WB,g003
A004,20,SEC:BET:S15_S16:WB,g003
A004,20,SEC:BET:S16_S17:WB,g003
A004,20,SEC:BET:S17_S18:WB,g003
A005,20,PLAT:BET:H02:WB,g003
A005,20,PLAT:BET:S15:WB,g003
A005,20,PLAT:BET:S16:WB,g003
A005,20,PLAT:BET:S17:WB,g003
A005,20,PLAT:BET:S18:WB,g003
A005,20,SEC:BET:H02_S15:WB,g003
A005,20,SEC:BET:S15_S16:WB,g003
A005,20,SEC:BET:S16_S17:WB,g003
A005,20,SEC:BET:S17_S18:WB,g003
A006,11,PLAT:BET:H02:WB,g004
A006,11,PLAT:BET:S15:WB,g004
A006,11,PLAT:BET:S16:WB,g004
A006,11,SEC:BET:H02_S15:WB,g004
A006,11,SEC:BET:S15_S16:WB,g004
A007,11,PLAT:BET:H02:WB,g004
A007,11,PLAT:BET:S15:WB,g004
A007,11,PLAT:BET:S16:WB,g004
A007,11,SEC:BET:H02_S15:WB,g004
A007,11,SEC:BET:S15_S16:WB,g004
A006,12,PLAT:BET:H02:WB,g004
A006,12,PLAT:BET:S15:WB,g004
A006,12,PLAT:BET:S16:WB,g004
A006,12,SEC:BET:H02_S15:WB,g004
A006,12,SEC:BET:S15_S16:WB,g004
A007,12,PLAT:BET:H02:WB,g004
A007,12,PLAT:BET:S15:WB,g004
A007,12,PLAT:BET:S16:WB,g004
A007,12,SEC:BET:H02_S15:WB,g004
A007,12,SEC:BET:S15_S16:WB,g004
A008,29,PLAT:ALP:S06:EB,g005
A008,29,PLAT:ALP:S07:EB,g005
A008,29,PLAT:ALP:S08:EB,g005
A008,29,SEC:ALP:S06_S07:EB,g005
A008,29,SEC:ALP:S07_S08:EB,g005
A009,29,PLAT:ALP:S06:EB,g005
A009,29,PLAT:ALP:S07:EB,g005
A009,29,PLAT:ALP:S08:EB,g005
A009,29,SEC:ALP:S06_S07:EB,g005
A009,29,SEC:ALP:S07_S08:EB,g005
A008,30,PLAT:ALP:S06:EB,g005
A008,30,PLAT:ALP:S07:EB,g005
A008,30,PLAT:ALP:S08:EB,g005
A008,30,SEC:ALP:S06_S07:EB,g005
A008,30,SEC:ALP:S07_S08:EB,g005
A009,30,PLAT:ALP:S06:EB,g005
A009,30,PLAT:ALP:S07:EB,g005
A009,30,PLAT:ALP:S08:EB,g005
A009,30,SEC:ALP:S06_S07:EB,g005
A009,30,SEC:ALP:S07_S08:EB,g005
A010,6,PLAT:BET:S15:WB,g006
A010,6,PLAT:BET:S16:WB,g006
A010,6,PLAT:BET:S17:WB,g006
A010,6,PLAT:BET:S18:WB,g006
A010,6,SEC:BET:S15_S16:WB,g006
A010,6,SEC:BET:S16_S17:WB,g006
A010,6,SEC:BET:S17_S18:WB,g006
A011,6,PLAT:BET:S15:WB,g006
