activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-05-24,,3
A002,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-09-06,,3
A003,C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-08-09,,2
A004,C004,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-08-16,,3
A005,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-08-09,,1
A006,C006,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-08-02,,1
A007,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-08-23,,1
A008,C007,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-09-06,,3
A009,C008,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-08-30,,3
A010,C006,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-09-27,,1
A011,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,5,2027-06-07,,3
A012,C010,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,5,2027-06-07,,1
A013,C011,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,6,2027-05-24,,2
A014,C012,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-11-22,,3
A015,C013,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-11-01,,3
A016,C014,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-10-18,,3
A017,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-07-05,,1
A018,C011,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-07-05,,1
A019,C015,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-07-05,,1
A020,C016,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-07-26,,1
A021,C004,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-07-05,A013,3
A022,C011,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-07-05,,2
A023,C011,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-07-12,,1
A024,C006,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-08-09,,3
A025,C010,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-08-02,,1
A026,C010,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-08-09,,3
A027,C003,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-09-13,,3
A028,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,6,2027-09-20,A010,2
A029,C008,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,6,2027-09-20,,1
A030,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,6,2027-09-20,,3
A031,C007,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-09-27,A005,2
A032,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-09-13,A005,2
A033,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-09-13,,3
A034,C011,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-11-01,,3
A035,C010,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-11-01,A033,2
A036,C011,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-11-08,,1
A037,C003,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-08-02,A023,2
A038,C008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-08-02,,1
A039,C014,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,4,2027-08-02,,1
A040,C014,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-10-11,A027,3
A041,C013,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-08-23,,1
A042,C011,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-08-09,A020,3
A043,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-08-09,A020,1
A044,C006,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-09-06,,3
A045,C014,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,6,2027-07-19,,2
A046,C006,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-06-21,,2
A047,C007,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,6,2027-07-05,,3
A048,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,6,2027-07-19,A046,2
A049,C008,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,6,2027-07-26,,1
A050,C012,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-07-12,,1
