activity_id,access_seq,week,eclo,access_night
A001,1,2,0,1
A001,2,3,0,1
A001,3,5,0,1
A001,4,6,0,1
A001,5,7,0,1
A002,1,23,0,1
A002,2,24,0,1
A002,3,26,0,1
A002,4,27,0,1
A003,1,14,0,1
A003,2,15,0,1
A004,1,14,0,1
A004,2,15,0,1
A005,1,8,0,1
A005,2,10,0,1
A006,1,8,0,1
A006,2,10,0,1
A007,1,8,0,1
A007,2,10,0,1
A008,1,14,0,1
A008,2,15,0,1
A008,3,16,0,1
A008,4,18,0,1
A008,5,19,0,1
A008,6,21,0,1
A009,1,14,0,1
A009,2,15,0,1
A009,3,16,0,1
A009,4,18,0,1
A009,5,19,0,1
A009,6,21,0,1
A010,1,14,0,1
A010,2,15,0,1
A010,3,16,0,1
A010,4,18,0,1
A010,5,19,0,1
A010,6,21,0,1
A011,1,3,0,1
A011,2,5,0,1
A011,3,6,0,1
A011,4,7,0,1
A011,5,8,0,2
A012,1,20,0,1
A013,1,20,0,1
A014,1,18,0,1
A014,2,20,0,1
A014,3,21,0,1
A014,4,22,0,1
A014,5,23,0,1
A015,1,1,0,1
A015,2,3,0,1
A015,3,4,0,1
A016,1,28,0,1
A016,2,29,0,1
A016,3,30,0,1
A017,1,6,0,1
A018,1,14,0,1
A019,1,14,0,1
A020,1,14,0,1
A021,1,25,0,1
A021,2,26,0,1
A021,3,27,0,1
A021,4,28,0,1
A021,5,29,0,1
A021,6,30,0,1
A022,1,6,0,1
A022,2,7,0,1
A023,1,6,0,1
A023,2,7,0,1
A024,1,6,0,1
A024,2,7,0,1
A025,1,2,0,1
A025,2,3,0,1
A025,3,4,0,1
A025,4,5,0,1
A025,5,7,0,1
A025,6,10,0,1
A026,1,12,0,1
A026,2,14,0,2
A026,3,15,0,1
A027,1,12,0,1
A027,2,14,0,2
A027,3,15,0,1
A028,1,3,0,2
A028,2,4,0,2
A028,3,5,0,1
A028,4,6,0,1
A028,5,7,0,1
A029,1,3,0,1
A029,2,4,0,1
A029,3,5,0,1
A029,4,6,0,1
A029,5,7,0,1
A030,1,3,0,1
A030,2,4,0,1
A030,3,5,0,1
A030,4,6,0,1
A030,5,7,0,1
A031,1,24,0,1
A031,2,26,0,1
A032,1,24,0,1
A032,2,26,0,1
A033,1,11,0,1
A033,2,13,0,1
A034,1,11,0,1
A034,2,13,0,1
A035,1,15,0,2
A035,2,16,0,1
A035,3,17,0,1
A035,4,18,0,1
A036,1,10,0,1
A037,1,10,0,1
A038,1,10,0,2
A039,1,6,0,2
A039,2,7,0,2
A039,3,8,0,1
A039,4,9,0,1
A040,1,27,0,1
A040,2,28,0,1
A040,3,29,0,1
A041,1,27,0,2
A041,2,28,0,1
A041,3,29,0,1
A042,1,18,0,1
A043,1,18,0,1
A044,1,18,0,1
A045,1,6,0,1
A045,2,7,0,1
A045,3,8,0,1
A045,4,9,0,1
A045,5,11,0,1
A046,1,6,0,1
A046,2,7,0,1
A046,3,8,0,1
A046,4,9,0,1
A046,5,11,0,1
A047,1,24,0,2
A047,2,25,0,1
A047,3,26,0,2
A047,4,27,0,3
A048,1,24,0,1
A048,2,25,0,1
A048,3,26,0,1
A048,4,27,0,1
A049,1,24,0,2
A049,2,25,0,1
A049,3,26,0,2
A049,4,27,0,1
A050,1,6,0,1
A050,2,7,0,1
A050,3,8,0,1
A050,4,9,0,1
A050,5,10,0,2
A051,1,20,0,1
A052,1,8,0,1
A052,2,9,0,1
A052,3,10,0,1
A052,4,11,0,1
A052,5,12,0,1
A052,6,14,0,2
A053,1,8,0,1
A053,2,9,0,1
A053,3,10,0,3
A053,4,11,0,1
A053,5,12,0,2
A053,6,14,0,3
A054,1,8,0,2
A054,2,9,0,1
A054,3,10,0,2
A054,4,11,0,1
A054,5,12,0,1
A054,6,14,0,1
