activity_id,access_seq,week,eclo,access_night
A001,1,1,0,1
A001,2,2,0,1
A001,3,3,0,1
A001,4,4,0,1
A001,5,5,0,1
A002,1,17,0,1
A002,2,18,0,1
A002,3,19,0,1
A002,4,20,0,1
A002,5,21,0,1
A003,1,15,0,1
A003,2,16,0,1
A003,3,17,0,1
A003,4,18,0,1
A004,1,15,0,1
A004,2,16,0,1
A004,3,17,0,1
A004,4,18,0,1
A005,1,15,0,1
A005,2,16,0,1
A005,3,17,0,1
A005,4,18,0,1
A006,1,14,0,1
A006,2,15,0,1
A006,3,16,0,1
A006,4,17,0,1
A007,1,14,0,1
A007,2,15,0,1
A007,3,16,0,1
A007,4,17,0,2
A008,1,17,0,1
A009,1,17,0,1
A010,1,19,0,1
A011,1,4,0,1
A011,2,5,0,1
A011,3,6,0,1
A011,4,7,0,1
A011,5,8,0,1
A012,1,4,0,1
A012,2,5,0,1
A012,3,6,0,1
A012,4,7,0,1
A012,5,8,0,1
A013,1,1,0,1
A013,2,2,0,1
A013,3,3,0,1
A013,4,4,0,1
A013,5,5,0,1
A013,6,6,0,1
A014,1,27,0,1
A014,2,28,0,1
A014,3,29,0,1
A015,1,27,0,1
A015,2,28,0,1
A015,3,29,0,1
A016,1,22,0,1
A016,2,23,0,1
A017,1,7,0,1
A017,2,8,0,1
A017,3,9,0,1
A017,4,10,0,1
A017,5,11,0,1
A018,1,7,0,1
A018,2,8,0,1
A018,3,9,0,1
A018,4,10,0,1
A018,5,11,0,1
A019,1,7,0,1
A019,2,8,0,1
A019,3,9,0,1
A019,4,10,0,1
A019,5,11,0,1
A020,1,12,0,1
A020,2,13,0,1
A021,1,8,0,1
A021,2,9,0,1
A021,3,10,0,1
A021,4,11,0,1
A022,1,8,0,2
A022,2,9,0,2
A022,3,10,0,2
A022,4,11,0,2
A023,1,8,0,2
A023,2,9,0,2
A023,3,10,0,2
A023,4,11,0,2
A024,1,12,0,1
A025,1,12,0,1
A026,1,12,0,1
A027,1,20,0,1
A027,2,21,0,1
A028,1,21,0,1
A028,2,22,0,1
A028,3,23,0,1
A028,4,24,0,1
A028,5,25,0,1
A028,6,26,0,1
A029,1,21,0,1
A029,2,22,0,1
A029,3,23,0,1
A029,4,24,0,1
A029,5,25,0,1
A029,6,26,0,1
A030,1,21,0,1
A030,2,22,0,1
A030,3,23,0,1
A030,4,24,0,1
A030,5,25,0,1
A030,6,26,0,1
A031,1,19,0,1
A031,2,20,0,1
A031,3,21,0,1
A031,4,22,0,1
A031,5,23,0,1
A032,1,19,0,1
A032,2,20,0,1
A032,3,21,0,2
A032,4,22,0,2
A032,5,23,0,2
A033,1,19,0,1
A033,2,20,0,1
A033,3,21,0,2
A033,4,22,0,2
A033,5,23,0,2
A034,1,25,0,1
A034,2,26,0,1
A034,3,27,0,1
A035,1,25,0,1
A035,2,26,0,1
A035,3,27,0,1
A036,1,25,0,1
A036,2,26,0,1
A036,3,27,0,1
A037,1,12,0,1
A037,2,13,0,1
A037,3,14,0,1
A038,1,12,0,1
A038,2,13,0,1
A038,3,14,0,1
A039,1,13,0,1
A039,2,14,0,1
A039,3,15,0,1
A039,4,16,0,1
A040,1,23,0,2
A040,2,24,0,1
A040,3,25,0,1
A041,1,14,0,1
A041,2,15,0,1
A041,3,16,0,1
A041,4,17,0,1
A041,5,18,0,1
A042,1,14,0,1
A042,2,15,0,1
A042,3,16,0,1
A042,4,17,0,1
A042,5,18,0,1
A043,1,14,0,1
A043,2,15,0,2
A043,3,16,0,2
A043,4,17,0,2
A043,5,18,0,2
A044,1,17,0,2
A044,2,18,0,1
A044,3,19,0,2
A045,1,9,0,1
A045,2,10,0,1
A045,3,11,0,1
A045,4,12,0,1
A045,5,13,0,2
A045,6,14,0,2
A046,1,7,0,1
A046,2,8,0,1
A046,3,9,0,1
A047,1,10,0,1
A047,2,11,0,1
A047,3,12,0,1
A047,4,13,0,1
A047,5,14,0,1
A047,6,15,0,1
A048,1,10,0,2
A048,2,11,0,2
A048,3,12,0,1
A048,4,13,0,1
A048,5,14,0,2
A048,6,15,0,3
A049,1,10,0,1
A049,2,11,0,1
A049,3,12,0,2
A049,4,13,0,2
A049,5,14,0,2
A049,6,15,0,1
A050,1,10,0,1
A051,1,10,0,3
A052,1,10,0,2
A053,1,19,0,1
A053,2,20,0,1
A053,3,21,0,1
A053,4,22,0,1
A054,1,19,0,1
A054,2,20,0,1
A054,3,21,0,1
A054,4,22,0,1
