activity_id,week,location_id,co_share_group
A001,1,PLAT:ALP:H01:WB,g001
A001,1,PLAT:ALP:H02:WB,g001
A001,1,PLAT:ALP:S04:WB,g001
A001,1,SEC:ALP:H01_H02:WB,g001
A001,1,SEC:ALP:S04_H01:WB,g001
A001,2,PLAT:ALP:H01:WB,g001
A001,2,PLAT:ALP:H02:WB,g001
A001,2,PLAT:ALP:S04:WB,g001
A001,2,SEC:ALP:H01_H02:WB,g001
A001,2,SEC:ALP:S04_H01:WB,g001
A001,3,PLAT:ALP:H01:WB,g001
A001,3,PLAT:ALP:H02:WB,g001
A001,3,PLAT:ALP:S04:WB,g001
A001,3,SEC:ALP:H01_H02:WB,g001
A001,3,SEC:ALP:S04_H01:WB,g001
A001,4,PLAT:ALP:H01:WB,g001
A001,4,PLAT:ALP:H02:WB,g001
A001,4,PLAT:ALP:S04:WB,g001
A001,4,SEC:ALP:H01_H02:WB,g001
A001,4,SEC:ALP:S04_H01:WB,g001
A001,5,PLAT:ALP:H01:WB,g001
A001,5,PLAT:ALP:H02:WB,g001
A001,5,PLAT:ALP:S04:WB,g001
A001,5,SEC:ALP:H01_H02:WB,g001
A001,5,SEC:ALP:S04_H01:WB,g001
A002,17,PLAT:ALP:H01:WB,g002
A002,17,PLAT:ALP:H02:WB,g002
A002,17,PLAT:ALP:S04:WB,g002
A002,17,SEC:ALP:H01_H02:WB,g002
A002,17,SEC:ALP:S04_H01:WB,g002
A002,18,PLAT:ALP:H01:WB,g002
A002,18,PLAT:ALP:H02:WB,g002
A002,18,PLAT:ALP:S04:WB,g002
A002,18,SEC:ALP:H01_H02:WB,g002
A002,18,SEC:ALP:S04_H01:WB,g002
A002,19,PLAT:ALP:H01:WB,g002
A002,19,PLAT:ALP:H02:WB,g002
A002,19,PLAT:ALP:S04:WB,g002
A002,19,SEC:ALP:H01_H02:WB,g002
A002,19,SEC:ALP:S04_H01:WB,g002
A002,20,PLAT:ALP:H01:WB,g002
A002,20,PLAT:ALP:H02:WB,g002
A002,20,PLAT:ALP:S04:WB,g002
A002,20,SEC:ALP:H01_H02:WB,g002
A002,20,SEC:ALP:S04_H01:WB,g002
A002,21,PLAT:ALP:H01:WB,g002
A002,21,PLAT:ALP:H02:WB,g002
A002,21,PLAT:ALP:S04:WB,g002
A002,21,SEC:ALP:H01_H02:WB,g002
A002,21,SEC:ALP:S04_H01:WB,g002
A003,15,PLAT:ALP:H01:EB,g003
A003,15,PLAT:ALP:H02:EB,g003
A003,15,PLAT:ALP:S05:EB,g003
A003,15,SEC:ALP:H01_H02:EB,g003
A003,15,SEC:ALP:H02_S05:EB,g003
A004,15,PLAT:ALP:H01:EB,g003
A004,15,PLAT:ALP:H02:EB,g003
A004,15,PLAT:ALP:S05:EB,g003
A004,15,SEC:ALP:H01_H02:EB,g003
A004,15,SEC:ALP:H02_S05:EB,g003
A005,15,PLAT:ALP:H01:EB,g003
A005,15,PLAT:ALP:H02:EB,g003
A005,15,PLAT:ALP:S05:EB,g003
A005,15,SEC:ALP:H01_H02:EB,g003
A005,15,SEC:ALP:H02_S05:EB,g003
A003,16,PLAT:ALP:H01:EB,g003
A003,16,PLAT:ALP:H02:EB,g003
A003,16,PLAT:ALP:S05:EB,g003
A003,16,SEC:ALP:H01_H02:EB,g003
A003,16,SEC:ALP:H02_S05:EB,g003
A004,16,PLAT:ALP:H01:EB,g003
A004,16,PLAT:ALP:H02:EB,g003
A004,16,PLAT:ALP:S05:EB,g003
A004,16,SEC:ALP:H01_H02:EB,g003
A004,16,SEC:ALP:H02_S05:EB,g003
A005,16,PLAT:ALP:H01:EB,g003
A005,16,PLAT:ALP:H02:EB,g003
A005,16,PLAT:ALP:S05:EB,g003
A005,16,SEC:ALP:H01_H02:EB,g003
A005,16,SEC:ALP:H02_S05:EB,g003
A003,17,PLAT:ALP:H01:EB,g003
A003,17,PLAT:ALP:H02:EB,g003
A003,17,PLAT:ALP:S05:EB,g003
A003,17,SEC:ALP:H01_H02:EB,g003
A003,17,SEC:ALP:H02_S05:EB,g003
