activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,2,2027-10-04,,1
A002,C002,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,3,2027-09-06,,2
A003,C001,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,3,2027-09-06,,1
A004,C003,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,3,2027-08-16,,2
A005,C004,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,5,2027-07-19,,1
A006,C005,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,5,2027-07-12,,3
A007,C002,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,6,2027-06-21,,2
A008,C003,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,6,2027-06-28,,3
A009,C006,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,1,2027-07-05,,3
A010,C007,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,1,2027-07-12,,3
A011,C004,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,2,2028-01-31,A001,2
A012,C004,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-06-21,,1
A013,C001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-06-21,,2
A014,C008,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-06-21,,1
A015,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-07-26,A010,2
A016,C010,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-08-02,,2
A017,C011,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-07-12,A010,1
A018,C007,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,4,2027-09-27,,3
A019,C003,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,4,2027-09-27,A004,2
A020,C012,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,4,2027-09-27,A004,2
A021,C013,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2027-11-15,,2
A022,C014,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2028-01-24,A021,1
A023,C005,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2028-01-17,A021,3
A024,C015,Construction,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,6,2027-11-15,,2
A025,C002,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,2,2028-01-03,,3
A026,C003,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,4,2027-08-16,A006,1
A027,C004,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,4,2027-08-16,A006,1
A028,C005,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,4,2027-08-16,A006,2
A029,C015,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,6,2027-11-15,A020,3
A030,C010,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,6,2027-11-01,A020,2
A031,C005,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,6,2027-11-01,A020,1
A032,C013,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,6,2027-10-11,,2
A033,C005,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,1,2028-01-31,A025,1
A034,C014,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,1,2028-02-07,,2
