activity_id,access_seq,week,eclo,access_night
A001,1,18,0,1
A001,2,19,0,1
A002,1,12,0,1
A002,2,13,0,1
A002,3,14,0,1
A003,1,12,0,1
A003,2,13,0,1
A003,3,14,0,1
A004,1,12,0,1
A004,2,13,0,1
A004,3,14,0,1
A005,1,5,0,1
A005,2,6,0,1
A005,3,7,0,1
A005,4,8,0,1
A005,5,9,0,1
A006,1,5,0,1
A006,2,6,0,1
A006,3,7,0,1
A006,4,8,0,1
A006,5,9,0,1
A007,1,2,0,1
A007,2,3,0,1
A007,3,4,0,1
A007,4,5,0,1
A007,5,6,0,1
A007,6,7,0,1
A008,1,2,0,1
A008,2,3,0,1
A008,3,4,0,1
A008,4,5,0,1
A008,5,6,0,1
A008,6,7,0,1
A009,1,5,0,1
A010,1,5,0,1
A011,1,34,0,1
A011,2,35,0,1
A012,1,2,0,1
A013,1,2,0,1
A014,1,2,0,1
A015,1,7,0,1
A015,2,8,0,1
A015,3,9,0,1
A015,4,10,0,1
A016,1,7,0,1
A016,2,8,0,1
A016,3,9,0,1
A016,4,10,0,1
A017,1,7,0,1
A017,2,8,0,1
A017,3,9,0,1
A017,4,10,0,1
A018,1,17,0,1
A018,2,18,0,1
A018,3,19,0,1
A018,4,20,0,1
A019,1,17,0,1
A019,2,18,0,1
A019,3,19,0,1
A019,4,20,0,1
A020,1,17,0,1
A020,2,18,0,1
A020,3,19,0,1
A020,4,20,0,1
A021,1,23,0,1
A021,2,24,0,1
A021,3,25,0,1
A022,1,34,0,1
A023,1,34,0,1
A024,1,22,0,1
A024,2,23,0,1
A024,3,24,0,1
A024,4,25,0,1
A024,5,26,0,1
A024,6,27,0,1
A025,1,32,0,1
A025,2,33,0,1
A026,1,10,0,1
A026,2,11,0,1
A026,3,12,0,2
A026,4,13,0,2
A027,1,10,0,1
A027,2,11,0,1
A027,3,12,0,1
A027,4,13,0,1
A028,1,10,0,1
A028,2,11,0,1
A028,3,12,0,1
A028,4,13,0,1
A029,1,23,0,2
A029,2,24,0,2
A029,3,25,0,2
A029,4,26,0,2
A029,5,27,0,2
A029,6,28,0,1
A030,1,23,0,1
A030,2,24,0,1
A030,3,25,0,1
A030,4,26,0,1
A030,5,27,0,1
A030,6,28,0,1
A031,1,23,0,1
A031,2,24,0,1
A031,3,25,0,1
A031,4,26,0,1
A031,5,27,0,1
A031,6,28,0,1
A032,1,18,0,1
A032,2,19,0,1
A032,3,20,0,1
A032,4,21,0,1
A032,5,22,0,1
A032,6,23,0,2
A033,1,34,0,2
A034,1,34,0,2
A035,1,34,0,2
A036,1,3,0,1
A037,1,3,0,1
A038,1,3,0,1
A039,1,3,0,1
A039,2,4,0,1
A039,3,5,0,1
A039,4,6,0,1
A039,5,7,0,1
A039,6,8,0,1
A040,1,3,0,2
A040,2,4,0,1
A040,3,5,0,2
A040,4,6,0,1
A040,5,7,0,1
A040,6,8,0,1
A041,1,12,0,1
A041,2,13,0,1
A041,3,14,0,1
A042,1,12,0,1
A042,2,13,0,1
A042,3,14,0,1
A043,1,3,0,1
A043,2,4,0,1
A043,3,5,0,1
A044,1,3,0,2
A044,2,4,0,1
A044,3,5,0,2
A045,1,3,0,3
A045,2,4,0,2
A045,3,5,0,3
A046,1,17,0,2
A047,1,17,0,1
A048,1,17,0,2
A049,1,14,0,2
A049,2,15,0,1
A049,3,16,0,1
A049,4,17,0,3
A050,1,14,0,1
A050,2,15,0,1
A050,3,16,0,1
A050,4,17,0,1
A051,1,16,0,1
A051,2,17,0,1
A052,1,1,0,1
A053,1,9,0,2
A053,2,10,0,2
A053,3,11,0,2
A053,4,12,0,2
A054,1,5,0,2
A055,1,5,0,1
A056,1,23,0,1
A056,2,24,0,1
A056,3,25,0,1
A057,1,23,0,2
A057,2,24,0,2
A057,3,25,0,2
A058,1,25,0,1
A058,2,26,0,1
A059,1,25,0,3
A059,2,26,0,2
A060,1,25,0,2
A060,2,26,0,1
