activity_id,access_seq,week,eclo,access_night
A001,1,18,0,1
A001,2,21,0,1
A002,1,3,0,1
A002,2,6,0,1
A003,1,13,0,1
A003,2,14,0,1
A003,3,15,0,1
A003,4,17,0,1
A003,5,19,0,1
A003,6,20,0,1
A004,1,13,0,1
A004,2,14,0,1
A004,3,15,0,1
A004,4,17,0,1
A004,5,19,0,1
A004,6,20,0,1
A005,1,3,0,1
A006,1,3,0,2
A007,1,3,0,3
A008,1,25,0,1
A008,2,26,0,1
A008,3,28,0,1
A008,4,31,0,1
A009,1,25,0,1
A009,2,26,0,1
A009,3,28,0,1
A009,4,31,0,1
A010,1,25,0,2
A010,2,26,0,2
A010,3,28,0,2
A010,4,31,0,2
A011,1,18,0,1
A011,2,19,0,1
A011,3,20,0,1
A011,4,23,0,1
A011,5,24,0,1
A011,6,25,0,1
A012,1,20,0,1
A013,1,20,0,1
A014,1,25,0,1
A014,2,26,0,1
A014,3,27,0,1
A015,1,7,0,1
A015,2,8,0,1
A015,3,9,0,1
A016,1,7,0,1
A016,2,8,0,1
A016,3,9,0,1
A017,1,19,0,1
A017,2,20,0,1
A017,3,21,0,1
A017,4,22,0,1
A017,5,24,0,1
A017,6,26,0,1
A018,1,19,0,1
A018,2,20,0,1
A018,3,21,0,1
A018,4,22,0,1
A018,5,24,0,1
A018,6,26,0,2
A019,1,19,0,1
A019,2,20,0,2
A019,3,21,0,1
A019,4,22,0,1
A019,5,24,0,1
A019,6,26,0,1
A020,1,29,0,1
A020,2,30,0,1
A020,3,31,0,1
A020,4,32,0,1
A020,5,33,0,1
A021,1,29,0,1
A021,2,30,0,1
A021,3,31,0,3
A021,4,32,0,1
A021,5,33,0,1
A022,1,29,0,1
A022,2,30,0,1
A022,3,31,0,1
A023,1,30,0,2
A023,2,32,0,2
A024,1,2,0,1
A025,1,2,0,1
A026,1,3,0,2
A027,1,3,0,1
A028,1,3,0,1
A029,1,1,0,1
A029,2,2,0,1
A029,3,3,0,1
A029,4,4,0,1
A029,5,6,0,1
A030,1,1,0,1
A030,2,2,0,1
A030,3,3,0,1
A030,4,4,0,1
A030,5,6,0,1
A031,1,8,0,1
A031,2,9,0,1
A032,1,8,0,1
A032,2,9,0,1
A033,1,6,0,1
A033,2,7,0,2
A033,3,8,0,2
A033,4,10,0,1
A033,5,12,0,1
A034,1,6,0,2
A034,2,7,0,1
A034,3,8,0,1
A034,4,10,0,1
A034,5,12,0,1
A035,1,6,0,2
A035,2,7,0,1
A035,3,8,0,1
A035,4,10,0,1
A035,5,12,0,1
A036,1,10,0,2
A037,1,10,0,1
A038,1,1,0,1
A039,1,1,0,1
A040,1,1,0,2
A041,1,30,0,1
A042,1,2,0,1
A042,2,4,0,1
A043,1,2,0,1
A043,2,4,0,1
A044,1,2,0,1
A044,2,4,0,1
A045,1,20,0,2
A045,2,21,0,1
A045,3,22,0,1
A045,4,23,0,1
A046,1,21,0,2
A047,1,21,0,1
A048,1,21,0,2
A049,1,20,0,1
A049,2,22,0,1
A049,3,23,0,1
A049,4,24,0,1
A049,5,25,0,1
A050,1,20,0,2
A050,2,22,0,2
A050,3,23,0,2
A050,4,24,0,2
A050,5,25,0,2
A051,1,20,0,3
A051,2,22,0,3
A051,3,23,0,3
A051,4,24,0,3
A051,5,25,0,3
A052,1,30,0,1
A052,2,31,0,1
A053,1,23,0,1
A053,2,25,0,1
A053,3,26,0,1
A053,4,27,0,1
A054,1,23,0,1
A054,2,25,0,2
A054,3,26,0,3
A054,4,27,0,2
A055,1,32,0,1
A055,2,33,0,1
A055,3,34,0,1
A055,4,35,0,1
A056,1,11,0,1
A056,2,12,0,1
A057,1,19,0,2
A058,1,19,0,1
A059,1,19,0,2
A060,1,28,0,1
A060,2,29,0,1
A060,3,31,0,2
A060,4,32,0,1
