activity_id,week,location_id,co_share_group
A001,18,PLAT:BET:S11:EB,g001
A001,18,PLAT:BET:S12:EB,g001
A001,18,PLAT:BET:S13:EB,g001
A001,18,PLAT:BET:S14:EB,g001
A001,18,SEC:BET:S11_S12:EB,g001
A001,18,SEC:BET:S12_S13:EB,g001
A001,18,SEC:BET:S13_S14:EB,g001
A001,19,PLAT:BET:S11:EB,g001
A001,19,PLAT:BET:S12:EB,g001
A001,19,PLAT:BET:S13:EB,g001
A001,19,PLAT:BET:S14:EB,g001
A001,19,SEC:BET:S11_S12:EB,g001
A001,19,SEC:BET:S12_S13:EB,g001
A001,19,SEC:BET:S13_S14:EB,g001
A002,12,PLAT:ALP:S05:EB,g002
A002,12,PLAT:ALP:S06:EB,g002
A002,12,PLAT:ALP:S07:EB,g002
A002,12,SEC:ALP:S05_S06:EB,g002
A002,12,SEC:ALP:S06_S07:EB,g002
A003,12,PLAT:ALP:S05:EB,g002
A003,12,PLAT:ALP:S06:EB,g002
A003,12,PLAT:ALP:S07:EB,g002
A003,12,SEC:ALP:S05_S06:EB,g002
A003,12,SEC:ALP:S06_S07:EB,g002
A004,12,PLAT:ALP:S05:EB,g002
A004,12,PLAT:ALP:S06:EB,g002
A004,12,PLAT:ALP:S07:EB,g002
A004,12,SEC:ALP:S05_S06:EB,g002
A004,12,SEC:ALP:S06_S07:EB,g002
A002,13,PLAT:ALP:S05:EB,g002
A002,13,PLAT:ALP:S06:EB,g002
A002,13,PLAT:ALP:S07:EB,g002
A002,13,SEC:ALP:S05_S06:EB,g002
A002,13,SEC:ALP:S06_S07:EB,g002
A003,13,PLAT:ALP:S05:EB,g002
A003,13,PLAT:ALP:S06:EB,g002
A003,13,PLAT:ALP:S07:EB,g002
A003,13,SEC:ALP:S05_S06:EB,g002
A003,13,SEC:ALP:S06_S07:EB,g002
A004,13,PLAT:ALP:S05:EB,g002
A004,13,PLAT:ALP:S06:EB,g002
A004,13,PLAT:ALP:S07:EB,g002
A004,13,SEC:ALP:S05_S06:EB,g002
A004,13,SEC:ALP:S06_S07:EB,g002
A002,14,PLAT:ALP:S05:EB,g002
A002,14,PLAT:ALP:S06:EB,g002
A002,14,PLAT:ALP:S07:EB,g002
A002,14,SEC:ALP:S05_S06:EB,g002
A002,14,SEC:ALP:S06_S07:EB,g002
A003,14,PLAT:ALP:S05:EB,g002
A003,14,PLAT:ALP:S06:EB,g002
A003,14,PLAT:ALP:S07:EB,g002
A003,14,SEC:ALP:S05_S06:EB,g002
A003,14,SEC:ALP:S06_S07:EB,g002
A004,14,PLAT:ALP:S05:EB,g002
A004,14,PLAT:ALP:S06:EB,g002
A004,14,PLAT:ALP:S07:EB,g002
A004,14,SEC:ALP:S05_S06:EB,g002
A004,14,SEC:ALP:S06_S07:EB,g002
A005,5,PLAT:BET:S16:EB,g003
A005,5,PLAT:BET:S17:EB,g003
A005,5,SEC:BET:S16_S17:EB,g003
A006,5,PLAT:BET:S16:EB,g003
A006,5,PLAT:BET:S17:EB,g003
A006,5,SEC:BET:S16_S17:EB,g003
A005,6,PLAT:BET:S16:EB,g003
A005,6,PLAT:BET:S17:EB,g003
A005,6,SEC:BET:S16_S17:EB,g003
