activity_id,access_seq,week,eclo,access_night
A001,1,11,0,1
A001,2,13,0,1
A001,3,15,0,1
A001,4,16,0,1
A001,5,17,0,1
A002,1,20,0,1
A002,2,21,0,1
A002,3,22,0,1
A002,4,23,0,1
A002,5,24,0,1
A003,1,20,0,1
A003,2,21,0,1
A003,3,22,0,1
A003,4,23,0,1
A003,5,24,0,1
A004,1,20,0,1
A004,2,21,0,1
A004,3,22,0,1
A004,4,23,0,1
A004,5,24,0,1
A005,1,23,0,1
A006,1,23,0,1
A007,1,23,0,1
A008,1,27,0,1
A008,2,28,0,1
A008,3,29,0,1
A008,4,30,0,1
A009,1,20,0,1
A009,2,21,0,1
A009,3,22,0,1
A009,4,23,0,1
A010,1,28,0,1
A011,1,28,0,1
A012,1,28,0,1
A013,1,22,0,2
A014,1,18,0,1
A014,2,19,0,1
A014,3,20,0,1
A014,4,21,0,1
A014,5,22,0,1
A015,1,18,0,1
A015,2,19,0,1
A015,3,20,0,1
A015,4,21,0,1
A015,5,22,0,1
A016,1,2,0,1
A016,2,3,0,1
A016,3,4,0,1
A017,1,6,0,1
A017,2,7,0,1
A017,3,8,0,1
A018,1,6,0,1
A018,2,7,0,1
A018,3,8,0,1
A019,1,6,0,1
A019,2,7,0,1
A019,3,8,0,1
A020,1,6,0,1
A020,2,7,0,1
A020,3,8,0,1
A021,1,10,0,1
A021,2,11,0,1
A021,3,12,0,1
A021,4,13,0,1
A022,1,10,0,1
A022,2,11,0,1
A022,3,12,0,1
A022,4,13,0,1
A023,1,10,0,1
A023,2,11,0,1
A023,3,12,0,1
A023,4,13,0,1
A024,1,22,0,1
A024,2,23,0,1
A024,3,24,0,1
A024,4,26,0,1
A024,5,27,0,1
A025,1,22,0,1
A025,2,23,0,2
A025,3,24,0,1
A025,4,26,0,1
A025,5,27,0,1
A026,1,21,0,1
A026,2,22,0,2
A026,3,23,0,2
A026,4,24,0,1
A027,1,21,0,1
A027,2,22,0,1
A027,3,23,0,1
A027,4,24,0,1
A028,1,21,0,2
A028,2,22,0,2
A028,3,23,0,2
A028,4,24,0,2
A029,1,11,0,1
A029,2,12,0,1
A029,3,13,0,1
A029,4,14,0,1
A029,5,15,0,1
A029,6,16,0,1
A030,1,11,0,1
A030,2,12,0,1
A030,3,13,0,1
A030,4,14,0,1
A030,5,15,0,1
A030,6,16,0,1
A031,1,11,0,1
A031,2,12,0,1
A031,3,13,0,1
A031,4,14,0,1
A031,5,15,0,1
A031,6,16,0,1
A032,1,25,0,1
A032,2,27,0,1
A032,3,28,0,1
A032,4,29,0,1
A032,5,30,0,1
A033,1,25,0,1
A033,2,27,0,1
A033,3,28,0,1
A033,4,29,0,1
A033,5,30,0,1
A034,1,25,0,1
A034,2,27,0,1
A034,3,28,0,1
A034,4,29,0,1
A034,5,30,0,1
A035,1,8,0,1
A035,2,10,0,1
A035,3,11,0,1
A036,1,8,0,2
A036,2,10,0,1
A036,3,11,0,2
A037,1,16,0,2
A037,2,17,0,1
A037,3,18,0,1
A037,4,20,0,2
A038,1,16,0,1
A038,2,17,0,1
A038,3,18,0,1
A038,4,20,0,1
A039,1,16,0,1
A039,2,17,0,1
A039,3,18,0,1
A039,4,20,0,1
A040,1,20,0,2
A040,2,22,0,2
A040,3,23,0,2
A041,1,12,0,1
A041,2,13,0,1
A041,3,14,0,1
A041,4,16,0,1
A042,1,12,0,1
A042,2,13,0,1
A042,3,14,0,1
A042,4,16,0,1
A043,1,10,0,1
A043,2,11,0,1
A043,3,12,0,1
A043,4,13,0,1
A043,5,14,0,1
A044,1,10,0,1
A044,2,11,0,2
A044,3,12,0,2
A044,4,13,0,2
A044,5,14,0,1
A045,1,10,0,1
A045,2,11,0,1
A045,3,12,0,1
A045,4,13,0,1
A045,5,14,0,1
A046,1,10,0,2
A046,2,11,0,2
A046,3,12,0,2
A046,4,13,0,2
A046,5,14,0,1
A047,1,11,0,2
A047,2,12,0,2
A047,3,13,0,2
A047,4,14,0,1
A047,5,16,0,2
A047,6,17,0,1
A048,1,11,0,2
A048,2,12,0,2
A048,3,13,0,2
A048,4,14,0,2
A048,5,16,0,1
A048,6,17,0,1
A049,1,6,0,1
A049,2,7,0,1
A049,3,9,0,1
A049,4,10,0,1
A049,5,11,0,1
A049,6,12,0,1
A050,1,6,0,1
A050,2,7,0,1
A050,3,9,0,1
A050,4,10,0,2
A050,5,11,0,2
A050,6,12,0,2
A051,1,6,0,2
A051,2,7,0,2
A051,3,9,0,1
A051,4,10,0,2
A051,5,11,0,3
A051,6,12,0,2
A052,1,2,0,1
A052,2,3,0,1
A052,3,4,0,1
A052,4,5,0,1
A052,5,6,0,1
A052,6,7,0,1
A053,1,2,0,1
A053,2,3,0,1
A053,3,4,0,1
A053,4,5,0,1
A053,5,6,0,1
A053,6,7,0,1
A054,1,14,0,2
A054,2,15,0,2
A054,3,16,0,3
A054,4,17,0,2
A054,5,18,0,2
A055,1,14,0,2
A055,2,15,0,1
A055,3,16,0,2
A055,4,17,0,2
A055,5,18,0,1
A056,1,7,0,2
A057,1,7,0,2
A058,1,7,0,2
A059,1,19,0,1
A059,2,21,0,1
A059,3,22,0,1
A059,4,24,0,1
A060,1,19,0,1
A060,2,21,0,2
A060,3,22,0,3
A060,4,24,0,2
A061,1,19,0,1
A061,2,21,0,2
A061,3,22,0,2
A061,4,24,0,1
A062,1,23,0,1
A062,2,24,0,1
A062,3,25,0,1
A062,4,26,0,1
A062,5,27,0,1
A063,1,23,0,1
A063,2,24,0,2
A063,3,25,0,1
A063,4,26,0,1
A063,5,27,0,1
A064,1,23,0,1
A064,2,24,0,2
A064,3,25,0,1
A064,4,26,0,1
A064,5,27,0,1
A065,1,6,0,2
A065,2,8,0,2
A065,3,9,0,1
A066,1,6,0,1
A066,2,8,0,1
A066,3,9,0,1
A067,1,6,0,2
A067,2,8,0,2
A067,3,9,0,1
A068,1,9,0,2
A068,2,10,0,2
A068,3,11,0,3
A068,4,12,0,3
A068,5,14,0,2
A069,1,17,0,1
A069,2,18,0,1
A069,3,20,0,1
A069,4,21,0,1
A069,5,22,0,2
A069,6,23,0,2
A070,1,17,0,1
A070,2,18,0,1
A070,3,20,0,1
A070,4,21,0,2
A070,5,22,0,2
A070,6,23,0,3
A071,1,17,0,1
A071,2,18,0,1
A071,3,20,0,2
A071,4,21,0,2
A071,5,22,0,2
A071,6,23,0,2
A072,1,9,0,2
A072,2,13,0,2
A072,3,14,0,2
