activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-10-04,,2
A002,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-10-18,,3
A003,C003,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-10-04,,3
A004,C004,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-10-25,,2
A005,C004,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-10-04,,2
A006,C004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-08-16,,1
A007,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-08-16,,1
A008,C004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-08-16,,2
A009,C006,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-08-16,,1
A010,C001,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-10-11,A009,1
A011,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-10-11,A009,2
A012,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-10-18,,3
A013,C007,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,1,2027-11-01,,2
A014,C008,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-09-20,A009,2
A015,C002,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-09-06,,2
A016,C008,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-10-25,,1
A017,C009,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-10-25,,2
A018,C010,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-10-11,,1
A019,C005,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-10-11,A015,1
A020,C011,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-10-25,,2
A021,C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-10-11,,1
A022,C012,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-10-04,,3
A023,C009,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-10-18,,1
A024,C002,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-10-11,A009,2
A025,C012,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-08-16,A009,3
A026,C006,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-11-01,A002,3
A027,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-11-08,,2
A028,C003,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-08-16,,3
A029,C013,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-08-16,,2
A030,C014,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,2,2027-08-16,,2
A031,C001,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-08-16,,1
A032,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-08-16,,2
A033,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-08-23,,3
A034,C012,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-08-30,,1
