activity_id,access_seq,week,eclo,access_night
A001,1,11,0,1
A001,2,13,0,1
A001,3,14,0,1
A002,1,11,0,1
A002,2,13,0,1
A002,3,14,0,1
A003,1,12,0,1
A003,2,13,0,2
A003,3,14,0,2
A003,4,15,0,1
A003,5,16,0,1
A004,1,12,0,1
A004,2,13,0,1
A004,3,14,0,1
A004,4,15,0,1
A004,5,16,0,1
A005,1,10,0,1
A005,2,13,0,1
A005,3,14,0,1
A006,1,10,0,1
A006,2,13,0,1
A006,3,14,0,1
A007,1,10,0,1
A007,2,13,0,1
A007,3,14,0,1
A008,1,10,0,1
A008,2,13,0,1
A008,3,14,0,1
A009,1,12,0,1
A010,1,5,0,1
A010,2,7,0,1
A010,3,9,0,1
A010,4,10,0,1
A010,5,11,0,1
A011,1,13,0,1
A011,2,14,0,1
A011,3,15,0,1
A011,4,16,0,1
A012,1,13,0,1
A012,2,14,0,1
A012,3,15,0,1
A012,4,16,0,1
A013,1,13,0,2
A013,2,14,0,2
A013,3,15,0,1
A013,4,16,0,1
A014,1,13,0,1
A014,2,14,0,1
A014,3,15,0,1
A014,4,16,0,1
A015,1,1,0,1
A016,1,1,0,1
A017,1,1,0,1
A018,1,1,0,1
A019,1,12,0,1
A019,2,13,0,1
A019,3,14,0,1
A019,4,15,0,1
A019,5,16,0,1
A020,1,12,0,2
A020,2,13,0,2
A020,3,14,0,2
A020,4,15,0,2
A020,5,16,0,2
A021,1,12,0,1
A021,2,13,0,1
A021,3,14,0,1
A021,4,15,0,1
A021,5,16,0,1
A022,1,8,0,1
A022,2,9,0,1
A022,3,12,0,1
A022,4,13,0,1
A023,1,8,0,1
A023,2,9,0,1
A023,3,12,0,1
A023,4,13,0,1
A024,1,8,0,1
A024,2,9,0,1
A024,3,12,0,1
A024,4,13,0,1
A025,1,3,0,1
A025,2,4,0,1
A025,3,5,0,1
A025,4,6,0,1
A025,5,8,0,1
A026,1,3,0,1
A026,2,4,0,1
A026,3,5,0,1
A026,4,6,0,1
A026,5,8,0,1
A027,1,3,0,1
A027,2,4,0,1
A027,3,5,0,1
A027,4,6,0,1
A027,5,8,0,1
A028,1,3,0,1
A028,2,4,0,1
A028,3,5,0,1
A028,4,6,0,1
A028,5,8,0,1
A029,1,4,0,1
A029,2,5,0,1
A029,3,6,0,1
A029,4,7,0,1
A030,1,4,0,1
A030,2,5,0,2
A030,3,6,0,1
A030,4,7,0,1
A031,1,11,0,2
A032,1,11,0,1
A033,1,11,0,1
A034,1,11,0,1
A035,1,7,0,1
A035,2,9,0,1
A035,3,11,0,1
A035,4,12,0,1
A035,5,13,0,2
A036,1,7,0,1
A036,2,9,0,2
A036,3,11,0,1
A036,4,12,0,2
A036,5,13,0,2
A037,1,3,0,1
A038,1,3,0,2
A039,1,3,0,1
A040,1,8,0,1
A041,1,7,0,1
A041,2,8,0,1
A041,3,9,0,1
A041,4,10,0,1
A042,1,4,0,2
A042,2,6,0,2
A042,3,7,0,2
A042,4,9,0,2
A043,1,4,0,1
A043,2,6,0,1
A043,3,7,0,1
A043,4,9,0,1
A044,1,4,0,1
A044,2,6,0,1
A044,3,7,0,2
A044,4,9,0,2
A045,1,4,0,1
A045,2,6,0,1
A045,3,7,0,1
A045,4,9,0,1
A046,1,15,0,1
A047,1,15,0,1
A048,1,15,0,1
A049,1,10,0,1
A050,1,10,0,1
A051,1,10,0,1
A052,1,15,0,2
A052,2,16,0,1
A053,1,15,0,2
A053,2,16,0,1
A054,1,3,0,1
A055,1,3,0,3
A056,1,3,0,1
A057,1,11,0,1
A057,2,12,0,1
A057,3,15,0,1
A058,1,11,0,1
A058,2,12,0,1
A058,3,15,0,1
A059,1,5,0,1
A059,2,6,0,1
A059,3,7,0,1
A059,4,8,0,1
A059,5,10,0,1
A060,1,5,0,2
A060,2,6,0,2
A060,3,7,0,1
A060,4,8,0,2
A060,5,10,0,2
A061,1,5,0,1
A061,2,6,0,1
A061,3,7,0,1
A061,4,8,0,1
A061,5,10,0,1
A062,1,5,0,1
A062,2,6,0,1
A062,3,7,0,1
A062,4,8,0,1
A062,5,10,0,2
A063,1,2,0,1
A063,2,4,0,1
A063,3,6,0,2
A064,1,2,0,1
A064,2,4,0,1
A064,3,6,0,2
A065,1,2,0,1
A065,2,4,0,1
A065,3,6,0,1
A066,1,4,0,2
A066,2,5,0,2
A066,3,6,0,2
A067,1,4,0,2
A067,2,5,0,1
A067,3,6,0,2
A068,1,10,0,2
A068,2,12,0,2
A068,3,13,0,3
A068,4,14,0,3
A069,1,10,0,1
A069,2,12,0,1
A069,3,13,0,2
A069,4,14,0,1
A070,1,8,0,1
A070,2,9,0,1
A071,1,8,0,2
A071,2,9,0,2
A072,1,8,0,1
A072,2,9,0,2
