activity_id,week,location_id,co_share_group
A001,11,PLAT:ALP:H01:EB,g001
A001,11,PLAT:ALP:H02:EB,g001
A001,11,PLAT:ALP:S04:EB,g001
A001,11,SEC:ALP:H01_H02:EB,g001
A001,11,SEC:ALP:S04_H01:EB,g001
A002,11,PLAT:ALP:H01:EB,g001
A002,11,PLAT:ALP:H02:EB,g001
A002,11,PLAT:ALP:S05:EB,g001
A002,11,SEC:ALP:H01_H02:EB,g001
A002,11,SEC:ALP:H02_S05:EB,g001
A001,13,PLAT:ALP:H01:EB,g001
A001,13,PLAT:ALP:H02:EB,g001
A001,13,PLAT:ALP:S04:EB,g001
A001,13,SEC:ALP:H01_H02:EB,g001
A001,13,SEC:ALP:S04_H01:EB,g001
A002,13,PLAT:ALP:H01:EB,g001
A002,13,PLAT:ALP:H02:EB,g001
A002,13,PLAT:ALP:S05:EB,g001
A002,13,SEC:ALP:H01_H02:EB,g001
A002,13,SEC:ALP:H02_S05:EB,g001
A001,14,PLAT:ALP:H01:EB,g001
A001,14,PLAT:ALP:H02:EB,g001
A001,14,PLAT:ALP:S04:EB,g001
A001,14,SEC:ALP:H01_H02:EB,g001
A001,14,SEC:ALP:S04_H01:EB,g001
A002,14,PLAT:ALP:H01:EB,g001
A002,14,PLAT:ALP:H02:EB,g001
A002,14,PLAT:ALP:S05:EB,g001
A002,14,SEC:ALP:H01_H02:EB,g001
A002,14,SEC:ALP:H02_S05:EB,g001
A003,12,PLAT:BET:H01:EB,g002
A003,12,PLAT:BET:H02:EB,g002
A003,12,PLAT:BET:S14:EB,g002
A003,12,PLAT:BET:S15:EB,g002
A003,12,SEC:BET:H01_H02:EB,g002
A003,12,SEC:BET:H02_S15:EB,g002
A003,12,SEC:BET:S14_H01:EB,g002
A004,12,PLAT:BET:H01:EB,g002
A004,12,PLAT:BET:H02:EB,g002
A004,12,PLAT:BET:S14:EB,g002
A004,12,PLAT:BET:S15:EB,g002
