activity_id,access_seq,week,eclo,access_night
A001,1,14,0,1
A001,2,16,0,1
A001,3,17,0,1
A001,4,18,0,1
A001,5,19,0,1
A001,6,20,0,1
A002,1,14,0,1
A002,2,16,0,1
A002,3,17,0,1
A002,4,18,0,1
A002,5,19,0,1
A002,6,20,0,1
A003,1,14,0,2
A003,2,16,0,2
A003,3,17,0,2
A003,4,18,0,2
A003,5,19,0,2
A003,6,20,0,2
A004,1,20,0,1
A004,2,22,0,1
A004,3,23,0,1
A004,4,24,0,1
A005,1,20,0,1
A005,2,22,0,1
A005,3,23,0,1
A005,4,24,0,1
A006,1,20,0,3
A006,2,22,0,1
A006,3,23,0,1
A006,4,24,0,1
A007,1,20,0,2
A007,2,22,0,2
A007,3,23,0,2
A007,4,24,0,2
A008,1,17,0,1
A008,2,19,0,1
A008,3,20,0,1
A009,1,17,0,1
A009,2,19,0,1
A009,3,20,0,1
A010,1,17,0,1
A010,2,19,0,1
A010,3,20,0,1
A011,1,34,0,1
A012,1,34,0,1
A013,1,17,0,1
A013,2,18,0,1
A013,3,20,0,1
A013,4,21,0,1
A013,5,22,0,1
A014,1,17,0,1
A014,2,18,0,1
A014,3,20,0,1
A014,4,21,0,1
A014,5,22,0,1
A015,1,17,0,2
A015,2,18,0,1
A015,3,20,0,2
A015,4,21,0,1
A015,5,22,0,1
A016,1,13,0,1
A016,2,14,0,1
A016,3,15,0,1
A017,1,13,0,1
A017,2,14,0,1
A017,3,15,0,1
A018,1,33,0,1
A018,2,34,0,1
A018,3,36,0,1
A018,4,37,0,1
A018,5,38,0,1
A018,6,39,0,1
A019,1,33,0,1
A019,2,34,0,1
A019,3,35,0,1
A019,4,37,0,1
A020,1,33,0,1
A020,2,34,0,1
A020,3,35,0,1
A020,4,37,0,1
A021,1,33,0,1
A021,2,34,0,1
A021,3,35,0,1
A021,4,37,0,1
A022,1,17,0,2
A022,2,21,0,1
A023,1,17,0,1
A023,2,21,0,1
A024,1,14,0,1
A024,2,15,0,1
A025,1,14,0,3
A025,2,15,0,1
A026,1,14,0,1
A026,2,15,0,1
A027,1,30,0,1
A027,2,32,0,1
A027,3,33,0,1
A027,4,35,0,1
A028,1,30,0,1
A028,2,32,0,1
A028,3,33,0,1
A028,4,35,0,1
A029,1,30,0,1
A029,2,32,0,1
A029,3,33,0,1
A029,4,35,0,1
A030,1,3,0,1
A030,2,7,0,1
A031,1,37,0,1
A032,1,37,0,1
A033,1,37,0,1
A034,1,5,0,1
A034,2,6,0,1
A035,1,5,0,1
A035,2,6,0,1
A036,1,5,0,1
A036,2,6,0,1
A037,1,13,0,1
A037,2,14,0,1
A037,3,15,0,1
A038,1,1,0,1
A038,2,2,0,1
A038,3,3,0,1
A038,4,4,0,1
A039,1,20,0,2
A039,2,21,0,1
A039,3,22,0,2
A039,4,23,0,2
A039,5,24,0,2
A039,6,25,0,1
A040,1,20,0,3
A040,2,21,0,2
A040,3,22,0,2
A040,4,23,0,1
A040,5,24,0,1
A040,6,25,0,1
A041,1,20,0,1
A041,2,21,0,1
A041,3,22,0,1
A041,4,23,0,1
A041,5,24,0,1
A041,6,25,0,1
A042,1,20,0,1
A042,2,21,0,1
A042,3,22,0,1
A042,4,23,0,1
A042,5,24,0,1
A042,6,25,0,1
A043,1,15,0,1
A043,2,17,0,1
A043,3,19,0,1
A043,4,20,0,1
A043,5,22,0,1
A044,1,15,0,1
A044,2,17,0,1
A044,3,19,0,1
A044,4,20,0,1
A044,5,22,0,1
A045,1,15,0,1
A045,2,17,0,1
A045,3,19,0,1
A045,4,20,0,1
A045,5,22,0,1
A046,1,15,0,1
A046,2,17,0,1
A046,3,19,0,1
A046,4,20,0,2
A046,5,22,0,2
A047,1,7,0,1
A047,2,9,0,1
A048,1,7,0,1
A048,2,9,0,1
A049,1,39,0,1
A050,1,39,0,1
A051,1,7,0,1
A051,2,8,0,1
A051,3,9,0,1
A052,1,7,0,2
A052,2,8,0,1
A052,3,9,0,1
A053,1,28,0,1
A053,2,29,0,1
A054,1,32,0,1
A054,2,34,0,2
A055,1,32,0,1
A055,2,34,0,2
A056,1,8,0,1
A056,2,11,0,1
A057,1,34,0,1
A057,2,35,0,1
A058,1,34,0,2
A058,2,35,0,2
A059,1,34,0,1
A059,2,35,0,1
A060,1,24,0,1
A060,2,25,0,1
A061,1,24,0,1
A061,2,25,0,1
A062,1,5,0,2
A062,2,6,0,2
A062,3,7,0,1
A062,4,8,0,1
A062,5,9,0,1
A063,1,5,0,1
A063,2,6,0,1
A063,3,7,0,1
A063,4,8,0,1
A063,5,9,0,1
A064,1,36,0,1
A064,2,37,0,1
A064,3,38,0,1
A064,4,39,0,1
A064,5,40,0,1
A065,1,26,0,1
A065,2,27,0,1
A065,3,29,0,2
A065,4,30,0,1
A065,5,31,0,1
A065,6,32,0,1
A066,1,13,0,1
A067,1,28,0,1
A068,1,28,0,1
A069,1,28,0,1
A070,1,28,0,1
A071,1,26,0,1
A071,2,27,0,1
A071,3,28,0,1
A071,4,30,0,1
A071,5,32,0,1
A071,6,33,0,1
A072,1,3,0,1
A073,1,3,0,1
A074,1,3,0,1
A075,1,6,0,1
A076,1,6,0,1
A077,1,6,0,1
A078,1,15,0,2
A078,2,16,0,1
A078,3,17,0,2
A078,4,18,0,1
A079,1,15,0,1
