activity_id,week,location_id,co_share_group
A001,14,PLAT:ALP:H01:EB,g001
A001,14,PLAT:ALP:H02:EB,g001
A001,14,PLAT:ALP:S04:EB,g001
A001,14,PLAT:ALP:S05:EB,g001
A001,14,SEC:ALP:H01_H02:EB,g001
A001,14,SEC:ALP:H02_S05:EB,g001
A001,14,SEC:ALP:S04_H01:EB,g001
A002,14,PLAT:ALP:H01:EB,g001
A002,14,PLAT:ALP:H02:EB,g001
A002,14,PLAT:ALP:S04:EB,g001
A002,14,SEC:ALP:H01_H02:EB,g001
A002,14,SEC:ALP:S04_H01:EB,g001
A003,14,PLAT:ALP:H01:EB,g001
A003,14,PLAT:ALP:H02:EB,g001
A003,14,PLAT:ALP:S02:EB,g001
A003,14,PLAT:ALP:S03:EB,g001
A003,14,PLAT:ALP:S04:EB,g001
A003,14,SEC:ALP:H01_H02:EB,g001
A003,14,SEC:ALP:S02_S03:EB,g001
A003,14,SEC:ALP:S03_S04:EB,g001
A003,14,SEC:ALP:S04_H01:EB,g001
A001,16,PLAT:ALP:H01:EB,g001
A001,16,PLAT:ALP:H02:EB,g001
A001,16,PLAT:ALP:S04:EB,g001
A001,16,PLAT:ALP:S05:EB,g001
A001,16,SEC:ALP:H01_H02:EB,g001
A001,16,SEC:ALP:H02_S05:EB,g001
A001,16,SEC:ALP:S04_H01:EB,g001
A002,16,PLAT:ALP:H01:EB,g001
A002,16,PLAT:ALP:H02:EB,g001
A002,16,PLAT:ALP:S04:EB,g001
A002,16,SEC:ALP:H01_H02:EB,g001
A002,16,SEC:ALP:S04_H01:EB,g001
A003,16,PLAT:ALP:H01:EB,g001
A003,16,PLAT:ALP:H02:EB,g001
A003,16,PLAT:ALP:S02:EB,g001
A003,16,PLAT:ALP:S03:EB,g001
A003,16,PLAT:ALP:S04:EB,g001
A003,16,SEC:ALP:H01_H02:EB,g001
A003,16,SEC:ALP:S02_S03:EB,g001
A003,16,SEC:ALP:S03_S04:EB,g001
A003,16,SEC:ALP:S04_H01:EB,g001
A001,17,PLAT:ALP:H01:EB,g001
A001,17,PLAT:ALP:H02:EB,g001
A001,17,PLAT:ALP:S04:EB,g001
A001,17,PLAT:ALP:S05:EB,g001
A001,17,SEC:ALP:H01_H02:EB,g001
A001,17,SEC:ALP:H02_S05:EB,g001
A001,17,SEC:ALP:S04_H01:EB,g001
A002,17,PLAT:ALP:H01:EB,g001
A002,17,PLAT:ALP:H02:EB,g001
A002,17,PLAT:ALP:S04:EB,g001
A002,17,SEC:ALP:H01_H02:EB,g001
A002,17,SEC:ALP:S04_H01:EB,g001
A003,17,PLAT:ALP:H01:EB,g001
A003,17,PLAT:ALP:H02:EB,g001
A003,17,PLAT:ALP:S02:EB,g001
A003,17,PLAT:ALP:S03:EB,g001
A003,17,PLAT:ALP:S04:EB,g001
A003,17,SEC:ALP:H01_H02:EB,g001
A003,17,SEC:ALP:S02_S03:EB,g001
A003,17,SEC:ALP:S03_S04:EB,g001
A003,17,SEC:ALP:S04_H01:EB,g001
A001,18,PLAT:ALP:H01:EB,g001
A001,18,PLAT:ALP:H02:EB,g001
A001,18,PLAT:ALP:S04:EB,g001
A001,18,PLAT:ALP:S05:EB,g001
A001,18,SEC:ALP:H01_H02:EB,g001
A001,18,SEC:ALP:H02_S05:EB,g001
A001,18,SEC:ALP:S04_H01:EB,g001
A002,18,PLAT:ALP:H01:EB,g001
A002,18,PLAT:ALP:H02:EB,g001
A002,18,PLAT:ALP:S04:EB,g001
A002,18,SEC:ALP:H01_H02:EB,g001
A002,18,SEC:ALP:S04_H01:EB,g001
A003,18,PLAT:ALP:H01:EB,g001
A003,18,PLAT:ALP:H02:EB,g001
A003,18,PLAT:ALP:S02:EB,g001
A003,18,PLAT:ALP:S03:EB,g001
A003,18,PLAT:ALP:S04:EB,g001
A003,18,SEC:ALP:H01_H02:EB,g001
A003,18,SEC:ALP:S02_S03:EB,g001
A003,18,SEC:ALP:S03_S04:EB,g001
A003,18,SEC:ALP:S04_H01:EB,g001
A001,19,PLAT:ALP:H01:EB,g001
A001,19,PLAT:ALP:H02:EB,g001
A001,19,PLAT:ALP:S04:EB,g001
A001,19,PLAT:ALP:S05:EB,g001
A001,19,SEC:ALP:H01_H02:EB,g001
A001,19,SEC:ALP:H02_S05:EB,g001
A001,19,SEC:ALP:S04_H01:EB,g001
A002,19,PLAT:ALP:H01:EB,g001
A002,19,PLAT:ALP:H02:EB,g001
A002,19,PLAT:ALP:S04:EB,g001
A002,19,SEC:ALP:H01_H02:EB,g001
A002,19,SEC:ALP:S04_H01:EB,g001
A003,19,PLAT:ALP:H01:EB,g001
A003,19,PLAT:ALP:H02:EB,g001
A003,19,PLAT:ALP:S02:EB,g001
A003,19,PLAT:ALP:S03:EB,g001
A003,19,PLAT:ALP:S04:EB,g001
A003,19,SEC:ALP:H01_H02:EB,g001
A003,19,SEC:ALP:S02_S03:EB,g001
A003,19,SEC:ALP:S03_S04:EB,g001
A003,19,SEC:ALP:S04_H01:EB,g001
A001,20,PLAT:ALP:H01:EB,g001
A001,20,PLAT:ALP:H02:EB,g001
A001,20,PLAT:ALP:S04:EB,g001
A001,20,PLAT:ALP:S05:EB,g001
A001,20,SEC:ALP:H01_H02:EB,g001
A001,20,SEC:ALP:H02_S05:EB,g001
A001,20,SEC:ALP:S04_H01:EB,g001
