scenario,contract_number,simulated_completion_date,overrun_days
C,C001,2028-05-28,0
C,C002,2028-05-07,0
C,C003,2028-05-14,0
C,C004,2028-05-28,0
C,C005,2028-03-05,0
C,C006,2028-05-21,0
C,C007,2028-05-07,0
C,C008,2028-06-04,0
C,C009,2028-05-21,0
C,C010,2028-05-21,0
C,C011,2028-04-23,0
C,C012,2028-05-07,0
C,C013,2028-04-16,0
C,C014,2028-04-30,0
C,C015,2028-05-07,0
C,C016,2028-04-16,0
C,C017,2028-04-16,0
C,C018,2028-04-16,0
C,C019,2028-06-04,0
C,C020,2028-04-02,0
C,C021,2028-06-18,0
C,C022,2028-04-02,0
C,C023,2028-06-04,0
