activity_id,week,location_id,co_share_group
A001,12,PLAT:BET:S12:WB,g001
A001,12,PLAT:BET:S13:WB,g001
A001,12,SEC:BET:S12_S13:WB,g001
A001,13,PLAT:BET:S12:WB,g001
A001,13,PLAT:BET:S13:WB,g001
A001,13,SEC:BET:S12_S13:WB,g001
A001,14,PLAT:BET:S12:WB,g001
A001,14,PLAT:BET:S13:WB,g001
A001,14,SEC:BET:S12_S13:WB,g001
A001,15,PLAT:BET:S12:WB,g001
A001,15,PLAT:BET:S13:WB,g001
A001,15,SEC:BET:S12_S13:WB,g001
A001,16,PLAT:BET:S12:WB,g001
A001,16,PLAT:BET:S13:WB,g001
A001,16,SEC:BET:S12_S13:WB,g001
A002,1,PLAT:BET:H01:EB,g002
A002,1,PLAT:BET:S14:EB,g002
A002,1,SEC:BET:S14_H01:EB,g002
A003,1,PLAT:BET:H01:EB,g002
A003,1,PLAT:BET:S14:EB,g002
A003,1,SEC:BET:S14_H01:EB,g002
A002,2,PLAT:BET:H01:EB,g002
A002,2,PLAT:BET:S14:EB,g002
A002,2,SEC:BET:S14_H01:EB,g002
A003,2,PLAT:BET:H01:EB,g002
A003,2,PLAT:BET:S14:EB,g002
A003,2,SEC:BET:S14_H01:EB,g002
A002,3,PLAT:BET:H01:EB,g002
A002,3,PLAT:BET:S14:EB,g002
A002,3,SEC:BET:S14_H01:EB,g002
A003,3,PLAT:BET:H01:EB,g002
A003,3,PLAT:BET:S14:EB,g002
A003,3,SEC:BET:S14_H01:EB,g002
A002,4,PLAT:BET:H01:EB,g002
A002,4,PLAT:BET:S14:EB,g002
A002,4,SEC:BET:S14_H01:EB,g002
A003,4,PLAT:BET:H01:EB,g002
A003,4,PLAT:BET:S14:EB,g002
A003,4,SEC:BET:S14_H01:EB,g002
A004,15,PLAT:BET:H02:WB,g003
A004,15,PLAT:BET:S15:WB,g003
A004,15,SEC:BET:H02_S15:WB,g003
A004,16,PLAT:BET:H02:WB,g003
A004,16,PLAT:BET:S15:WB,g003
A004,16,SEC:BET:H02_S15:WB,g003
A005,7,PLAT:BET:H02:EB,g004
A005,7,PLAT:BET:S15:EB,g004
A005,7,SEC:BET:H02_S15:EB,g004
A005,8,PLAT:BET:H02:EB,g004
A005,8,PLAT:BET:S15:EB,g004
A005,8,SEC:BET:H02_S15:EB,g004
A006,5,PLAT:ALP:S05:WB,g005
A006,5,PLAT:ALP:S06:WB,g005
A006,5,SEC:ALP:S05_S06:WB,g005
A007,5,PLAT:ALP:S05:WB,g005
A007,5,PLAT:ALP:S06:WB,g005
