activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,5,2027-04-19,,1
A002,C002,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,5,2027-04-12,,1
A003,C001,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,5,2027-05-03,,3
A004,C003,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-05-17,,1
A005,C001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-06-07,,2
A006,C004,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-06-07,A003,2
A007,C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,5,2027-05-03,,1
A008,C002,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,5,2027-05-10,,3
A009,C001,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,5,2027-04-19,,3
A010,C005,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,5,2027-06-14,,2
A011,C004,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,5,2027-05-31,,2
A012,C002,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,5,2027-05-31,,1
A013,C006,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,1,2027-06-21,,1
A014,C002,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,1,2027-06-21,,2
A015,C007,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-03-08,,1
A016,C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-02-15,,3
A017,C004,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,6,2027-03-15,,3
A018,C001,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-05-10,A017,2
A019,C004,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-04-26,,1
A020,C002,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-05-10,,2
A021,C003,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,1,2027-06-14,,1
A022,C001,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,1,2027-05-24,,3
A023,C008,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,1,2027-06-14,,3
A024,C009,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,4,2027-06-14,,2
A025,C010,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,6,2027-03-29,,1
A026,C004,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,6,2027-04-05,,1
A027,C006,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,6,2027-03-15,,2
A028,C010,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,5,2027-06-28,A014,2
A029,C011,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,1,2027-03-15,,1
A030,C002,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,1,2027-03-01,,2
A031,C012,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,5,2027-07-12,A012,2
A032,C013,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,1,2027-04-05,,3
A033,C009,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,1,2027-04-12,A017,2
A034,C013,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,1,2027-04-05,A017,3
A035,C001,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,4,2027-06-07,A014,3
A036,C001,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,4,2027-06-14,,1
