activity_id,access_seq,week,eclo,access_night
A001,1,14,0,1
A001,2,15,0,1
A001,3,16,0,1
A001,4,17,0,1
A001,5,18,0,1
A002,1,14,0,1
A002,2,15,0,1
A002,3,16,0,1
A002,4,17,0,1
A002,5,18,0,1
A003,1,14,0,1
A003,2,15,0,1
A003,3,16,0,1
A003,4,17,0,1
A003,5,18,0,1
A004,1,19,0,1
A005,1,19,0,1
A006,1,19,0,1
A007,1,15,0,1
A007,2,16,0,1
A007,3,17,0,1
A007,4,18,0,1
A007,5,19,0,2
A008,1,15,0,2
A008,2,16,0,2
A008,3,17,0,2
A008,4,18,0,2
A008,5,19,0,1
A009,1,15,0,2
A009,2,16,0,2
A009,3,17,0,2
A009,4,18,0,2
A009,5,19,0,2
A010,1,21,0,1
A010,2,22,0,1
A010,3,23,0,1
A010,4,24,0,1
A010,5,25,0,1
A011,1,21,0,1
A011,2,22,0,1
A011,3,23,0,1
A011,4,24,0,1
A011,5,25,0,1
A012,1,21,0,1
A012,2,22,0,1
A012,3,23,0,1
A012,4,24,0,1
A012,5,25,0,1
A013,1,21,0,1
A014,1,21,0,2
A015,1,6,0,1
A015,2,7,0,1
A016,1,6,0,1
A016,2,7,0,1
A017,1,7,0,1
A017,2,8,0,1
A017,3,9,0,1
A017,4,10,0,1
A017,5,11,0,1
A017,6,12,0,1
A018,1,15,0,3
A018,2,16,0,3
A018,3,17,0,3
A018,4,18,0,3
A018,5,19,0,3
A019,1,15,0,1
A019,2,16,0,1
A019,3,17,0,1
A019,4,18,0,1
A019,5,19,0,2
A020,1,15,0,3
A020,2,16,0,3
A020,3,17,0,3
A020,4,18,0,3
A020,5,19,0,2
A021,1,20,0,1
A022,1,20,0,1
A023,1,20,0,1
A024,1,21,0,1
A024,2,22,0,1
A024,3,23,0,1
A024,4,24,0,1
A025,1,10,0,1
A025,2,11,0,1
A025,3,12,0,1
A025,4,13,0,1
A025,5,14,0,1
A025,6,15,0,1
A026,1,10,0,2
A026,2,11,0,2
A026,3,12,0,2
A026,4,13,0,1
A026,5,14,0,1
A026,6,15,0,2
A027,1,10,0,1
A027,2,11,0,1
A027,3,12,0,1
A027,4,13,0,1
A027,5,14,0,1
A027,6,15,0,1
A028,1,22,0,1
A028,2,23,0,1
A028,3,24,0,1
A028,4,25,0,1
A028,5,26,0,1
A029,1,8,0,1
A030,1,8,0,1
A031,1,26,0,1
A031,2,27,0,1
A031,3,28,0,1
A031,4,29,0,1
A031,5,30,0,1
A032,1,13,0,1
A033,1,13,0,1
A034,1,13,0,1
A035,1,22,0,1
A035,2,23,0,1
A035,3,24,0,1
A035,4,25,0,1
A036,1,22,0,1
A036,2,23,0,1
A036,3,24,0,1
A036,4,25,0,1
