activity_id,week,location_id,co_share_group
A001,14,PLAT:ALP:S01:WB,g001
A001,14,PLAT:ALP:S02:WB,g001
A001,14,SEC:ALP:S01_S02:WB,g001
A002,14,PLAT:ALP:S01:WB,g001
A002,14,PLAT:ALP:S02:WB,g001
A002,14,SEC:ALP:S01_S02:WB,g001
A003,14,PLAT:ALP:S01:WB,g001
A003,14,PLAT:ALP:S02:WB,g001
A003,14,SEC:ALP:S01_S02:WB,g001
A001,15,PLAT:ALP:S01:WB,g001
A001,15,PLAT:ALP:S02:WB,g001
A001,15,SEC:ALP:S01_S02:WB,g001
A002,15,PLAT:ALP:S01:WB,g001
A002,15,PLAT:ALP:S02:WB,g001
A002,15,SEC:ALP:S01_S02:WB,g001
A003,15,PLAT:ALP:S01:WB,g001
A003,15,PLAT:ALP:S02:WB,g001
A003,15,SEC:ALP:S01_S02:WB,g001
A001,16,PLAT:ALP:S01:WB,g001
A001,16,PLAT:ALP:S02:WB,g001
A001,16,SEC:ALP:S01_S02:WB,g001
A002,16,PLAT:ALP:S01:WB,g001
A002,16,PLAT:ALP:S02:WB,g001
A002,16,SEC:ALP:S01_S02:WB,g001
A003,16,PLAT:ALP:S01:WB,g001
A003,16,PLAT:ALP:S02:WB,g001
A003,16,SEC:ALP:S01_S02:WB,g001
A001,17,PLAT:ALP:S01:WB,g001
A001,17,PLAT:ALP:S02:WB,g001
A001,17,SEC:ALP:S01_S02:WB,g001
A002,17,PLAT:ALP:S01:WB,g001
A002,17,PLAT:ALP:S02:WB,g001
A002,17,SEC:ALP:S01_S02:WB,g001
A003,17,PLAT:ALP:S01:WB,g001
A003,17,PLAT:ALP:S02:WB,g001
A003,17,SEC:ALP:S01_S02:WB,g001
A001,18,PLAT:ALP:S01:WB,g001
A001,18,PLAT:ALP:S02:WB,g001
A001,18,SEC:ALP:S01_S02:WB,g001
A002,18,PLAT:ALP:S01:WB,g001
A002,18,PLAT:ALP:S02:WB,g001
A002,18,SEC:ALP:S01_S02:WB,g001
A003,18,PLAT:ALP:S01:WB,g001
A003,18,PLAT:ALP:S02:WB,g001
A003,18,SEC:ALP:S01_S02:WB,g001
A004,19,PLAT:BET:S11:WB,g002
A004,19,PLAT:BET:S12:WB,g002
A004,19,PLAT:BET:S13:WB,g002
A004,19,SEC:BET:S11_S12:WB,g002
A004,19,SEC:BET:S12_S13:WB,g002
A005,19,PLAT:BET:S11:WB,g002
A005,19,PLAT:BET:S12:WB,g002
A005,19,PLAT:BET:S13:WB,g002
A005,19,SEC:BET:S11_S12:WB,g002
A005,19,SEC:BET:S12_S13:WB,g002
A006,19,PLAT:BET:S11:WB,g002
A006,19,PLAT:BET:S12:WB,g002
A006,19,PLAT:BET:S13:WB,g002
A006,19,SEC:BET:S11_S12:WB,g002
A006,19,SEC:BET:S12_S13:WB,g002
A007,15,PLAT:ALP:S07:WB,g003
A007,15,PLAT:ALP:S08:WB,g003
A007,15,SEC:ALP:S07_S08:WB,g003
A008,15,PLAT:ALP:S07:WB,g003
A008,15,PLAT:ALP:S08:WB,g003
A008,15,SEC:ALP:S07_S08:WB,g003
A009,15,PLAT:ALP:S07:WB,g003
A009,15,PLAT:ALP:S08:WB,g003
A009,15,SEC:ALP:S07_S08:WB,g003
A007,16,PLAT:ALP:S07:WB,g003
A007,16,PLAT:ALP:S08:WB,g003
A007,16,SEC:ALP:S07_S08:WB,g003
A008,16,PLAT:ALP:S07:WB,g003
A008,16,PLAT:ALP:S08:WB,g003
A008,16,SEC:ALP:S07_S08:WB,g003
A009,16,PLAT:ALP:S07:WB,g003
A009,16,PLAT:ALP:S08:WB,g003
A009,16,SEC:ALP:S07_S08:WB,g003
A007,17,PLAT:ALP:S07:WB,g003
A007,17,PLAT:ALP:S08:WB,g003
A007,17,SEC:ALP:S07_S08:WB,g003
A008,17,PLAT:ALP:S07:WB,g003
A008,17,PLAT:ALP:S08:WB,g003
A008,17,SEC:ALP:S07_S08:WB,g003
A009,17,PLAT:ALP:S07:WB,g003
A009,17,PLAT:ALP:S08:WB,g003
A009,17,SEC:ALP:S07_S08:WB,g003
A007,18,PLAT:ALP:S07:WB,g003
A007,18,PLAT:ALP:S08:WB,g003
A007,18,SEC:ALP:S07_S08:WB,g003
A008,18,PLAT:ALP:S07:WB,g003
A008,18,PLAT:ALP:S08:WB,g003
A008,18,SEC:ALP:S07_S08:WB,g003
