activity_id,access_seq,week,eclo,access_night
A001,1,15,0,1
A001,2,16,0,1
A001,3,17,0,1
A001,4,18,0,1
A001,5,19,0,1
A002,1,15,0,1
A002,2,16,0,1
A002,3,17,0,1
A002,4,18,0,1
A002,5,19,0,1
A003,1,15,0,1
A003,2,16,0,1
A003,3,17,0,1
A003,4,18,0,1
A003,5,19,0,1
A004,1,22,0,1
A005,1,17,0,1
A005,2,20,0,1
A005,3,22,0,1
A005,4,23,0,1
A006,1,23,0,1
A006,2,24,0,1
A007,1,23,0,1
A007,2,24,0,1
A008,1,7,0,1
A008,2,8,0,1
A008,3,9,0,1
A008,4,10,0,1
A008,5,12,0,1
A009,1,7,0,1
A009,2,8,0,1
A009,3,9,0,1
A009,4,10,0,1
A009,5,12,0,1
A010,1,24,0,1
A010,2,26,0,1
A010,3,27,0,1
A010,4,28,0,1
A010,5,29,0,1
A010,6,30,0,1
A011,1,24,0,1
A011,2,26,0,1
A011,3,27,0,1
A011,4,28,0,1
A011,5,29,0,1
A011,6,30,0,1
A012,1,24,0,2
A012,2,26,0,1
A012,3,27,0,1
A012,4,28,0,1
A012,5,29,0,1
A012,6,30,0,1
A013,1,14,0,1
A014,1,14,0,1
A015,1,13,0,1
A015,2,16,0,1
A015,3,17,0,1
A015,4,18,0,1
A016,1,7,0,1
A016,2,8,0,1
A016,3,9,0,1
A016,4,10,0,1
A016,5,11,0,1
A017,1,7,0,1
A017,2,8,0,1
A017,3,9,0,1
A017,4,10,0,1
A017,5,11,0,1
A018,1,7,0,2
A018,2,8,0,2
A018,3,9,0,2
A018,4,10,0,2
A018,5,11,0,1
A019,1,21,0,1
A019,2,22,0,1
A019,3,23,0,1
A019,4,24,0,1
A020,1,21,0,1
A020,2,22,0,1
A020,3,23,0,1
A020,4,24,0,1
A021,1,6,0,1
A021,2,7,0,1
A021,3,8,0,1
A021,4,9,0,1
A022,1,29,0,1
A022,2,30,0,1
A023,1,29,0,2
A023,2,30,0,2
A024,1,4,0,1
A024,2,5,0,1
A025,1,17,0,2
A025,2,19,0,1
A025,3,20,0,1
A025,4,22,0,1
A025,5,23,0,1
A025,6,24,0,1
A026,1,17,0,1
A026,2,19,0,1
A026,3,20,0,1
A026,4,22,0,1
A026,5,23,0,2
A026,6,24,0,3
A027,1,16,0,2
A027,2,17,0,2
A027,3,18,0,2
A027,4,19,0,2
A028,1,16,0,2
A028,2,17,0,2
A028,3,18,0,2
A028,4,19,0,2
A029,1,16,0,1
A030,1,7,0,2
A030,2,8,0,2
A030,3,9,0,2
A030,4,10,0,2
A030,5,11,0,1
A031,1,7,0,3
A031,2,8,0,3
A031,3,9,0,3
A031,4,10,0,3
A031,5,11,0,2
A032,1,25,0,1
A032,2,26,0,1
A032,3,29,0,2
A033,1,20,0,1
A034,1,20,0,1
A035,1,19,0,1
A035,2,20,0,1
A036,1,10,0,1
A036,2,11,0,1
