activity_id,week,location_id,co_share_group
A001,15,PLAT:ALP:S01:WB,g001
A001,15,PLAT:ALP:S02:WB,g001
A001,15,PLAT:ALP:S03:WB,g001
A001,15,SEC:ALP:S01_S02:WB,g001
A001,15,SEC:ALP:S02_S03:WB,g001
A002,15,PLAT:ALP:S01:WB,g001
A002,15,PLAT:ALP:S02:WB,g001
A002,15,SEC:ALP:S01_S02:WB,g001
A003,15,PLAT:ALP:S01:WB,g001
A003,15,PLAT:ALP:S02:WB,g001
A003,15,PLAT:ALP:S03:WB,g001
A003,15,SEC:ALP:S01_S02:WB,g001
A003,15,SEC:ALP:S02_S03:WB,g001
A001,16,PLAT:ALP:S01:WB,g001
A001,16,PLAT:ALP:S02:WB,g001
A001,16,PLAT:ALP:S03:WB,g001
A001,16,SEC:ALP:S01_S02:WB,g001
A001,16,SEC:ALP:S02_S03:WB,g001
A002,16,PLAT:ALP:S01:WB,g001
A002,16,PLAT:ALP:S02:WB,g001
A002,16,SEC:ALP:S01_S02:WB,g001
A003,16,PLAT:ALP:S01:WB,g001
A003,16,PLAT:ALP:S02:WB,g001
A003,16,PLAT:ALP:S03:WB,g001
A003,16,SEC:ALP:S01_S02:WB,g001
A003,16,SEC:ALP:S02_S03:WB,g001
A001,17,PLAT:ALP:S01:WB,g001
A001,17,PLAT:ALP:S02:WB,g001
A001,17,PLAT:ALP:S03:WB,g001
A001,17,SEC:ALP:S01_S02:WB,g001
A001,17,SEC:ALP:S02_S03:WB,g001
A002,17,PLAT:ALP:S01:WB,g001
A002,17,PLAT:ALP:S02:WB,g001
A002,17,SEC:ALP:S01_S02:WB,g001
A003,17,PLAT:ALP:S01:WB,g001
A003,17,PLAT:ALP:S02:WB,g001
A003,17,PLAT:ALP:S03:WB,g001
A003,17,SEC:ALP:S01_S02:WB,g001
A003,17,SEC:ALP:S02_S03:WB,g001
A001,18,PLAT:ALP:S01:WB,g001
A001,18,PLAT:ALP:S02:WB,g001
A001,18,PLAT:ALP:S03:WB,g001
A001,18,SEC:ALP:S01_S02:WB,g001
A001,18,SEC:ALP:S02_S03:WB,g001
A002,18,PLAT:ALP:S01:WB,g001
A002,18,PLAT:ALP:S02:WB,g001
A002,18,SEC:ALP:S01_S02:WB,g001
A003,18,PLAT:ALP:S01:WB,g001
A003,18,PLAT:ALP:S02:WB,g001
A003,18,PLAT:ALP:S03:WB,g001
A003,18,SEC:ALP:S01_S02:WB,g001
A003,18,SEC:ALP:S02_S03:WB,g001
A001,19,PLAT:ALP:S01:WB,g001
A001,19,PLAT:ALP:S02:WB,g001
A001,19,PLAT:ALP:S03:WB,g001
A001,19,SEC:ALP:S01_S02:WB,g001
A001,19,SEC:ALP:S02_S03:WB,g001
