activity_id,access_seq,week,eclo,access_night
A001,1,4,0,1
A001,2,7,0,1
A001,3,8,0,1
A001,4,9,0,1
A001,5,10,0,1
A002,1,4,0,1
A002,2,7,0,1
A002,3,8,0,1
A002,4,9,0,1
A002,5,10,0,1
A003,1,4,0,1
A003,2,7,0,1
A003,3,8,0,1
A003,4,9,0,1
A003,5,10,0,1
A004,1,4,0,2
A004,2,7,0,2
A004,3,8,0,2
A004,4,9,0,2
A004,5,10,0,2
A005,1,14,0,1
A005,2,15,0,1
A005,3,16,0,1
A005,4,18,0,1
A005,5,20,0,1
A006,1,14,0,1
A006,2,15,0,1
A006,3,16,0,1
A006,4,18,0,1
A006,5,20,0,1
A007,1,18,0,1
A008,1,21,0,1
A008,2,22,0,1
A008,3,23,0,1
A009,1,21,0,1
A009,2,22,0,1
A009,3,23,0,1
A010,1,23,0,1
A010,2,24,0,1
A010,3,25,0,1
A010,4,27,0,1
A011,1,23,0,1
A011,2,24,0,1
A011,3,25,0,1
A011,4,27,0,1
A012,1,23,0,2
A012,2,24,0,2
A012,3,25,0,2
A012,4,27,0,2
A013,1,2,0,1
A013,2,3,0,1
A013,3,4,0,2
A013,4,5,0,1
A013,5,6,0,1
A013,6,7,0,2
A014,1,24,0,2
A014,2,25,0,2
A014,3,26,0,1
A014,4,27,0,2
A014,5,28,0,1
A014,6,30,0,1
A015,1,24,0,1
A015,2,25,0,1
A015,3,26,0,1
A015,4,27,0,1
A015,5,28,0,1
A015,6,30,0,1
A016,1,15,0,1
A016,2,17,0,1
A016,3,18,0,1
A016,4,19,0,1
A016,5,20,0,1
A017,1,15,0,1
A017,2,17,0,1
A017,3,18,0,1
A017,4,19,0,1
A017,5,20,0,1
A018,1,15,0,1
A018,2,17,0,1
A018,3,18,0,1
A018,4,19,0,1
A018,5,20,0,1
A019,1,15,0,1
A019,2,17,0,1
A019,3,18,0,1
A019,4,19,0,1
A019,5,20,0,1
A020,1,7,0,1
A020,2,9,0,1
A020,3,10,0,1
A021,1,7,0,1
A021,2,9,0,1
A021,3,10,0,1
A022,1,7,0,1
A022,2,9,0,1
A022,3,10,0,1
A023,1,22,0,1
A023,2,23,0,2
A023,3,24,0,3
A023,4,26,0,2
A024,1,16,0,1
A024,2,18,0,1
A024,3,20,0,1
A025,1,16,0,1
A025,2,18,0,2
A025,3,20,0,2
A026,1,2,0,1
A026,2,4,0,1
A026,3,5,0,1
A026,4,7,0,1
A027,1,2,0,1
A027,2,4,0,1
A027,3,5,0,1
A027,4,7,0,1
A028,1,2,0,1
A028,2,4,0,1
A028,3,5,0,1
A028,4,7,0,1
A029,1,2,0,1
A029,2,4,0,2
A029,3,5,0,1
A029,4,7,0,2
A030,1,27,0,1
A031,1,27,0,1
A032,1,27,0,1
A033,1,28,0,1
A034,1,4,0,2
A034,2,5,0,2
A034,3,6,0,1
A034,4,7,0,2
A034,5,8,0,1
A034,6,9,0,1
A035,1,4,0,1
A035,2,5,0,1
A035,3,6,0,1
A035,4,7,0,1
A035,5,8,0,1
A035,6,9,0,1
A036,1,22,0,1
A037,1,13,0,1
A037,2,14,0,1
A037,3,15,0,1
A037,4,16,0,2
A038,1,13,0,1
A038,2,14,0,1
A038,3,15,0,1
A038,4,16,0,1
A039,1,21,0,1
A040,1,3,0,1
A040,2,4,0,1
A041,1,3,0,1
A041,2,4,0,1
A042,1,12,0,1
A042,2,14,0,1
A042,3,16,0,1
A042,4,17,0,1
A042,5,19,0,1
A043,1,8,0,1
A043,2,9,0,1
A043,3,10,0,1
A044,1,8,0,2
A044,2,9,0,2
A044,3,10,0,2
A045,1,8,0,2
A045,2,9,0,2
A045,3,10,0,1
A046,1,5,0,2
A046,2,6,0,2
A046,3,7,0,2
A046,4,8,0,2
A046,5,9,0,2
A047,1,5,0,1
A047,2,6,0,1
A047,3,7,0,3
A047,4,8,0,2
A047,5,9,0,2
A048,1,8,0,1
A048,2,10,0,1
A048,3,11,0,1
A048,4,12,0,1
A048,5,14,0,1
A048,6,16,0,1
A049,1,8,0,3
A049,2,10,0,1
A049,3,11,0,1
A049,4,12,0,1
A049,5,14,0,1
A049,6,16,0,1
A050,1,8,0,1
A050,2,10,0,1
A050,3,11,0,1
A050,4,12,0,1
A050,5,14,0,1
A050,6,16,0,1
A051,1,21,0,2
A051,2,23,0,2
A052,1,21,0,2
A052,2,23,0,1
A053,1,21,0,1
A053,2,23,0,1
A054,1,4,0,1
A054,2,5,0,1
A054,3,6,0,1
A054,4,7,0,2
