activity_id,week,location_id,co_share_group
A001,4,PLAT:ALP:H01:WB,g001
A001,4,PLAT:ALP:H02:WB,g001
A001,4,PLAT:ALP:S05:WB,g001
A001,4,SEC:ALP:H01_H02:WB,g001
A001,4,SEC:ALP:H02_S05:WB,g001
A002,4,PLAT:ALP:H02:WB,g001
A002,4,PLAT:ALP:S05:WB,g001
A002,4,SEC:ALP:H02_S05:WB,g001
A003,4,PLAT:ALP:H01:WB,g001
A003,4,PLAT:ALP:H02:WB,g001
A003,4,PLAT:ALP:S05:WB,g001
A003,4,PLAT:ALP:S06:WB,g001
A003,4,SEC:ALP:H01_H02:WB,g001
A003,4,SEC:ALP:H02_S05:WB,g001
A003,4,SEC:ALP:S05_S06:WB,g001
A004,4,PLAT:ALP:H02:WB,g001
A004,4,PLAT:ALP:S05:WB,g001
A004,4,PLAT:ALP:S06:WB,g001
A004,4,SEC:ALP:H02_S05:WB,g001
A004,4,SEC:ALP:S05_S06:WB,g001
A001,7,PLAT:ALP:H01:WB,g001
A001,7,PLAT:ALP:H02:WB,g001
A001,7,PLAT:ALP:S05:WB,g001
A001,7,SEC:ALP:H01_H02:WB,g001
A001,7,SEC:ALP:H02_S05:WB,g001
A002,7,PLAT:ALP:H02:WB,g001
A002,7,PLAT:ALP:S05:WB,g001
A002,7,SEC:ALP:H02_S05:WB,g001
A003,7,PLAT:ALP:H01:WB,g001
A003,7,PLAT:ALP:H02:WB,g001
A003,7,PLAT:ALP:S05:WB,g001
A003,7,PLAT:ALP:S06:WB,g001
A003,7,SEC:ALP:H01_H02:WB,g001
A003,7,SEC:ALP:H02_S05:WB,g001
A003,7,SEC:ALP:S05_S06:WB,g001
A004,7,PLAT:ALP:H02:WB,g001
A004,7,PLAT:ALP:S05:WB,g001
A004,7,PLAT:ALP:S06:WB,g001
A004,7,SEC:ALP:H02_S05:WB,g001
A004,7,SEC:ALP:S05_S06:WB,g001
A001,8,PLAT:ALP:H01:WB,g001
A001,8,PLAT:ALP:H02:WB,g001
A001,8,PLAT:ALP:S05:WB,g001
A001,8,SEC:ALP:H01_H02:WB,g001
A001,8,SEC:ALP:H02_S05:WB,g001
A002,8,PLAT:ALP:H02:WB,g001
A002,8,PLAT:ALP:S05:WB,g001
A002,8,SEC:ALP:H02_S05:WB,g001
A003,8,PLAT:ALP:H01:WB,g001
A003,8,PLAT:ALP:H02:WB,g001
A003,8,PLAT:ALP:S05:WB,g001
A003,8,PLAT:ALP:S06:WB,g001
A003,8,SEC:ALP:H01_H02:WB,g001
A003,8,SEC:ALP:H02_S05:WB,g001
A003,8,SEC:ALP:S05_S06:WB,g001
A004,8,PLAT:ALP:H02:WB,g001
A004,8,PLAT:ALP:S05:WB,g001
A004,8,PLAT:ALP:S06:WB,g001
A004,8,SEC:ALP:H02_S05:WB,g001
A004,8,SEC:ALP:S05_S06:WB,g001
A001,9,PLAT:ALP:H01:WB,g001
A001,9,PLAT:ALP:H02:WB,g001
A001,9,PLAT:ALP:S05:WB,g001
A001,9,SEC:ALP:H01_H02:WB,g001
A001,9,SEC:ALP:H02_S05:WB,g001
A002,9,PLAT:ALP:H02:WB,g001
A002,9,PLAT:ALP:S05:WB,g001
A002,9,SEC:ALP:H02_S05:WB,g001
A003,9,PLAT:ALP:H01:WB,g001
A003,9,PLAT:ALP:H02:WB,g001
A003,9,PLAT:ALP:S05:WB,g001
A003,9,PLAT:ALP:S06:WB,g001
A003,9,SEC:ALP:H01_H02:WB,g001
A003,9,SEC:ALP:H02_S05:WB,g001
A003,9,SEC:ALP:S05_S06:WB,g001
A004,9,PLAT:ALP:H02:WB,g001
A004,9,PLAT:ALP:S05:WB,g001
A004,9,PLAT:ALP:S06:WB,g001
A004,9,SEC:ALP:H02_S05:WB,g001
A004,9,SEC:ALP:S05_S06:WB,g001
A001,10,PLAT:ALP:H01:WB,g001
A001,10,PLAT:ALP:H02:WB,g001
A001,10,PLAT:ALP:S05:WB,g001
A001,10,SEC:ALP:H01_H02:WB,g001
A001,10,SEC:ALP:H02_S05:WB,g001
A002,10,PLAT:ALP:H02:WB,g001
A002,10,PLAT:ALP:S05:WB,g001
A002,10,SEC:ALP:H02_S05:WB,g001
A003,10,PLAT:ALP:H01:WB,g001
A003,10,PLAT:ALP:H02:WB,g001
A003,10,PLAT:ALP:S05:WB,g001
A003,10,PLAT:ALP:S06:WB,g001
A003,10,SEC:ALP:H01_H02:WB,g001
A003,10,SEC:ALP:H02_S05:WB,g001
A003,10,SEC:ALP:S05_S06:WB,g001
A004,10,PLAT:ALP:H02:WB,g001
A004,10,PLAT:ALP:S05:WB,g001
A004,10,PLAT:ALP:S06:WB,g001
A004,10,SEC:ALP:H02_S05:WB,g001
A004,10,SEC:ALP:S05_S06:WB,g001
A005,14,PLAT:BET:H02:WB,g002
A005,14,PLAT:BET:S15:WB,g002
A005,14,SEC:BET:H02_S15:WB,g002
A006,14,PLAT:BET:H01:WB,g002
A006,14,PLAT:BET:H02:WB,g002
A006,14,PLAT:BET:S15:WB,g002
A006,14,PLAT:BET:S16:WB,g002
A006,14,SEC:BET:H01_H02:WB,g002
A006,14,SEC:BET:H02_S15:WB,g002
A006,14,SEC:BET:S15_S16:WB,g002
A005,15,PLAT:BET:H02:WB,g002
A005,15,PLAT:BET:S15:WB,g002
A005,15,SEC:BET:H02_S15:WB,g002
A006,15,PLAT:BET:H01:WB,g002
A006,15,PLAT:BET:H02:WB,g002
A006,15,PLAT:BET:S15:WB,g002
A006,15,PLAT:BET:S16:WB,g002
A006,15,SEC:BET:H01_H02:WB,g002
A006,15,SEC:BET:H02_S15:WB,g002
A006,15,SEC:BET:S15_S16:WB,g002
A005,16,PLAT:BET:H02:WB,g002
A005,16,PLAT:BET:S15:WB,g002
A005,16,SEC:BET:H02_S15:WB,g002
A006,16,PLAT:BET:H01:WB,g002
A006,16,PLAT:BET:H02:WB,g002
A006,16,PLAT:BET:S15:WB,g002
A006,16,PLAT:BET:S16:WB,g002
A006,16,SEC:BET:H01_H02:WB,g002
A006,16,SEC:BET:H02_S15:WB,g002
A006,16,SEC:BET:S15_S16:WB,g002
A005,18,PLAT:BET:H02:WB,g002
A005,18,PLAT:BET:S15:WB,g002
A005,18,SEC:BET:H02_S15:WB,g002
A006,18,PLAT:BET:H01:WB,g002
A006,18,PLAT:BET:H02:WB,g002
A006,18,PLAT:BET:S15:WB,g002
A006,18,PLAT:BET:S16:WB,g002
A006,18,SEC:BET:H01_H02:WB,g002
A006,18,SEC:BET:H02_S15:WB,g002
A006,18,SEC:BET:S15_S16:WB,g002
A005,20,PLAT:BET:H02:WB,g002
A005,20,PLAT:BET:S15:WB,g002
A005,20,SEC:BET:H02_S15:WB,g002
A006,20,PLAT:BET:H01:WB,g002
A006,20,PLAT:BET:H02:WB,g002
A006,20,PLAT:BET:S15:WB,g002
A006,20,PLAT:BET:S16:WB,g002
A006,20,SEC:BET:H01_H02:WB,g002
A006,20,SEC:BET:H02_S15:WB,g002
A006,20,SEC:BET:S15_S16:WB,g002
A007,18,PLAT:ALP:S07:EB,g003
A007,18,PLAT:ALP:S08:EB,g003
A007,18,SEC:ALP:S07_S08:EB,g003
A008,21,PLAT:BET:S16:EB,g004
A008,21,PLAT:BET:S17:EB,g004
A008,21,PLAT:BET:S18:EB,g004
A008,21,SEC:BET:S16_S17:EB,g004
A008,21,SEC:BET:S17_S18:EB,g004
A009,21,PLAT:BET:S17:EB,g004
A009,21,PLAT:BET:S18:EB,g004
A009,21,SEC:BET:S17_S18:EB,g004
A008,22,PLAT:BET:S16:EB,g004
A008,22,PLAT:BET:S17:EB,g004
A008,22,PLAT:BET:S18:EB,g004
A008,22,SEC:BET:S16_S17:EB,g004
A008,22,SEC:BET:S17_S18:EB,g004
A009,22,PLAT:BET:S17:EB,g004
A009,22,PLAT:BET:S18:EB,g004
A009,22,SEC:BET:S17_S18:EB,g004
A008,23,PLAT:BET:S16:EB,g004
A008,23,PLAT:BET:S17:EB,g004
A008,23,PLAT:BET:S18:EB,g004
A008,23,SEC:BET:S16_S17:EB,g004
A008,23,SEC:BET:S17_S18:EB,g004
A009,23,PLAT:BET:S17:EB,g004
A009,23,PLAT:BET:S18:EB,g004
A009,23,SEC:BET:S17_S18:EB,g004
A010,23,PLAT:BET:S15:EB,g005
A010,23,PLAT:BET:S16:EB,g005
A010,23,PLAT:BET:S17:EB,g005
A010,23,PLAT:BET:S18:EB,g005
A010,23,SEC:BET:S15_S16:EB,g005
A010,23,SEC:BET:S16_S17:EB,g005
A010,23,SEC:BET:S17_S18:EB,g005
A011,23,PLAT:BET:S15:EB,g005
A011,23,PLAT:BET:S16:EB,g005
A011,23,PLAT:BET:S17:EB,g005
A011,23,SEC:BET:S15_S16:EB,g005
A011,23,SEC:BET:S16_S17:EB,g005
A012,23,PLAT:BET:S15:EB,g005
A012,23,PLAT:BET:S16:EB,g005
A012,23,PLAT:BET:S17:EB,g005
A012,23,SEC:BET:S15_S16:EB,g005
A012,23,SEC:BET:S16_S17:EB,g005
A010,24,PLAT:BET:S15:EB,g005
A010,24,PLAT:BET:S16:EB,g005
A010,24,PLAT:BET:S17:EB,g005
A010,24,PLAT:BET:S18:EB,g005
A010,24,SEC:BET:S15_S16:EB,g005
A010,24,SEC:BET:S16_S17:EB,g005
A010,24,SEC:BET:S17_S18:EB,g005
A011,24,PLAT:BET:S15:EB,g005
A011,24,PLAT:BET:S16:EB,g005
A011,24,PLAT:BET:S17:EB,g005
A011,24,SEC:BET:S15_S16:EB,g005
A011,24,SEC:BET:S16_S17:EB,g005
A012,24,PLAT:BET:S15:EB,g005
A012,24,PLAT:BET:S16:EB,g005
A012,24,PLAT:BET:S17:EB,g005
A012,24,SEC:BET:S15_S16:EB,g005
A012,24,SEC:BET:S16_S17:EB,g005
A010,25,PLAT:BET:S15:EB,g005
A010,25,PLAT:BET:S16:EB,g005
A010,25,PLAT:BET:S17:EB,g005
A010,25,PLAT:BET:S18:EB,g005
A010,25,SEC:BET:S15_S16:EB,g005
A010,25,SEC:BET:S16_S17:EB,g005
A010,25,SEC:BET:S17_S18:EB,g005
A011,25,PLAT:BET:S15:EB,g005
A011,25,PLAT:BET:S16:EB,g005
A011,25,PLAT:BET:S17:EB,g005
A011,25,SEC:BET:S15_S16:EB,g005
A011,25,SEC:BET:S16_S17:EB,g005
A012,25,PLAT:BET:S15:EB,g005
A012,25,PLAT:BET:S16:EB,g005
A012,25,PLAT:BET:S17:EB,g005
A012,25,SEC:BET:S15_S16:EB,g005
A012,25,SEC:BET:S16_S17:EB,g005
A010,27,PLAT:BET:S15:EB,g005
A010,27,PLAT:BET:S16:EB,g005
A010,27,PLAT:BET:S17:EB,g005
A010,27,PLAT:BET:S18:EB,g005
A010,27,SEC:BET:S15_S16:EB,g005
A010,27,SEC:BET:S16_S17:EB,g005
A010,27,SEC:BET:S17_S18:EB,g005
A011,27,PLAT:BET:S15:EB,g005
A011,27,PLAT:BET:S16:EB,g005
A011,27,PLAT:BET:S17:EB,g005
A011,27,SEC:BET:S15_S16:EB,g005
A011,27,SEC:BET:S16_S17:EB,g005
A012,27,PLAT:BET:S15:EB,g005
A012,27,PLAT:BET:S16:EB,g005
A012,27,PLAT:BET:S17:EB,g005
A012,27,SEC:BET:S15_S16:EB,g005
A012,27,SEC:BET:S16_S17:EB,g005
A013,2,PLAT:ALP:S01:WB,g006
A013,2,PLAT:ALP:S02:WB,g006
A013,2,PLAT:ALP:S03:WB,g006
A013,2,SEC:ALP:S01_S02:WB,g006
A013,2,SEC:ALP:S02_S03:WB,g006
A013,3,PLAT:ALP:S01:WB,g006
A013,3,PLAT:ALP:S02:WB,g006
A013,3,PLAT:ALP:S03:WB,g006
A013,3,SEC:ALP:S01_S02:WB,g006
A013,3,SEC:ALP:S02_S03:WB,g006
A013,4,PLAT:ALP:S01:WB,g006
A013,4,PLAT:ALP:S02:WB,g006
A013,4,PLAT:ALP:S03:WB,g006
A013,4,SEC:ALP:S01_S02:WB,g006
A013,4,SEC:ALP:S02_S03:WB,g006
A013,5,PLAT:ALP:S01:WB,g006
A013,5,PLAT:ALP:S02:WB,g006
A013,5,PLAT:ALP:S03:WB,g006
A013,5,SEC:ALP:S01_S02:WB,g006
A013,5,SEC:ALP:S02_S03:WB,g006
A013,6,PLAT:ALP:S01:WB,g006
A013,6,PLAT:ALP:S02:WB,g006
A013,6,PLAT:ALP:S03:WB,g006
A013,6,SEC:ALP:S01_S02:WB,g006
A013,6,SEC:ALP:S02_S03:WB,g006
A013,7,PLAT:ALP:S01:WB,g006
A013,7,PLAT:ALP:S02:WB,g006
A013,7,PLAT:ALP:S03:WB,g006
A013,7,SEC:ALP:S01_S02:WB,g006
A013,7,SEC:ALP:S02_S03:WB,g006
A014,24,PLAT:ALP:S07:EB,g007
A014,24,PLAT:ALP:S08:EB,g007
A014,24,SEC:ALP:S07_S08:EB,g007
A015,24,PLAT:ALP:S07:EB,g007
A015,24,PLAT:ALP:S08:EB,g007
A015,24,SEC:ALP:S07_S08:EB,g007
A014,25,PLAT:ALP:S07:EB,g007
A014,25,PLAT:ALP:S08:EB,g007
A014,25,SEC:ALP:S07_S08:EB,g007
A015,25,PLAT:ALP:S07:EB,g007
A015,25,PLAT:ALP:S08:EB,g007
A015,25,SEC:ALP:S07_S08:EB,g007
A014,26,PLAT:ALP:S07:EB,g007
A014,26,PLAT:ALP:S08:EB,g007
A014,26,SEC:ALP:S07_S08:EB,g007
A015,26,PLAT:ALP:S07:EB,g007
A015,26,PLAT:ALP:S08:EB,g007
A015,26,SEC:ALP:S07_S08:EB,g007
A014,27,PLAT:ALP:S07:EB,g007
A014,27,PLAT:ALP:S08:EB,g007
A014,27,SEC:ALP:S07_S08:EB,g007
A015,27,PLAT:ALP:S07:EB,g007
A015,27,PLAT:ALP:S08:EB,g007
A015,27,SEC:ALP:S07_S08:EB,g007
A014,28,PLAT:ALP:S07:EB,g007
A014,28,PLAT:ALP:S08:EB,g007
A014,28,SEC:ALP:S07_S08:EB,g007
A015,28,PLAT:ALP:S07:EB,g007
A015,28,PLAT:ALP:S08:EB,g007
A015,28,SEC:ALP:S07_S08:EB,g007
A014,30,PLAT:ALP:S07:EB,g007
A014,30,PLAT:ALP:S08:EB,g007
A014,30,SEC:ALP:S07_S08:EB,g007
A015,30,PLAT:ALP:S07:EB,g007
A015,30,PLAT:ALP:S08:EB,g007
A015,30,SEC:ALP:S07_S08:EB,g007
A016,15,PLAT:BET:H02:WB,g008
A016,15,PLAT:BET:S15:WB,g008
A016,15,PLAT:BET:S16:WB,g008
A016,15,SEC:BET:H02_S15:WB,g008
A016,15,SEC:BET:S15_S16:WB,g008
A017,15,PLAT:BET:H02:WB,g008
A017,15,PLAT:BET:S15:WB,g008
A017,15,PLAT:BET:S16:WB,g008
A017,15,SEC:BET:H02_S15:WB,g008
A017,15,SEC:BET:S15_S16:WB,g008
A018,15,PLAT:BET:S15:WB,g008
A018,15,PLAT:BET:S16:WB,g008
A018,15,PLAT:BET:S17:WB,g008
A018,15,SEC:BET:S15_S16:WB,g008
A018,15,SEC:BET:S16_S17:WB,g008
A019,15,PLAT:BET:H02:WB,g008
A019,15,PLAT:BET:S15:WB,g008
A019,15,PLAT:BET:S16:WB,g008
A019,15,SEC:BET:H02_S15:WB,g008
A019,15,SEC:BET:S15_S16:WB,g008
A016,17,PLAT:BET:H02:WB,g008
A016,17,PLAT:BET:S15:WB,g008
A016,17,PLAT:BET:S16:WB,g008
A016,17,SEC:BET:H02_S15:WB,g008
A016,17,SEC:BET:S15_S16:WB,g008
A017,17,PLAT:BET:H02:WB,g008
A017,17,PLAT:BET:S15:WB,g008
A017,17,PLAT:BET:S16:WB,g008
A017,17,SEC:BET:H02_S15:WB,g008
A017,17,SEC:BET:S15_S16:WB,g008
A018,17,PLAT:BET:S15:WB,g008
A018,17,PLAT:BET:S16:WB,g008
A018,17,PLAT:BET:S17:WB,g008
A018,17,SEC:BET:S15_S16:WB,g008
A018,17,SEC:BET:S16_S17:WB,g008
A019,17,PLAT:BET:H02:WB,g008
A019,17,PLAT:BET:S15:WB,g008
A019,17,PLAT:BET:S16:WB,g008
A019,17,SEC:BET:H02_S15:WB,g008
A019,17,SEC:BET:S15_S16:WB,g008
A016,18,PLAT:BET:H02:WB,g008
A016,18,PLAT:BET:S15:WB,g008
A016,18,PLAT:BET:S16:WB,g008
A016,18,SEC:BET:H02_S15:WB,g008
A016,18,SEC:BET:S15_S16:WB,g008
A017,18,PLAT:BET:H02:WB,g008
A017,18,PLAT:BET:S15:WB,g008
A017,18,PLAT:BET:S16:WB,g008
A017,18,SEC:BET:H02_S15:WB,g008
A017,18,SEC:BET:S15_S16:WB,g008
A018,18,PLAT:BET:S15:WB,g008
A018,18,PLAT:BET:S16:WB,g008
A018,18,PLAT:BET:S17:WB,g008
A018,18,SEC:BET:S15_S16:WB,g008
A018,18,SEC:BET:S16_S17:WB,g008
A019,18,PLAT:BET:H02:WB,g008
A019,18,PLAT:BET:S15:WB,g008
A019,18,PLAT:BET:S16:WB,g008
A019,18,SEC:BET:H02_S15:WB,g008
A019,18,SEC:BET:S15_S16:WB,g008
A016,19,PLAT:BET:H02:WB,g008
A016,19,PLAT:BET:S15:WB,g008
A016,19,PLAT:BET:S16:WB,g008
A016,19,SEC:BET:H02_S15:WB,g008
A016,19,SEC:BET:S15_S16:WB,g008
A017,19,PLAT:BET:H02:WB,g008
A017,19,PLAT:BET:S15:WB,g008
A017,19,PLAT:BET:S16:WB,g008
A017,19,SEC:BET:H02_S15:WB,g008
A017,19,SEC:BET:S15_S16:WB,g008
A018,19,PLAT:BET:S15:WB,g008
A018,19,PLAT:BET:S16:WB,g008
A018,19,PLAT:BET:S17:WB,g008
