activity_id,access_seq,week,eclo,access_night
A001,1,29,0,1
A001,2,30,0,1
A002,1,29,0,1
A002,2,30,0,1
A003,1,29,0,1
A003,2,30,0,1
A004,1,29,0,1
A004,2,30,0,1
A005,1,25,0,1
A005,2,26,0,1
A005,3,27,0,1
A005,4,28,0,1
A006,1,25,0,1
A006,2,26,0,1
A006,3,27,0,1
A006,4,28,0,1
A007,1,25,0,1
A007,2,26,0,1
A007,3,27,0,1
A007,4,28,0,1
A008,1,25,0,1
A009,1,15,0,1
A009,2,16,0,1
A009,3,17,0,1
A010,1,15,0,1
A010,2,16,0,1
A010,3,17,0,1
A011,1,15,0,1
A011,2,16,0,1
A011,3,17,0,1
A012,1,15,0,1
A012,2,16,0,1
A012,3,17,0,1
A013,1,25,0,1
A013,2,26,0,1
A013,3,27,0,1
A013,4,28,0,1
A014,1,25,0,1
A014,2,26,0,1
A014,3,27,0,1
A014,4,28,0,1
A015,1,14,0,1
A015,2,15,0,1
A015,3,16,0,1
A016,1,21,0,1
A016,2,22,0,1
A016,3,23,0,1
A017,1,21,0,1
A017,2,22,0,1
A017,3,23,0,1
A018,1,21,0,1
A018,2,22,0,1
A018,3,23,0,1
A019,1,21,0,1
A019,2,22,0,1
A019,3,23,0,1
A020,1,17,0,1
A020,2,18,0,1
A020,3,19,0,1
A021,1,17,0,1
A021,2,18,0,1
A021,3,19,0,1
A022,1,17,0,2
A022,2,18,0,1
A022,3,19,0,1
A023,1,17,0,1
A024,1,8,0,1
A024,2,9,0,1
A024,3,10,0,1
A024,4,11,0,1
A025,1,8,0,1
A025,2,9,0,1
A025,3,10,0,1
A025,4,11,0,1
A026,1,8,0,1
A026,2,9,0,1
A026,3,10,0,1
A026,4,11,0,1
A027,1,8,0,1
A027,2,9,0,1
A027,3,10,0,1
A027,4,11,0,1
A028,1,15,0,1
A028,2,16,0,1
A028,3,17,0,1
A029,1,29,0,1
A030,1,29,0,1
A031,1,19,0,1
A031,2,20,0,1
A031,3,21,0,1
A031,4,22,0,1
A031,5,23,0,1
A031,6,24,0,1
A032,1,19,0,1
A032,2,20,0,1
A032,3,21,0,2
A032,4,22,0,2
A032,5,23,0,2
A032,6,24,0,1
A033,1,19,0,1
A033,2,20,0,1
A033,3,21,0,2
A033,4,22,0,2
A033,5,23,0,2
A033,6,24,0,1
A034,1,19,0,1
A034,2,20,0,1
A034,3,21,0,1
A034,4,22,0,1
A034,5,23,0,1
A034,6,24,0,1
A035,1,13,0,1
A035,2,14,0,1
A036,1,13,0,1
A036,2,14,0,1
A037,1,3,0,1
A037,2,4,0,1
A038,1,23,0,1
A038,2,24,0,1
A038,3,25,0,2
A038,4,26,0,1
A038,5,27,0,1
A038,6,28,0,1
A039,1,23,0,2
A039,2,24,0,1
A039,3,25,0,1
A039,4,26,0,1
A039,5,27,0,1
A039,6,28,0,1
A040,1,9,0,1
A040,2,10,0,1
A040,3,11,0,1
A040,4,12,0,1
A041,1,9,0,1
A041,2,10,0,1
A041,3,11,0,1
A041,4,12,0,1
A042,1,9,0,1
A042,2,10,0,1
A042,3,11,0,1
A042,4,12,0,1
A043,1,5,0,1
A043,2,6,0,1
A044,1,5,0,1
A044,2,6,0,1
A045,1,5,0,1
A045,2,6,0,1
A046,1,26,0,2
A047,1,26,0,1
A048,1,26,0,2
A049,1,26,0,2
A050,1,12,0,1
A051,1,3,0,1
A052,1,21,0,1
A052,2,22,0,1
A052,3,23,0,1
A052,4,24,0,1
A053,1,1,0,1
A053,2,2,0,1
A053,3,3,0,1
A053,4,4,0,1
A054,1,10,0,1
A054,2,11,0,1
A055,1,14,0,1
A055,2,15,0,1
A055,3,16,0,1
A055,4,17,0,1
A056,1,14,0,1
A056,2,15,0,1
A056,3,16,0,1
A056,4,17,0,1
A057,1,14,0,1
A057,2,15,0,2
A057,3,16,0,2
A057,4,17,0,2
A058,1,14,0,1
A058,2,15,0,2
A058,3,16,0,2
A058,4,17,0,2
A059,1,5,0,1
A059,2,6,0,1
A059,3,7,0,1
A060,1,18,0,1
A060,2,19,0,2
A060,3,20,0,2
A060,4,21,0,2
A060,5,22,0,2
