activity_id,week,location_id,co_share_group
A001,29,PLAT:ALP:H01:WB,g001
A001,29,PLAT:ALP:H02:WB,g001
A001,29,PLAT:ALP:S04:WB,g001
A001,29,PLAT:ALP:S05:WB,g001
A001,29,SEC:ALP:H01_H02:WB,g001
A001,29,SEC:ALP:H02_S05:WB,g001
A001,29,SEC:ALP:S04_H01:WB,g001
A002,29,PLAT:ALP:H01:WB,g001
A002,29,PLAT:ALP:H02:WB,g001
A002,29,SEC:ALP:H01_H02:WB,g001
A003,29,PLAT:ALP:H01:WB,g001
A003,29,PLAT:ALP:H02:WB,g001
A003,29,PLAT:ALP:S04:WB,g001
A003,29,SEC:ALP:H01_H02:WB,g001
A003,29,SEC:ALP:S04_H01:WB,g001
A004,29,PLAT:ALP:H01:WB,g001
A004,29,PLAT:ALP:H02:WB,g001
A004,29,SEC:ALP:H01_H02:WB,g001
A001,30,PLAT:ALP:H01:WB,g001
A001,30,PLAT:ALP:H02:WB,g001
A001,30,PLAT:ALP:S04:WB,g001
A001,30,PLAT:ALP:S05:WB,g001
A001,30,SEC:ALP:H01_H02:WB,g001
A001,30,SEC:ALP:H02_S05:WB,g001
A001,30,SEC:ALP:S04_H01:WB,g001
A002,30,PLAT:ALP:H01:WB,g001
A002,30,PLAT:ALP:H02:WB,g001
A002,30,SEC:ALP:H01_H02:WB,g001
A003,30,PLAT:ALP:H01:WB,g001
A003,30,PLAT:ALP:H02:WB,g001
A003,30,PLAT:ALP:S04:WB,g001
A003,30,SEC:ALP:H01_H02:WB,g001
A003,30,SEC:ALP:S04_H01:WB,g001
A004,30,PLAT:ALP:H01:WB,g001
A004,30,PLAT:ALP:H02:WB,g001
A004,30,SEC:ALP:H01_H02:WB,g001
A005,13,PLAT:BET:H01:EB,g002
A005,13,PLAT:BET:H02:EB,g002
A005,13,SEC:BET:H01_H02:EB,g002
A006,13,PLAT:BET:H01:EB,g002
A006,13,PLAT:BET:H02:EB,g002
A006,13,PLAT:BET:S14:EB,g002
A006,13,PLAT:BET:S15:EB,g002
A006,13,SEC:BET:H01_H02:EB,g002
A006,13,SEC:BET:H02_S15:EB,g002
A006,13,SEC:BET:S14_H01:EB,g002
A005,14,PLAT:BET:H01:EB,g002
A005,14,PLAT:BET:H02:EB,g002
A005,14,SEC:BET:H01_H02:EB,g002
A006,14,PLAT:BET:H01:EB,g002
A006,14,PLAT:BET:H02:EB,g002
A006,14,PLAT:BET:S14:EB,g002
A006,14,PLAT:BET:S15:EB,g002
A006,14,SEC:BET:H01_H02:EB,g002
A006,14,SEC:BET:H02_S15:EB,g002
A006,14,SEC:BET:S14_H01:EB,g002
A005,15,PLAT:BET:H01:EB,g002
A005,15,PLAT:BET:H02:EB,g002
A005,15,SEC:BET:H01_H02:EB,g002
A006,15,PLAT:BET:H01:EB,g002
A006,15,PLAT:BET:H02:EB,g002
A006,15,PLAT:BET:S14:EB,g002
A006,15,PLAT:BET:S15:EB,g002
A006,15,SEC:BET:H01_H02:EB,g002
A006,15,SEC:BET:H02_S15:EB,g002
A006,15,SEC:BET:S14_H01:EB,g002
A005,18,PLAT:BET:H01:EB,g002
A005,18,PLAT:BET:H02:EB,g002
A005,18,SEC:BET:H01_H02:EB,g002
A006,18,PLAT:BET:H01:EB,g002
A006,18,PLAT:BET:H02:EB,g002
A006,18,PLAT:BET:S14:EB,g002
A006,18,PLAT:BET:S15:EB,g002
A006,18,SEC:BET:H01_H02:EB,g002
A006,18,SEC:BET:H02_S15:EB,g002
A006,18,SEC:BET:S14_H01:EB,g002
A005,19,PLAT:BET:H01:EB,g002
A005,19,PLAT:BET:H02:EB,g002
A005,19,SEC:BET:H01_H02:EB,g002
A006,19,PLAT:BET:H01:EB,g002
A006,19,PLAT:BET:H02:EB,g002
A006,19,PLAT:BET:S14:EB,g002
