activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,4,2027-07-19,,2
A002,C002,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H02_S05:EB,6,2027-04-26,,2
A003,C003,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,6,2027-05-17,,2
A004,C004,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,6,2027-05-03,,3
A005,C005,Construction,SEC:BET:S14_H01:EB,SEC:BET:S17_S18:EB,3,2027-05-24,,3
A006,C005,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:S07_S08:EB,2,2027-09-13,,1
A007,C003,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S05_S06:EB,2,2027-09-06,A001,3
A008,C006,Construction,SEC:BET:S11_S12:WB,SEC:BET:H02_S15:WB,3,2027-06-28,,3
A009,C005,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,3,2027-06-21,,2
A010,C007,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S07_S08:WB,1,2027-06-14,,1
A011,C008,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:S07_S08:WB,1,2027-06-07,,3
A012,C009,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,6,2027-06-07,,2
A013,C001,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H02_S05:WB,5,2027-07-26,A012,1
A014,C010,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-04-26,,3
A015,C011,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-05-10,,1
A016,C012,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S05_S06:WB,2,2027-05-24,,2
A017,C013,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S07_S08:EB,5,2027-09-27,,2
A018,C012,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:S07_S08:EB,5,2027-09-27,A013,2
A019,C014,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S05_S06:WB,1,2027-05-10,,3
A020,C009,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S07_S08:WB,1,2027-05-17,,1
A021,C006,Construction,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,5,2027-09-27,,2
A022,C008,Renewal,SEC:BET:S13_S14:WB,SEC:BET:H02_S15:WB,5,2027-09-27,,3
A023,C009,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,5,2027-09-20,,2
A024,C010,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S15_S16:WB,3,2027-06-28,A005,3
A025,C006,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-05-31,,3
A026,C003,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,3,2027-05-31,,2
A027,C009,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,3,2027-05-31,,3
A028,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,2,2027-05-17,,3
A029,C008,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,2,2027-05-24,,1
A030,C004,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S14_H01:EB,1,2027-05-10,,2
A031,C008,Renewal,SEC:BET:S11_S12:EB,SEC:BET:H01_H02:EB,1,2027-05-17,,1
A032,C013,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-06-21,,2
A033,C008,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S15_S16:WB,2,2027-06-14,,2
A034,C008,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,3,2027-05-10,,2
A035,C005,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:S06_S07:EB,3,2027-05-10,,1
A036,C015,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,5,2027-08-30,,2
A037,C005,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,5,2027-08-16,,2
A038,C011,Construction,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,5,2027-08-16,,3
A039,C003,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-08-23,,3
A040,C003,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-08-16,,3
A041,C006,Construction,SEC:BET:S11_S12:WB,SEC:BET:H01_H02:WB,2,2027-04-26,,1
A042,C012,Construction,SEC:BET:S12_S13:WB,SEC:BET:H01_H02:WB,2,2027-04-26,,3
A043,C002,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,2,2027-06-28,,3
A044,C007,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,6,2027-05-24,,1
A045,C012,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,6,2027-05-17,A029,1
A046,C005,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,6,2027-05-17,,2
A047,C015,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S17_S18:WB,1,2027-05-10,,2
A048,C003,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S15_S16:WB,1,2027-04-26,,1
