activity_id,week,location_id,co_share_group
A001,16,PLAT:ALP:S05:EB,g001
A001,16,PLAT:ALP:S06:EB,g001
A001,16,PLAT:ALP:S07:EB,g001
A001,16,PLAT:ALP:S08:EB,g001
A001,16,SEC:ALP:S05_S06:EB,g001
A001,16,SEC:ALP:S06_S07:EB,g001
A001,16,SEC:ALP:S07_S08:EB,g001
A001,17,PLAT:ALP:S05:EB,g001
A001,17,PLAT:ALP:S06:EB,g001
A001,17,PLAT:ALP:S07:EB,g001
A001,17,PLAT:ALP:S08:EB,g001
A001,17,SEC:ALP:S05_S06:EB,g001
A001,17,SEC:ALP:S06_S07:EB,g001
A001,17,SEC:ALP:S07_S08:EB,g001
A001,18,PLAT:ALP:S05:EB,g001
A001,18,PLAT:ALP:S06:EB,g001
A001,18,PLAT:ALP:S07:EB,g001
A001,18,PLAT:ALP:S08:EB,g001
A001,18,SEC:ALP:S05_S06:EB,g001
A001,18,SEC:ALP:S06_S07:EB,g001
A001,18,SEC:ALP:S07_S08:EB,g001
A001,19,PLAT:ALP:S05:EB,g001
A001,19,PLAT:ALP:S06:EB,g001
A001,19,PLAT:ALP:S07:EB,g001
A001,19,PLAT:ALP:S08:EB,g001
A001,19,SEC:ALP:S05_S06:EB,g001
A001,19,SEC:ALP:S06_S07:EB,g001
A001,19,SEC:ALP:S07_S08:EB,g001
A002,20,PLAT:ALP:H01:WB,g002
A002,20,PLAT:ALP:S02:WB,g002
A002,20,PLAT:ALP:S03:WB,g002
A002,20,PLAT:ALP:S04:WB,g002
A002,20,SEC:ALP:S02_S03:WB,g002
A002,20,SEC:ALP:S03_S04:WB,g002
A002,20,SEC:ALP:S04_H01:WB,g002
A003,20,PLAT:ALP:H01:WB,g002
A003,20,PLAT:ALP:S02:WB,g002
A003,20,PLAT:ALP:S03:WB,g002
A003,20,PLAT:ALP:S04:WB,g002
A003,20,SEC:ALP:S02_S03:WB,g002
A003,20,SEC:ALP:S03_S04:WB,g002
A003,20,SEC:ALP:S04_H01:WB,g002
A004,20,PLAT:ALP:H01:WB,g002
A004,20,PLAT:ALP:S02:WB,g002
A004,20,PLAT:ALP:S03:WB,g002
A004,20,PLAT:ALP:S04:WB,g002
A004,20,SEC:ALP:S02_S03:WB,g002
A004,20,SEC:ALP:S03_S04:WB,g002
A004,20,SEC:ALP:S04_H01:WB,g002
A002,21,PLAT:ALP:H01:WB,g002
A002,21,PLAT:ALP:S02:WB,g002
A002,21,PLAT:ALP:S03:WB,g002
A002,21,PLAT:ALP:S04:WB,g002
A002,21,SEC:ALP:S02_S03:WB,g002
A002,21,SEC:ALP:S03_S04:WB,g002
A002,21,SEC:ALP:S04_H01:WB,g002
A003,21,PLAT:ALP:H01:WB,g002
A003,21,PLAT:ALP:S02:WB,g002
A003,21,PLAT:ALP:S03:WB,g002
A003,21,PLAT:ALP:S04:WB,g002
A003,21,SEC:ALP:S02_S03:WB,g002
A003,21,SEC:ALP:S03_S04:WB,g002
A003,21,SEC:ALP:S04_H01:WB,g002
A004,21,PLAT:ALP:H01:WB,g002
A004,21,PLAT:ALP:S02:WB,g002
A004,21,PLAT:ALP:S03:WB,g002
A004,21,PLAT:ALP:S04:WB,g002
A004,21,SEC:ALP:S02_S03:WB,g002
A004,21,SEC:ALP:S03_S04:WB,g002
A004,21,SEC:ALP:S04_H01:WB,g002
A002,22,PLAT:ALP:H01:WB,g002
A002,22,PLAT:ALP:S02:WB,g002
A002,22,PLAT:ALP:S03:WB,g002
A002,22,PLAT:ALP:S04:WB,g002
A002,22,SEC:ALP:S02_S03:WB,g002
A002,22,SEC:ALP:S03_S04:WB,g002
A002,22,SEC:ALP:S04_H01:WB,g002
A003,22,PLAT:ALP:H01:WB,g002
A003,22,PLAT:ALP:S02:WB,g002
A003,22,PLAT:ALP:S03:WB,g002
A003,22,PLAT:ALP:S04:WB,g002
A003,22,SEC:ALP:S02_S03:WB,g002
