activity_id,week,location_id,co_share_group
A001,13,PLAT:BET:H01:EB,g001
A001,13,PLAT:BET:H02:EB,g001
A001,13,PLAT:BET:S15:EB,g001
A001,13,SEC:BET:H01_H02:EB,g001
A001,13,SEC:BET:H02_S15:EB,g001
A002,13,PLAT:BET:H01:EB,g001
A002,13,PLAT:BET:H02:EB,g001
A002,13,PLAT:BET:S15:EB,g001
A002,13,SEC:BET:H01_H02:EB,g001
A002,13,SEC:BET:H02_S15:EB,g001
A003,17,PLAT:ALP:H01:EB,g002
A003,17,PLAT:ALP:H02:EB,g002
A003,17,PLAT:ALP:S04:EB,g002
A003,17,PLAT:ALP:S05:EB,g002
A003,17,SEC:ALP:H01_H02:EB,g002
A003,17,SEC:ALP:H02_S05:EB,g002
A003,17,SEC:ALP:S04_H01:EB,g002
A003,18,PLAT:ALP:H01:EB,g002
A003,18,PLAT:ALP:H02:EB,g002
A003,18,PLAT:ALP:S04:EB,g002
A003,18,PLAT:ALP:S05:EB,g002
A003,18,SEC:ALP:H01_H02:EB,g002
A003,18,SEC:ALP:H02_S05:EB,g002
A003,18,SEC:ALP:S04_H01:EB,g002
A003,19,PLAT:ALP:H01:EB,g002
A003,19,PLAT:ALP:H02:EB,g002
A003,19,PLAT:ALP:S04:EB,g002
A003,19,PLAT:ALP:S05:EB,g002
A003,19,SEC:ALP:H01_H02:EB,g002
A003,19,SEC:ALP:H02_S05:EB,g002
A003,19,SEC:ALP:S04_H01:EB,g002
A003,20,PLAT:ALP:H01:EB,g002
A003,20,PLAT:ALP:H02:EB,g002
A003,20,PLAT:ALP:S04:EB,g002
A003,20,PLAT:ALP:S05:EB,g002
A003,20,SEC:ALP:H01_H02:EB,g002
A003,20,SEC:ALP:H02_S05:EB,g002
A003,20,SEC:ALP:S04_H01:EB,g002
A003,21,PLAT:ALP:H01:EB,g002
A003,21,PLAT:ALP:H02:EB,g002
A003,21,PLAT:ALP:S04:EB,g002
A003,21,PLAT:ALP:S05:EB,g002
A003,21,SEC:ALP:H01_H02:EB,g002
A003,21,SEC:ALP:H02_S05:EB,g002
A003,21,SEC:ALP:S04_H01:EB,g002
A003,22,PLAT:ALP:H01:EB,g002
A003,22,PLAT:ALP:H02:EB,g002
A003,22,PLAT:ALP:S04:EB,g002
A003,22,PLAT:ALP:S05:EB,g002
A003,22,SEC:ALP:H01_H02:EB,g002
A003,22,SEC:ALP:H02_S05:EB,g002
A003,22,SEC:ALP:S04_H01:EB,g002
A004,5,PLAT:ALP:H01:EB,g003
A004,5,PLAT:ALP:H02:EB,g003
A004,5,PLAT:ALP:S05:EB,g003
A004,5,SEC:ALP:H01_H02:EB,g003
A004,5,SEC:ALP:H02_S05:EB,g003
A005,5,PLAT:ALP:H01:EB,g003
A005,5,PLAT:ALP:H02:EB,g003
A005,5,PLAT:ALP:S05:EB,g003
A005,5,SEC:ALP:H01_H02:EB,g003
A005,5,SEC:ALP:H02_S05:EB,g003
A006,5,PLAT:ALP:H01:EB,g003
A006,5,PLAT:ALP:H02:EB,g003
A006,5,PLAT:ALP:S05:EB,g003
A006,5,SEC:ALP:H01_H02:EB,g003
A006,5,SEC:ALP:H02_S05:EB,g003
A004,6,PLAT:ALP:H01:EB,g003
A004,6,PLAT:ALP:H02:EB,g003
A004,6,PLAT:ALP:S05:EB,g003
A004,6,SEC:ALP:H01_H02:EB,g003
A004,6,SEC:ALP:H02_S05:EB,g003
A005,6,PLAT:ALP:H01:EB,g003
A005,6,PLAT:ALP:H02:EB,g003
A005,6,PLAT:ALP:S05:EB,g003
A005,6,SEC:ALP:H01_H02:EB,g003
A005,6,SEC:ALP:H02_S05:EB,g003
A006,6,PLAT:ALP:H01:EB,g003
A006,6,PLAT:ALP:H02:EB,g003
A006,6,PLAT:ALP:S05:EB,g003
A006,6,SEC:ALP:H01_H02:EB,g003
A006,6,SEC:ALP:H02_S05:EB,g003
A004,7,PLAT:ALP:H01:EB,g003
A004,7,PLAT:ALP:H02:EB,g003
A004,7,PLAT:ALP:S05:EB,g003
A004,7,SEC:ALP:H01_H02:EB,g003
A004,7,SEC:ALP:H02_S05:EB,g003
A005,7,PLAT:ALP:H01:EB,g003
A005,7,PLAT:ALP:H02:EB,g003
A005,7,PLAT:ALP:S05:EB,g003
A005,7,SEC:ALP:H01_H02:EB,g003
A005,7,SEC:ALP:H02_S05:EB,g003
A006,7,PLAT:ALP:H01:EB,g003
A006,7,PLAT:ALP:H02:EB,g003
A006,7,PLAT:ALP:S05:EB,g003
A006,7,SEC:ALP:H01_H02:EB,g003
A006,7,SEC:ALP:H02_S05:EB,g003
A004,8,PLAT:ALP:H01:EB,g003
A004,8,PLAT:ALP:H02:EB,g003
A004,8,PLAT:ALP:S05:EB,g003
A004,8,SEC:ALP:H01_H02:EB,g003
A004,8,SEC:ALP:H02_S05:EB,g003
A005,8,PLAT:ALP:H01:EB,g003
A005,8,PLAT:ALP:H02:EB,g003
A005,8,PLAT:ALP:S05:EB,g003
A005,8,SEC:ALP:H01_H02:EB,g003
A005,8,SEC:ALP:H02_S05:EB,g003
A006,8,PLAT:ALP:H01:EB,g003
A006,8,PLAT:ALP:H02:EB,g003
A006,8,PLAT:ALP:S05:EB,g003
A006,8,SEC:ALP:H01_H02:EB,g003
A006,8,SEC:ALP:H02_S05:EB,g003
A004,9,PLAT:ALP:H01:EB,g003
A004,9,PLAT:ALP:H02:EB,g003
A004,9,PLAT:ALP:S05:EB,g003
A004,9,SEC:ALP:H01_H02:EB,g003
A004,9,SEC:ALP:H02_S05:EB,g003
A005,9,PLAT:ALP:H01:EB,g003
A005,9,PLAT:ALP:H02:EB,g003
A005,9,PLAT:ALP:S05:EB,g003
A005,9,SEC:ALP:H01_H02:EB,g003
A005,9,SEC:ALP:H02_S05:EB,g003
A006,9,PLAT:ALP:H01:EB,g003
A006,9,PLAT:ALP:H02:EB,g003
A006,9,PLAT:ALP:S05:EB,g003
A006,9,SEC:ALP:H01_H02:EB,g003
A006,9,SEC:ALP:H02_S05:EB,g003
A007,20,PLAT:BET:H01:WB,g004
A007,20,PLAT:BET:H02:WB,g004
A007,20,SEC:BET:H01_H02:WB,g004
A008,20,PLAT:BET:H01:WB,g004
A008,20,PLAT:BET:H02:WB,g004
A008,20,SEC:BET:H01_H02:WB,g004
A007,21,PLAT:BET:H01:WB,g004
A007,21,PLAT:BET:H02:WB,g004
A007,21,SEC:BET:H01_H02:WB,g004
A008,21,PLAT:BET:H01:WB,g004
A008,21,PLAT:BET:H02:WB,g004
A008,21,SEC:BET:H01_H02:WB,g004
A007,22,PLAT:BET:H01:WB,g004
A007,22,PLAT:BET:H02:WB,g004
A007,22,SEC:BET:H01_H02:WB,g004
A008,22,PLAT:BET:H01:WB,g004
A008,22,PLAT:BET:H02:WB,g004
A008,22,SEC:BET:H01_H02:WB,g004
A007,23,PLAT:BET:H01:WB,g004
A007,23,PLAT:BET:H02:WB,g004
A007,23,SEC:BET:H01_H02:WB,g004
A008,23,PLAT:BET:H01:WB,g004
A008,23,PLAT:BET:H02:WB,g004
A008,23,SEC:BET:H01_H02:WB,g004
A007,24,PLAT:BET:H01:WB,g004
A007,24,PLAT:BET:H02:WB,g004
