activity_id,week,location_id,co_share_group
A001,13,PLAT:BET:H01:EB,g001
A001,13,PLAT:BET:H02:EB,g001
A001,13,SEC:BET:H01_H02:EB,g001
A002,13,PLAT:BET:H01:EB,g001
A002,13,PLAT:BET:H02:EB,g001
A002,13,SEC:BET:H01_H02:EB,g001
A003,6,PLAT:BET:H01:WB,g002
A003,6,PLAT:BET:H02:WB,g002
A003,6,PLAT:BET:S14:WB,g002
A003,6,SEC:BET:H01_H02:WB,g002
A003,6,SEC:BET:S14_H01:WB,g002
A003,7,PLAT:BET:H01:WB,g002
A003,7,PLAT:BET:H02:WB,g002
A003,7,PLAT:BET:S14:WB,g002
A003,7,SEC:BET:H01_H02:WB,g002
A003,7,SEC:BET:S14_H01:WB,g002
A003,8,PLAT:BET:H01:WB,g002
A003,8,PLAT:BET:H02:WB,g002
A003,8,PLAT:BET:S14:WB,g002
A003,8,SEC:BET:H01_H02:WB,g002
A003,8,SEC:BET:S14_H01:WB,g002
A004,9,PLAT:ALP:H01:EB,g003
A004,9,PLAT:ALP:H02:EB,g003
A004,9,PLAT:ALP:S04:EB,g003
A004,9,SEC:ALP:H01_H02:EB,g003
A004,9,SEC:ALP:S04_H01:EB,g003
A005,9,PLAT:ALP:H01:EB,g003
A005,9,PLAT:ALP:H02:EB,g003
A005,9,PLAT:ALP:S04:EB,g003
A005,9,PLAT:ALP:S05:EB,g003
A005,9,SEC:ALP:H01_H02:EB,g003
A005,9,SEC:ALP:H02_S05:EB,g003
A005,9,SEC:ALP:S04_H01:EB,g003
A006,9,PLAT:ALP:H01:EB,g003
A006,9,PLAT:ALP:H02:EB,g003
A006,9,SEC:ALP:H01_H02:EB,g003
A004,10,PLAT:ALP:H01:EB,g003
A004,10,PLAT:ALP:H02:EB,g003
A004,10,PLAT:ALP:S04:EB,g003
A004,10,SEC:ALP:H01_H02:EB,g003
A004,10,SEC:ALP:S04_H01:EB,g003
A005,10,PLAT:ALP:H01:EB,g003
A005,10,PLAT:ALP:H02:EB,g003
A005,10,PLAT:ALP:S04:EB,g003
A005,10,PLAT:ALP:S05:EB,g003
A005,10,SEC:ALP:H01_H02:EB,g003
A005,10,SEC:ALP:H02_S05:EB,g003
A005,10,SEC:ALP:S04_H01:EB,g003
A006,10,PLAT:ALP:H01:EB,g003
A006,10,PLAT:ALP:H02:EB,g003
A006,10,SEC:ALP:H01_H02:EB,g003
A004,11,PLAT:ALP:H01:EB,g003
A004,11,PLAT:ALP:H02:EB,g003
A004,11,PLAT:ALP:S04:EB,g003
A004,11,SEC:ALP:H01_H02:EB,g003
A004,11,SEC:ALP:S04_H01:EB,g003
A005,11,PLAT:ALP:H01:EB,g003
A005,11,PLAT:ALP:H02:EB,g003
A005,11,PLAT:ALP:S04:EB,g003
A005,11,PLAT:ALP:S05:EB,g003
A005,11,SEC:ALP:H01_H02:EB,g003
A005,11,SEC:ALP:H02_S05:EB,g003
A005,11,SEC:ALP:S04_H01:EB,g003
A006,11,PLAT:ALP:H01:EB,g003
A006,11,PLAT:ALP:H02:EB,g003
A006,11,SEC:ALP:H01_H02:EB,g003
A004,12,PLAT:ALP:H01:EB,g003
A004,12,PLAT:ALP:H02:EB,g003
A004,12,PLAT:ALP:S04:EB,g003
A004,12,SEC:ALP:H01_H02:EB,g003
A004,12,SEC:ALP:S04_H01:EB,g003
A005,12,PLAT:ALP:H01:EB,g003
A005,12,PLAT:ALP:H02:EB,g003
A005,12,PLAT:ALP:S04:EB,g003
A005,12,PLAT:ALP:S05:EB,g003
A005,12,SEC:ALP:H01_H02:EB,g003
A005,12,SEC:ALP:H02_S05:EB,g003
A005,12,SEC:ALP:S04_H01:EB,g003
A006,12,PLAT:ALP:H01:EB,g003
A006,12,PLAT:ALP:H02:EB,g003
A006,12,SEC:ALP:H01_H02:EB,g003
A004,13,PLAT:ALP:H01:EB,g003
A004,13,PLAT:ALP:H02:EB,g003
A004,13,PLAT:ALP:S04:EB,g003
A004,13,SEC:ALP:H01_H02:EB,g003
A004,13,SEC:ALP:S04_H01:EB,g003
A005,13,PLAT:ALP:H01:EB,g003
A005,13,PLAT:ALP:H02:EB,g003
A005,13,PLAT:ALP:S04:EB,g003
A005,13,PLAT:ALP:S05:EB,g003
A005,13,SEC:ALP:H01_H02:EB,g003
A005,13,SEC:ALP:H02_S05:EB,g003
A005,13,SEC:ALP:S04_H01:EB,g003
A006,13,PLAT:ALP:H01:EB,g003
A006,13,PLAT:ALP:H02:EB,g003
A006,13,SEC:ALP:H01_H02:EB,g003
A007,23,PLAT:ALP:H01:EB,g004
A007,23,PLAT:ALP:H02:EB,g004
A007,23,PLAT:ALP:S04:EB,g004
A007,23,PLAT:ALP:S05:EB,g004
A007,23,SEC:ALP:H01_H02:EB,g004
A007,23,SEC:ALP:H02_S05:EB,g004
A007,23,SEC:ALP:S04_H01:EB,g004
A008,23,PLAT:ALP:H01:EB,g004
A008,23,PLAT:ALP:H02:EB,g004
A008,23,PLAT:ALP:S04:EB,g004
A008,23,SEC:ALP:H01_H02:EB,g004
A008,23,SEC:ALP:S04_H01:EB,g004
A009,23,PLAT:ALP:H01:EB,g004
A009,23,PLAT:ALP:H02:EB,g004
A009,23,PLAT:ALP:S04:EB,g004
A009,23,PLAT:ALP:S05:EB,g004
A009,23,SEC:ALP:H01_H02:EB,g004
A009,23,SEC:ALP:H02_S05:EB,g004
A009,23,SEC:ALP:S04_H01:EB,g004
A007,26,PLAT:ALP:H01:EB,g004
A007,26,PLAT:ALP:H02:EB,g004
A007,26,PLAT:ALP:S04:EB,g004
A007,26,PLAT:ALP:S05:EB,g004
A007,26,SEC:ALP:H01_H02:EB,g004
A007,26,SEC:ALP:H02_S05:EB,g004
A007,26,SEC:ALP:S04_H01:EB,g004
A008,26,PLAT:ALP:H01:EB,g004
A008,26,PLAT:ALP:H02:EB,g004
A008,26,PLAT:ALP:S04:EB,g004
A008,26,SEC:ALP:H01_H02:EB,g004
A008,26,SEC:ALP:S04_H01:EB,g004
A009,26,PLAT:ALP:H01:EB,g004
A009,26,PLAT:ALP:H02:EB,g004
A009,26,PLAT:ALP:S04:EB,g004
A009,26,PLAT:ALP:S05:EB,g004
A009,26,SEC:ALP:H01_H02:EB,g004
A009,26,SEC:ALP:H02_S05:EB,g004
A009,26,SEC:ALP:S04_H01:EB,g004
A007,27,PLAT:ALP:H01:EB,g004
A007,27,PLAT:ALP:H02:EB,g004
A007,27,PLAT:ALP:S04:EB,g004
A007,27,PLAT:ALP:S05:EB,g004
A007,27,SEC:ALP:H01_H02:EB,g004
A007,27,SEC:ALP:H02_S05:EB,g004
A007,27,SEC:ALP:S04_H01:EB,g004
A008,27,PLAT:ALP:H01:EB,g004
A008,27,PLAT:ALP:H02:EB,g004
A008,27,PLAT:ALP:S04:EB,g004
A008,27,SEC:ALP:H01_H02:EB,g004
A008,27,SEC:ALP:S04_H01:EB,g004
A009,27,PLAT:ALP:H01:EB,g004
A009,27,PLAT:ALP:H02:EB,g004
A009,27,PLAT:ALP:S04:EB,g004
A009,27,PLAT:ALP:S05:EB,g004
A009,27,SEC:ALP:H01_H02:EB,g004
A009,27,SEC:ALP:H02_S05:EB,g004
