activity_id,access_seq,week,eclo,access_night
A001,1,13,0,1
A002,1,13,0,1
A003,1,17,0,1
A003,2,18,0,1
A003,3,19,0,1
A003,4,20,0,1
A003,5,21,0,1
A003,6,22,0,1
A004,1,5,0,1
A004,2,6,0,1
A004,3,7,0,1
A004,4,8,0,1
A004,5,9,0,1
A005,1,5,0,1
A005,2,6,0,1
A005,3,7,0,1
A005,4,8,0,1
A005,5,9,0,1
A006,1,5,0,1
A006,2,6,0,1
A006,3,7,0,1
A006,4,8,0,1
A006,5,9,0,1
A007,1,20,0,1
A007,2,21,0,1
A007,3,22,0,1
A007,4,23,0,1
A007,5,24,0,1
A008,1,20,0,1
A008,2,21,0,1
A008,3,22,0,1
A008,4,23,0,1
A008,5,24,0,1
A009,1,22,0,1
A010,1,22,0,1
A011,1,22,0,1
A011,2,23,0,1
A012,1,22,0,2
A012,2,23,0,1
A013,1,22,0,1
A013,2,23,0,1
A014,1,23,0,1
A014,2,24,0,1
A014,3,25,0,1
A014,4,26,0,1
A014,5,27,0,1
A014,6,28,0,1
A015,1,23,0,2
A015,2,24,0,1
A015,3,25,0,1
A015,4,26,0,1
A015,5,27,0,1
A015,6,28,0,1
A016,1,23,0,1
A016,2,24,0,1
A016,3,25,0,1
A016,4,26,0,1
A016,5,27,0,1
A016,6,28,0,1
A017,1,23,0,1
A017,2,24,0,1
A017,3,25,0,1
A018,1,23,0,2
A018,2,24,0,1
A018,3,25,0,1
A019,1,23,0,1
A019,2,24,0,1
A019,3,25,0,1
A020,1,29,0,1
A021,1,29,0,1
A022,1,9,0,1
A022,2,10,0,1
A022,3,11,0,1
A022,4,12,0,1
A023,1,9,0,1
A023,2,10,0,1
A023,3,11,0,1
A023,4,12,0,1
A024,1,18,0,1
A024,2,19,0,1
A025,1,13,0,1
A026,1,13,0,1
A027,1,17,0,1
A028,1,17,0,1
A029,1,24,0,1
A030,1,15,0,1
A030,2,16,0,1
A030,3,17,0,1
A030,4,18,0,1
A031,1,15,0,1
A031,2,16,0,1
A031,3,17,0,1
A031,4,18,0,1
A032,1,15,0,1
A032,2,16,0,1
A032,3,17,0,2
A032,4,18,0,2
A033,1,15,0,1
A033,2,16,0,1
A033,3,17,0,1
A033,4,18,0,1
A034,1,15,0,2
A034,2,16,0,2
A034,3,17,0,2
A034,4,18,0,2
A035,1,15,0,1
A035,2,16,0,1
A035,3,17,0,2
A035,4,18,0,1
A036,1,30,0,1
A037,1,30,0,1
A038,1,30,0,1
A039,1,10,0,1
A039,2,11,0,1
A039,3,12,0,1
A039,4,13,0,1
A040,1,10,0,2
A040,2,11,0,2
A040,3,12,0,2
A040,4,13,0,1
A040,5,14,0,1
A040,6,15,0,1
A041,1,10,0,1
A041,2,11,0,1
A041,3,12,0,1
A041,4,13,0,1
A041,5,14,0,1
A041,6,15,0,1
A042,1,7,0,1
A042,2,8,0,1
A042,3,9,0,1
A043,1,7,0,1
A043,2,8,0,1
A043,3,9,0,1
A044,1,25,0,1
A044,2,26,0,1
A044,3,27,0,1
A044,4,28,0,1
A044,5,29,0,2
A045,1,25,0,1
A045,2,26,0,1
A045,3,27,0,1
A045,4,28,0,1
A045,5,29,0,2
A046,1,25,0,1
A046,2,26,0,1
A046,3,27,0,1
A046,4,28,0,1
A046,5,29,0,1
A047,1,22,0,2
A047,2,23,0,2
A048,1,16,0,1
A049,1,16,0,1
A050,1,10,0,2
A050,2,11,0,2
A050,3,12,0,2
A051,1,23,0,1
A051,2,24,0,1
A051,3,25,0,1
A051,4,26,0,1
A052,1,23,0,1
A052,2,24,0,1
A052,3,25,0,1
A052,4,26,0,1
A053,1,1,0,1
A054,1,1,0,1
