activity_id,access_seq,week,eclo,access_night
A001,1,27,0,1
A001,2,28,0,1
A002,1,27,0,1
A002,2,28,0,1
A003,1,27,0,1
A003,2,28,0,1
A004,1,3,0,1
A005,1,12,0,1
A005,2,13,0,1
A005,3,14,0,1
A005,4,15,0,1
A005,5,16,0,1
A005,6,17,0,1
A006,1,12,0,1
A006,2,13,0,1
A006,3,14,0,1
A006,4,15,0,1
A006,5,16,0,1
A006,6,17,0,1
A007,1,12,0,1
A007,2,13,0,1
A007,3,14,0,1
A007,4,15,0,1
A007,5,16,0,1
A007,6,17,0,1
A008,1,11,0,1
A008,2,12,0,1
A009,1,2,0,1
A009,2,3,0,1
A009,3,4,0,1
A009,4,5,0,1
A009,5,6,0,1
A009,6,7,0,1
A010,1,2,0,1
A010,2,3,0,1
A010,3,4,0,1
A010,4,5,0,1
A010,5,6,0,1
A010,6,7,0,1
A011,1,2,0,1
A011,2,3,0,1
A011,3,4,0,1
A011,4,5,0,1
A011,5,6,0,1
A011,6,7,0,1
A012,1,17,0,2
A012,2,18,0,1
A012,3,19,0,1
A012,4,20,0,1
A012,5,21,0,1
A012,6,22,0,1
A013,1,17,0,2
A013,2,18,0,1
A013,3,19,0,1
A013,4,20,0,1
A013,5,21,0,1
A013,6,22,0,1
A014,1,17,0,1
A014,2,18,0,1
A014,3,19,0,1
A014,4,20,0,1
A014,5,21,0,1
A014,6,22,0,1
A015,1,32,0,1
A016,1,32,0,1
A017,1,22,0,1
A017,2,23,0,1
A017,3,24,0,1
A017,4,25,0,1
A018,1,22,0,1
A018,2,23,0,1
A018,3,24,0,1
A018,4,25,0,1
A019,1,22,0,1
A019,2,23,0,1
A019,3,24,0,1
A019,4,25,0,1
A020,1,30,0,1
A020,2,31,0,1
A020,3,32,0,2
A020,4,33,0,1
A021,1,30,0,1
A021,2,31,0,1
A021,3,32,0,1
A021,4,33,0,1
A022,1,30,0,1
A022,2,31,0,1
A022,3,32,0,1
A022,4,33,0,1
A023,1,18,0,1
A023,2,19,0,1
A023,3,20,0,1
A023,4,21,0,1
A024,1,11,0,2
A024,2,12,0,2
A025,1,11,0,1
A025,2,12,0,1
A026,1,25,0,1
A026,2,26,0,1
A027,1,25,0,2
A027,2,26,0,1
A028,1,32,0,1
A028,2,33,0,1
A029,1,32,0,1
A029,2,33,0,1
A030,1,2,0,1
A030,2,3,0,2
A030,3,4,0,1
A030,4,5,0,1
A030,5,6,0,1
A031,1,2,0,2
A031,2,3,0,2
A031,3,4,0,2
A031,4,5,0,2
A031,5,6,0,2
A032,1,8,0,1
A032,2,9,0,1
A032,3,10,0,1
A032,4,11,0,3
A032,5,12,0,3
A032,6,13,0,1
A033,1,8,0,1
A033,2,9,0,1
A033,3,10,0,1
A033,4,11,0,2
A033,5,12,0,2
A033,6,13,0,1
A034,1,1,0,1
A034,2,2,0,2
A034,3,3,0,3
A035,1,1,0,1
A035,2,2,0,1
A035,3,3,0,1
A036,1,1,0,1
A036,2,2,0,1
A036,3,3,0,1
A037,1,27,0,2
A037,2,28,0,2
A037,3,29,0,1
A037,4,30,0,1
A038,1,27,0,1
A038,2,28,0,1
A038,3,29,0,1
A038,4,30,0,1
A039,1,27,0,2
A039,2,28,0,2
A039,3,29,0,1
A039,4,30,0,1
A040,1,32,0,2
A040,2,33,0,1
A040,3,34,0,1
A040,4,35,0,1
A040,5,36,0,1
A041,1,5,0,2
A041,2,6,0,2
A041,3,7,0,1
A042,1,5,0,1
A042,2,6,0,1
A042,3,7,0,1
A043,1,25,0,1
A044,1,25,0,3
A045,1,25,0,1
A046,1,32,0,1
A046,2,33,0,1
A046,3,34,0,1
A046,4,35,0,1
A047,1,34,0,1
A047,2,35,0,1
A048,1,34,0,1
A048,2,35,0,1
A049,1,24,0,1
A049,2,25,0,2
A050,1,24,0,1
A050,2,25,0,1
A051,1,33,0,1
A052,1,33,0,2
A053,1,33,0,1
A054,1,24,0,1
A054,2,25,0,2
A054,3,26,0,1
A055,1,30,0,1
A055,2,31,0,1
A055,3,32,0,2
A055,4,33,0,2
A055,5,34,0,1
A056,1,34,0,1
A056,2,35,0,1
A056,3,36,0,1
A057,1,34,0,2
A057,2,35,0,2
A057,3,36,0,1
A058,1,34,0,1
A058,2,35,0,1
A058,3,36,0,1
A059,1,32,0,1
A060,1,2,0,2
A060,2,3,0,2
A060,3,4,0,1
