activity_id,week,location_id,co_share_group
A001,27,PLAT:ALP:S01:WB,g001
A001,27,PLAT:ALP:S02:WB,g001
A001,27,SEC:ALP:S01_S02:WB,g001
A002,27,PLAT:ALP:S01:WB,g001
A002,27,PLAT:ALP:S02:WB,g001
A002,27,SEC:ALP:S01_S02:WB,g001
A003,27,PLAT:ALP:S01:WB,g001
A003,27,PLAT:ALP:S02:WB,g001
A003,27,SEC:ALP:S01_S02:WB,g001
A001,28,PLAT:ALP:S01:WB,g001
A001,28,PLAT:ALP:S02:WB,g001
A001,28,SEC:ALP:S01_S02:WB,g001
A002,28,PLAT:ALP:S01:WB,g001
A002,28,PLAT:ALP:S02:WB,g001
A002,28,SEC:ALP:S01_S02:WB,g001
A003,28,PLAT:ALP:S01:WB,g001
A003,28,PLAT:ALP:S02:WB,g001
A003,28,SEC:ALP:S01_S02:WB,g001
A004,3,PLAT:BET:S12:EB,g002
A004,3,PLAT:BET:S13:EB,g002
A004,3,SEC:BET:S12_S13:EB,g002
A005,12,PLAT:BET:S11:WB,g003
A005,12,PLAT:BET:S12:WB,g003
A005,12,PLAT:BET:S13:WB,g003
A005,12,SEC:BET:S11_S12:WB,g003
A005,12,SEC:BET:S12_S13:WB,g003
A006,12,PLAT:BET:S11:WB,g003
A006,12,PLAT:BET:S12:WB,g003
A006,12,PLAT:BET:S13:WB,g003
A006,12,SEC:BET:S11_S12:WB,g003
A006,12,SEC:BET:S12_S13:WB,g003
A007,12,PLAT:BET:S11:WB,g003
A007,12,PLAT:BET:S12:WB,g003
A007,12,PLAT:BET:S13:WB,g003
A007,12,SEC:BET:S11_S12:WB,g003
A007,12,SEC:BET:S12_S13:WB,g003
A005,13,PLAT:BET:S11:WB,g003
A005,13,PLAT:BET:S12:WB,g003
A005,13,PLAT:BET:S13:WB,g003
A005,13,SEC:BET:S11_S12:WB,g003
A005,13,SEC:BET:S12_S13:WB,g003
A006,13,PLAT:BET:S11:WB,g003
A006,13,PLAT:BET:S12:WB,g003
A006,13,PLAT:BET:S13:WB,g003
A006,13,SEC:BET:S11_S12:WB,g003
A006,13,SEC:BET:S12_S13:WB,g003
A007,13,PLAT:BET:S11:WB,g003
A007,13,PLAT:BET:S12:WB,g003
A007,13,PLAT:BET:S13:WB,g003
A007,13,SEC:BET:S11_S12:WB,g003
A007,13,SEC:BET:S12_S13:WB,g003
A005,14,PLAT:BET:S11:WB,g003
A005,14,PLAT:BET:S12:WB,g003
A005,14,PLAT:BET:S13:WB,g003
A005,14,SEC:BET:S11_S12:WB,g003
A005,14,SEC:BET:S12_S13:WB,g003
A006,14,PLAT:BET:S11:WB,g003
A006,14,PLAT:BET:S12:WB,g003
A006,14,PLAT:BET:S13:WB,g003
A006,14,SEC:BET:S11_S12:WB,g003
A006,14,SEC:BET:S12_S13:WB,g003
A007,14,PLAT:BET:S11:WB,g003
A007,14,PLAT:BET:S12:WB,g003
A007,14,PLAT:BET:S13:WB,g003
A007,14,SEC:BET:S11_S12:WB,g003
A007,14,SEC:BET:S12_S13:WB,g003
A005,15,PLAT:BET:S11:WB,g003
A005,15,PLAT:BET:S12:WB,g003
A005,15,PLAT:BET:S13:WB,g003
A005,15,SEC:BET:S11_S12:WB,g003
A005,15,SEC:BET:S12_S13:WB,g003
A006,15,PLAT:BET:S11:WB,g003
A006,15,PLAT:BET:S12:WB,g003
A006,15,PLAT:BET:S13:WB,g003
A006,15,SEC:BET:S11_S12:WB,g003
A006,15,SEC:BET:S12_S13:WB,g003
A007,15,PLAT:BET:S11:WB,g003
A007,15,PLAT:BET:S12:WB,g003
A007,15,PLAT:BET:S13:WB,g003
A007,15,SEC:BET:S11_S12:WB,g003
A007,15,SEC:BET:S12_S13:WB,g003
A005,16,PLAT:BET:S11:WB,g003
A005,16,PLAT:BET:S12:WB,g003
A005,16,PLAT:BET:S13:WB,g003
A005,16,SEC:BET:S11_S12:WB,g003
A005,16,SEC:BET:S12_S13:WB,g003
A006,16,PLAT:BET:S11:WB,g003
A006,16,PLAT:BET:S12:WB,g003
A006,16,PLAT:BET:S13:WB,g003
A006,16,SEC:BET:S11_S12:WB,g003
A006,16,SEC:BET:S12_S13:WB,g003
A007,16,PLAT:BET:S11:WB,g003
A007,16,PLAT:BET:S12:WB,g003
A007,16,PLAT:BET:S13:WB,g003
A007,16,SEC:BET:S11_S12:WB,g003
A007,16,SEC:BET:S12_S13:WB,g003
A005,17,PLAT:BET:S11:WB,g003
A005,17,PLAT:BET:S12:WB,g003
A005,17,PLAT:BET:S13:WB,g003
A005,17,SEC:BET:S11_S12:WB,g003
A005,17,SEC:BET:S12_S13:WB,g003
A006,17,PLAT:BET:S11:WB,g003
A006,17,PLAT:BET:S12:WB,g003
A006,17,PLAT:BET:S13:WB,g003
A006,17,SEC:BET:S11_S12:WB,g003
A006,17,SEC:BET:S12_S13:WB,g003
A007,17,PLAT:BET:S11:WB,g003
A007,17,PLAT:BET:S12:WB,g003
A007,17,PLAT:BET:S13:WB,g003
A007,17,SEC:BET:S11_S12:WB,g003
A007,17,SEC:BET:S12_S13:WB,g003
A008,11,PLAT:BET:S16:EB,g004
A008,11,PLAT:BET:S17:EB,g004
A008,11,SEC:BET:S16_S17:EB,g004
A008,12,PLAT:BET:S16:EB,g004
A008,12,PLAT:BET:S17:EB,g004
A008,12,SEC:BET:S16_S17:EB,g004
A009,2,PLAT:BET:S11:WB,g005
A009,2,PLAT:BET:S12:WB,g005
A009,2,SEC:BET:S11_S12:WB,g005
A010,2,PLAT:BET:S11:WB,g005
A010,2,PLAT:BET:S12:WB,g005
A010,2,SEC:BET:S11_S12:WB,g005
A011,2,PLAT:BET:S11:WB,g005
A011,2,PLAT:BET:S12:WB,g005
A011,2,SEC:BET:S11_S12:WB,g005
A009,3,PLAT:BET:S11:WB,g005
A009,3,PLAT:BET:S12:WB,g005
A009,3,SEC:BET:S11_S12:WB,g005
A010,3,PLAT:BET:S11:WB,g005
A010,3,PLAT:BET:S12:WB,g005
A010,3,SEC:BET:S11_S12:WB,g005
A011,3,PLAT:BET:S11:WB,g005
A011,3,PLAT:BET:S12:WB,g005
A011,3,SEC:BET:S11_S12:WB,g005
A009,4,PLAT:BET:S11:WB,g005
A009,4,PLAT:BET:S12:WB,g005
A009,4,SEC:BET:S11_S12:WB,g005
A010,4,PLAT:BET:S11:WB,g005
A010,4,PLAT:BET:S12:WB,g005
A010,4,SEC:BET:S11_S12:WB,g005
A011,4,PLAT:BET:S11:WB,g005
A011,4,PLAT:BET:S12:WB,g005
A011,4,SEC:BET:S11_S12:WB,g005
A009,5,PLAT:BET:S11:WB,g005
A009,5,PLAT:BET:S12:WB,g005
A009,5,SEC:BET:S11_S12:WB,g005
A010,5,PLAT:BET:S11:WB,g005
A010,5,PLAT:BET:S12:WB,g005
A010,5,SEC:BET:S11_S12:WB,g005
A011,5,PLAT:BET:S11:WB,g005
