activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-07-19,,2
A002,C002,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-07-19,,1
A003,C003,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-07-19,,2
A004,C004,Construction,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,4,2027-09-13,,2
A005,C005,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,3,2027-08-09,,1
A006,C006,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,6,2027-09-20,,3
A007,C007,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,6,2027-09-27,,2
A008,C001,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,5,2027-11-15,,1
A009,C001,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,5,2027-11-15,,1
A010,C001,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,5,2027-11-15,,1
A011,C006,Construction,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,5,2027-11-01,,1
A012,C004,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,1,2027-12-20,,3
A013,C001,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,1,2027-11-29,,1
A014,C001,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,1,2027-12-06,,3
A015,C006,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,1,2027-12-13,A007,1
A016,C008,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,6,2027-07-19,,1
A017,C001,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,6,2027-07-19,,2
A018,C001,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,6,2027-07-19,,3
A019,C009,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,1,2027-08-16,,1
A020,C006,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-08-02,,2
A021,C006,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,1,2027-08-02,,1
A022,C001,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,5,2027-08-30,,1
A023,C005,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,2,2027-10-25,,2
A024,C008,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,4,2027-07-19,,3
A025,C001,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,5,2027-09-06,,1
A026,C004,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,1,2027-08-30,,3
A027,C001,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-08-30,,1
A028,C001,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-08-09,,3
A029,C002,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-08-30,A021,3
A030,C008,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,6,2027-09-20,A005,2
A031,C007,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,6,2027-08-30,,2
A032,C001,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,6,2027-09-13,A005,2
A033,C004,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,5,2027-07-19,,1
A034,C008,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,1,2027-10-18,,1
A035,C006,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,1,2027-10-18,,2
A036,C008,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,6,2027-08-23,A033,3
A037,C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-08-16,,2
A038,C002,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,6,2027-08-09,,3
A039,C002,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-08-02,,3
A040,C008,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,6,2027-12-20,,1
A041,C006,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,6,2027-12-20,,3
A042,C002,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,5,2027-08-23,,2
A043,C001,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,5,2027-08-09,,1
A044,C002,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,5,2027-08-23,,3
A045,C006,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-11-29,,1
A046,C001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-11-29,,3
A047,C006,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,5,2027-12-13,,2
A048,C002,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-11-29,A023,2
A049,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-09-13,,3
A050,C005,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,1,2027-09-13,A049,1
A051,C004,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2027-08-30,,3
A052,C006,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-09-13,,3
A053,C001,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-08-30,,3
A054,C008,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,4,2027-10-04,,2
A055,C006,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,4,2027-10-04,,2
A056,C002,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,4,2027-10-04,,2
A057,C004,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,6,2027-12-20,,1
A058,C001,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,6,2027-12-20,,2
A059,C001,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,6,2027-12-20,A015,1
A060,C008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-12-20,,1
A061,C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2028-01-03,,3
A062,C007,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,6,2027-12-13,,3
A063,C002,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,4,2028-01-03,,1
A064,C006,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,4,2028-01-10,,2
A065,C001,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,4,2028-01-10,,3
A066,C003,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,4,2028-01-03,,3
A067,C005,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,6,2027-10-25,,2
A068,C005,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,5,2027-08-16,,1
A069,C004,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-10-04,,3
A070,C001,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,1,2027-10-04,A053,2
A071,C002,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,1,2027-09-20,,1
A072,C003,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-09-27,A053,2
