activity_id,week,location_id,co_share_group
A001,3,PLAT:BET:H01:EB,g001
A001,3,PLAT:BET:H02:EB,g001
A001,3,PLAT:BET:S15:EB,g001
A001,3,SEC:BET:H01_H02:EB,g001
A001,3,SEC:BET:H02_S15:EB,g001
A002,3,PLAT:BET:H02:EB,g001
A002,3,PLAT:BET:S15:EB,g001
A002,3,SEC:BET:H02_S15:EB,g001
A003,3,PLAT:BET:H02:EB,g001
A003,3,PLAT:BET:S15:EB,g001
A003,3,SEC:BET:H02_S15:EB,g001
A004,10,PLAT:BET:S16:WB,g002
A004,10,PLAT:BET:S17:WB,g002
A004,10,SEC:BET:S16_S17:WB,g002
A004,13,PLAT:BET:S16:WB,g002
A004,13,PLAT:BET:S17:WB,g002
A004,13,SEC:BET:S16_S17:WB,g002
A004,14,PLAT:BET:S16:WB,g002
A004,14,PLAT:BET:S17:WB,g002
A004,14,SEC:BET:S16_S17:WB,g002
A004,15,PLAT:BET:S16:WB,g002
A004,15,PLAT:BET:S17:WB,g002
A004,15,SEC:BET:S16_S17:WB,g002
A005,4,PLAT:BET:H02:WB,g003
A005,4,PLAT:BET:S15:WB,g003
A005,4,PLAT:BET:S16:WB,g003
A005,4,SEC:BET:H02_S15:WB,g003
A005,4,SEC:BET:S15_S16:WB,g003
A005,6,PLAT:BET:H02:WB,g003
A005,6,PLAT:BET:S15:WB,g003
A005,6,PLAT:BET:S16:WB,g003
A005,6,SEC:BET:H02_S15:WB,g003
A005,6,SEC:BET:S15_S16:WB,g003
A005,8,PLAT:BET:H02:WB,g003
A005,8,PLAT:BET:S15:WB,g003
A005,8,PLAT:BET:S16:WB,g003
A005,8,SEC:BET:H02_S15:WB,g003
A005,8,SEC:BET:S15_S16:WB,g003
A006,11,PLAT:ALP:S01:WB,g004
A006,11,PLAT:ALP:S02:WB,g004
A006,11,SEC:ALP:S01_S02:WB,g004
A007,11,PLAT:ALP:S01:WB,g004
A007,11,PLAT:ALP:S02:WB,g004
A007,11,SEC:ALP:S01_S02:WB,g004
A006,14,PLAT:ALP:S01:WB,g004
A006,14,PLAT:ALP:S02:WB,g004
A006,14,SEC:ALP:S01_S02:WB,g004
A007,14,PLAT:ALP:S01:WB,g004
A007,14,PLAT:ALP:S02:WB,g004
A007,14,SEC:ALP:S01_S02:WB,g004
A006,15,PLAT:ALP:S01:WB,g004
A006,15,PLAT:ALP:S02:WB,g004
A006,15,SEC:ALP:S01_S02:WB,g004
A007,15,PLAT:ALP:S01:WB,g004
A007,15,PLAT:ALP:S02:WB,g004
A007,15,SEC:ALP:S01_S02:WB,g004
A006,16,PLAT:ALP:S01:WB,g004
A006,16,PLAT:ALP:S02:WB,g004
A006,16,SEC:ALP:S01_S02:WB,g004
A007,16,PLAT:ALP:S01:WB,g004
A007,16,PLAT:ALP:S02:WB,g004
A007,16,SEC:ALP:S01_S02:WB,g004
A006,18,PLAT:ALP:S01:WB,g004
A006,18,PLAT:ALP:S02:WB,g004
A006,18,SEC:ALP:S01_S02:WB,g004
A007,18,PLAT:ALP:S01:WB,g004
A007,18,PLAT:ALP:S02:WB,g004
A007,18,SEC:ALP:S01_S02:WB,g004
A006,19,PLAT:ALP:S01:WB,g004
A006,19,PLAT:ALP:S02:WB,g004
A006,19,SEC:ALP:S01_S02:WB,g004
A007,19,PLAT:ALP:S01:WB,g004
A007,19,PLAT:ALP:S02:WB,g004
A007,19,SEC:ALP:S01_S02:WB,g004
A008,18,PLAT:BET:S12:WB,g005
A008,18,PLAT:BET:S13:WB,g005
A008,18,PLAT:BET:S14:WB,g005
A008,18,SEC:BET:S12_S13:WB,g005
A008,18,SEC:BET:S13_S14:WB,g005
A009,18,PLAT:BET:H01:WB,g005
A009,18,PLAT:BET:S13:WB,g005
A009,18,PLAT:BET:S14:WB,g005
A009,18,SEC:BET:S13_S14:WB,g005
A009,18,SEC:BET:S14_H01:WB,g005
A010,18,PLAT:BET:S13:WB,g005
A010,18,PLAT:BET:S14:WB,g005
A010,18,SEC:BET:S13_S14:WB,g005
A011,18,PLAT:BET:H01:WB,g005
A011,18,PLAT:BET:S12:WB,g005
A011,18,PLAT:BET:S13:WB,g005
A011,18,PLAT:BET:S14:WB,g005
A011,18,SEC:BET:S12_S13:WB,g005
A011,18,SEC:BET:S13_S14:WB,g005
A011,18,SEC:BET:S14_H01:WB,g005
A008,19,PLAT:BET:S12:WB,g005
A008,19,PLAT:BET:S13:WB,g005
A008,19,PLAT:BET:S14:WB,g005
