activity_id,access_seq,week,eclo,access_night
A001,1,11,0,1
A002,1,11,0,1
A003,1,11,0,1
A004,1,11,0,1
A005,1,9,0,1
A005,2,10,0,1
A005,3,12,0,1
A006,1,12,0,1
A007,1,13,0,1
A007,2,14,0,1
A007,3,15,0,1
A007,4,16,0,1
A008,1,6,0,1
A009,1,6,0,1
A010,1,6,0,1
A011,1,14,0,1
A011,2,15,0,1
A011,3,16,0,1
A012,1,14,0,1
A012,2,15,0,1
A012,3,16,0,1
A013,1,14,0,1
A013,2,15,0,1
A013,3,16,0,1
A014,1,14,0,1
A014,2,15,0,1
A014,3,16,0,1
A015,1,13,0,1
A015,2,14,0,1
A015,3,15,0,1
A015,4,16,0,1
A016,1,13,0,1
A016,2,14,0,2
A016,3,15,0,2
A016,4,16,0,2
A017,1,13,0,1
A017,2,14,0,1
A017,3,15,0,1
A017,4,16,0,1
A018,1,8,0,1
A018,2,10,0,1
A018,3,12,0,1
A018,4,14,0,1
A018,5,15,0,1
A019,1,13,0,1
A020,1,13,0,1
A021,1,13,0,1
A022,1,13,0,1
A023,1,11,0,1
A023,2,14,0,1
A023,3,15,0,1
A024,1,10,0,1
A024,2,12,0,1
A024,3,13,0,1
A024,4,14,0,1
A024,5,16,0,1
A025,1,10,0,1
A025,2,12,0,1
A025,3,13,0,1
A025,4,14,0,1
A025,5,16,0,1
A026,1,9,0,1
A026,2,10,0,1
A026,3,12,0,1
A026,4,14,0,1
A026,5,15,0,1
A027,1,9,0,1
A027,2,10,0,1
A027,3,12,0,1
A027,4,14,0,2
A027,5,15,0,1
A028,1,9,0,1
A028,2,10,0,1
A028,3,12,0,1
A028,4,14,0,1
A028,5,15,0,1
A029,1,11,0,2
A029,2,12,0,1
A030,1,11,0,1
A030,2,12,0,1
A031,1,11,0,2
A031,2,12,0,1
A032,1,11,0,1
A032,2,12,0,1
A033,1,8,0,1
A034,1,7,0,1
A034,2,8,0,1
A034,3,11,0,1
A034,4,13,0,1
A034,5,14,0,2
A035,1,7,0,1
A035,2,8,0,1
A035,3,11,0,1
A035,4,13,0,2
A035,5,14,0,2
A036,1,7,0,1
A036,2,8,0,1
A036,3,9,0,1
A037,1,7,0,1
A037,2,8,0,1
A037,3,9,0,1
A038,1,5,0,1
A038,2,6,0,1
A038,3,7,0,1
A038,4,8,0,1
A038,5,9,0,1
A039,1,5,0,1
A039,2,6,0,1
A039,3,7,0,1
A039,4,8,0,1
A039,5,9,0,1
A040,1,9,0,1
A040,2,12,0,1
A041,1,9,0,1
A041,2,12,0,1
A042,1,14,0,2
A042,2,15,0,1
A043,1,14,0,1
A043,2,15,0,1
A044,1,1,0,1
A044,2,2,0,1
A044,3,3,0,1
A044,4,4,0,1
A044,5,6,0,1
A045,1,11,0,2
A045,2,12,0,2
A045,3,13,0,1
A045,4,14,0,2
A045,5,15,0,2
A046,1,1,0,1
A046,2,2,0,1
A046,3,3,0,1
A046,4,5,0,1
A046,5,6,0,1
A047,1,1,0,1
A047,2,2,0,1
A047,3,3,0,1
A047,4,5,0,1
A047,5,6,0,1
A048,1,1,0,1
A048,2,2,0,1
A048,3,3,0,1
A048,4,5,0,1
A048,5,6,0,1
A049,1,1,0,2
A049,2,2,0,2
A049,3,3,0,2
A049,4,4,0,2
A050,1,14,0,1
A051,1,14,0,2
A052,1,2,0,1
A052,2,3,0,1
A053,1,2,0,2
A053,2,3,0,2
A054,1,13,0,1
A054,2,14,0,2
A054,3,15,0,2
A055,1,13,0,1
A055,2,14,0,2
A055,3,15,0,2
A056,1,3,0,2
A056,2,4,0,1
A056,3,6,0,1
A056,4,7,0,1
A057,1,3,0,1
A057,2,4,0,1
A057,3,6,0,1
A057,4,7,0,2
A058,1,10,0,1
A058,2,11,0,1
A058,3,14,0,2
A058,4,15,0,2
A059,1,10,0,2
A059,2,11,0,1
A059,3,14,0,3
A059,4,15,0,3
A060,1,10,0,1
A060,2,11,0,1
A060,3,14,0,1
A060,4,15,0,1
A061,1,11,0,1
A061,2,12,0,1
A061,3,13,0,2
A061,4,14,0,3
A062,1,11,0,2
A062,2,12,0,1
A062,3,13,0,1
A062,4,14,0,2
A063,1,11,0,1
A063,2,12,0,2
A063,3,13,0,2
A063,4,14,0,3
A064,1,11,0,2
A064,2,12,0,2
A064,3,13,0,1
A064,4,14,0,2
A065,1,2,0,1
A065,2,4,0,1
A065,3,5,0,1
A065,4,6,0,1
A066,1,2,0,1
A066,2,4,0,2
A066,3,5,0,1
A066,4,6,0,2
A067,1,2,0,1
A067,2,4,0,1
A067,3,5,0,1
A067,4,6,0,2
A068,1,2,0,2
A068,2,4,0,2
A068,3,5,0,2
A068,4,6,0,2
A069,1,6,0,1
A069,2,8,0,1
A069,3,9,0,1
A069,4,10,0,1
A070,1,6,0,3
A070,2,8,0,2
A070,3,9,0,2
A070,4,10,0,2
A071,1,6,0,1
A071,2,8,0,1
A071,3,9,0,1
A071,4,10,0,2
A072,1,6,0,2
A072,2,8,0,1
A072,3,9,0,1
A072,4,10,0,1
